npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1799240866.74,11697982.0847,1799240866.74,1807512589.19,1790969144.28,1791796316.52,1806685416.95,2.0,136842784855000.0,0.125002383522,0.00390632448506,1.21200144652e-13,104,0.25,0.125
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1790123108.73,6060471.4247,1790123108.73,1794408509.17,1785837708.28,1786266248.33,1793979969.12,2.0,36729313889600.0,0.125002383522,0.00390592721826,1.21200144652e-13,115,0.124987287705,0.25
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1762336699.31,1467857.0692,1762336699.31,1763374631.0,1761298767.63,1761402560.8,1763270837.83,2.0,2154604375610.0,0.249995232956,0.00781155652656,1.21200144652e-13,35,0.124987287705,0.25
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1727537436.97,11322786.6816,1727537436.97,1735543856.21,1719531017.72,1720331659.65,1734743214.29,2.0,128205498237000.0,0.124992849434,0.0039056293083,1.21200144652e-13,10,0.124987287705,0.25
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1718879059.03,14720328.2746,1718879059.03,1729287902.98,1708470215.09,1709511099.48,1728247018.58,2.0,216688064511000.0,0.250004767044,0.00781185443652,1.21200144652e-13,60,0.124987287705,0.25
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1659406127.57,14717880.3417,1659406127.57,1669813240.57,1648999014.58,1650039725.88,1668772529.27,2.0,216616001754000.0,0.250004767044,0.00781185443652,1.21200144652e-13,85,0.124987287705,0.25
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1610868858.36,6312118.73665,1610868858.36,1615332200.32,1606405516.4,1606851850.6,1614885866.13,2.0,39842842945500.0,0.125002383522,0.00390592721826,1.21200144652e-13,110,0.124987287705,0.25
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1574328893.51,11666597.7588,1574328893.51,1582578423.9,1566079363.12,1566904316.16,1581753470.86,2.0,136109503266000.0,0.249995232956,0.00390577826328,1.21200144652e-13,30,0.124987287705,0.125
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1520981529.09,10216026.919,1520981529.09,1528205351.0,1513757707.18,1514480089.37,1527482968.81,2.0,104367206011000.0,0.250004767044,0.00390592721826,1.21200144652e-13,55,0.124987287705,0.125
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1520444334.18,2562533.00819,1520444334.18,1522256318.65,1518632349.71,1518813548.16,1522075120.2,2.0,6566575418090.0,0.124992849434,0.00195281465415,1.21200144652e-13,5,0.124987287705,0.125
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1463905737.17,2038620.1526,1463905737.17,1465347259.3,1462464215.04,1462608367.25,1465203107.09,2.0,4155972126600.0,0.250004767044,0.00390592721826,1.21200144652e-13,80,0.124987287705,0.125
