smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,prefix
960.0,-784.1,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3041695004.12,11029113.1569,-3041695004.12,-3033896243.41,-3049493764.82,-3048713888.75,-3034676119.48,2.0,121641337029000.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,77
960.0,-784.1,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3100958558.14,31385741.287,-3100958558.14,-3078765487.65,-3123151628.64,-3120932321.59,-3080984794.7,2.0,985064756136000.0,0.142859493254,9.835748238069999e-14,0.142848837209,0.00291533035653,0.142857142857,141
960.0,-415.6,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3104140351.16,7920153.08641,-3104140351.16,-3098539957.21,-3109740745.12,-3109180705.72,-3099099996.6,2.0,62728824912200.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,38
960.0,-415.6,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3115695290.0,58477957.9871,-3115695290.0,-3074345129.35,-3157045450.64,-3152910434.57,-3078480145.42,2.0,3419671570340000.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,102
960.0,-784.1,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3139528360.95,23820957.4523,-3139528360.95,-3122684400.4,-3156372321.5,-3154687925.44,-3124368796.45,2.0,567438013946000.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,13
960.0,-415.6,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3149390725.14,56217378.347,-3149390725.14,-3109639035.69,-3189142414.59,-3185167245.64,-3113614204.63,2.0,3160393628210000.0,0.142859493254,9.835748238069999e-14,0.142848837209,0.00291533035653,0.142857142857,166
960.0,-907.0,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3186760371.37,15064652.9956,-3186760371.37,-3176108053.08,-3197412689.66,-3196347457.83,-3177173284.91,2.0,226943769879000.0,0.142850352821,9.835748238069999e-14,0.0714534883721,0.00145816514632,0.142857142857,69
960.0,-907.0,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3212314304.04,16161172.03,-3212314304.04,-3200886629.71,-3223741978.38,-3222599210.94,-3202029397.14,2.0,261183481382000.0,0.142859493254,9.835748238069999e-14,0.0714534883721,0.00145825844858,0.142857142857,133
960.0,-169.9,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3215897721.27,48803715.1712,-3215897721.27,-3181388283.32,-3250407159.21,-3246956215.42,-3184839227.12,2.0,2381802614510000.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,55
960.0,-538.4,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3238952891.27,3506712.75672,-3238952891.27,-3236473270.9,-3241432511.64,-3241184549.61,-3236721232.94,2.0,12297034358200.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,94
960.0,-538.4,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3254056804.75,2408991.36784,-3254056804.75,-3252353390.62,-3255760218.88,-3255589877.47,-3252523732.03,2.0,5803239410340.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,30
960.0,-907.0,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3270406982.93,7168547.69325,-3270406982.93,-3265338054.25,-3275475911.62,-3274969018.75,-3265844947.12,2.0,51388076030500.0,0.0714206061936,9.835748238069999e-14,0.0714534883721,0.000729035922026,0.142857142857,5
960.0,-169.9,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3271168209.98,52415604.3364,-3271168209.98,-3234104780.71,-3308231639.24,-3304525296.31,-3237811123.64,2.0,2747395577950000.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,119
960.0,-538.4,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3277580802.01,42957959.9178,-3277580802.01,-3247204937.25,-3307956666.78,-3304919080.3,-3250242523.73,2.0,1845386320300000.0,0.142859493254,9.835748238069999e-14,0.142848837209,0.00291533035653,0.142857142857,158
960.0,-661.3,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3336496345.21,6452504.01409,-3336496345.21,-3331933735.87,-3341058954.55,-3340602693.62,-3332389996.8,2.0,41634808051800.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,86
