smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
720.0,-598.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-339163137.837,14734710.4817,-339163137.837,-328744124.136,-349582151.537,-348540250.167,-329786025.506,2.0,217111692979000.0,16,0.111096848726,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000686869116419
720.0,-254.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-354878267.478,12953489.2156,-354878267.478,-345718767.414,-364037767.543,-363121817.536,-346634717.42,2.0,167792882860000.0,68,0.111128939092,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000687067518821
720.0,-598.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-380426567.477,18754521.9742,-380426567.477,-367165117.811,-393688017.143,-392361872.176,-368491262.778,2.0,351732094479000.0,116,0.111096848726,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137376238165
720.0,-460.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-383843108.12,12266093.8434,-383843108.12,-375169669.985,-392516546.255,-391649202.442,-376037013.798,2.0,150457058174000.0,37,0.111128939092,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000687067518821
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-389944738.603,4283051.82852,-389944738.603,-386916163.611,-392973313.595,-392670456.096,-387219021.11,2.0,18344532965800.0,89,0.111096848726,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000686869116419
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-407258090.671,3456384.50841,-407258090.671,-404814057.747,-409702123.596,-409457720.303,-405058461.039,2.0,11946593870000.0,147,0.111128939092,0.110483870968,0.111109828737,3.6760970142599995e-14,0.00136420151812
720.0,-667.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-430201981.565,3914044.49363,-430201981.565,-427434334.162,-432969628.969,-432692864.228,-427711098.902,2.0,15319744298100.0,106,0.111096848726,0.0556451612903,0.111109828737,3.6760970142599995e-14,0.000686881190826
720.0,-460.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-448028969.933,7081960.40012,-448028969.933,-443021267.71,-453036672.156,-452535901.933,-443522037.932,2.0,50154163108900.0,137,0.111128939092,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137415919343
720.0,-667.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-449915933.094,8250211.84361,-449915933.094,-444082152.353,-455749713.835,-455166335.761,-444665530.427,2.0,68065995464500.0,6,0.111096848726,0.0556451612903,0.055553937791,3.6760970142599995e-14,0.00034343455821
720.0,-323.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-457845353.478,3341563.50646,-457845353.478,-455482511.263,-460208195.693,-459971911.471,-455718795.484,2.0,11166046667700.0,58,0.111128939092,0.110483870968,0.055553937791,3.6760970142599995e-14,0.000682088768685
