smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-705.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-346697906.704,8417165.28885,-344838491.942,-338676016.239,-358438626.695,-356595213.384,-339403780.692,4.0,70848671499800.0,0.0556451612903,3.4776821570799994e-14,0.111111428379,321,0.111136071887,0.000687133589299
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-348948273.225,26643628.5185,-339095559.364,-330539205.595,-387062768.579,-381139985.897,-330550359.961,4.0,709882940632000.0,0.111290322581,3.4776821570799994e-14,0.0555541185209,607,0.111103979461,0.000686915437701
720.0,-636.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-353533923.792,18608557.3452,-347646297.956,-338290807.685,-380552291.571,-375900248.602,-339410275.152,4.0,346278406470000.0,0.111290322581,3.4776821570799994e-14,0.111109748728,412,0.111136071887,0.00137424640405
720.0,-361.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-353933622.754,29936085.4654,-354294606.62,-325352237.753,-381793040.025,-381178410.142,-326183457.956,4.0,896169212994000.0,0.111290322581,3.4776821570799994e-14,0.111109748728,516,0.111103979461,0.00137384956709
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1653789.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-355659304.241,5441829.79579,-353638598.479,-351866512.255,-363493507.752,-362250394.036,-351897202.513,4.0,29613511526400.0,0.0556451612903,3.4776821570799994e-14,0.111111428379,151,0.111103979461,0.000686935167818
720.0,-498.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-356638747.692,7888099.0801,-359174408.776,-345218054.686,-362988118.53,-362601614.803,-347125955.064,4.0,62222107097400.0,0.110483870968,3.4776821570799994e-14,0.0555541185209,504,0.111103979461,0.000681937789602
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-361297561.152,2947404.39981,-361981060.811,-357361012.8,-363867110.186,-363768777.136,-357869445.646,4.0,8687192696030.0,0.111290322581,3.4776821570799994e-14,0.111111596344,242,0.111103979461,0.00137387241249
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-364278435.527,2579950.24862,-363752457.274,-361736472.677,-367872354.883,-367274852.834,-362018387.774,4.0,6656143285370.0,0.0556451612903,3.4776821570799994e-14,0.0555541185209,401,0.111136071887,0.000343556926741
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-373212460.46,14169569.0304,-370340397.5,-361061316.544,-391107730.296,-389144517.028,-361301292.037,4.0,200776686508000.0,0.111290322581,3.4776821570799994e-14,0.111111596344,333,0.111136071887,0.00137426925605
720.0,-498.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-385076807.004,12829777.5865,-385036196.665,-373779586.022,-396455248.666,-396374257.625,-373836210.86,4.0,164603192919000.0,0.110483870968,3.4776821570799994e-14,0.111111428379,424,0.111136071887,0.00136430872078
