smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix
960.0,-699.4,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,407149.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2543789998.62,13801051.4587,-2542621634.32,-2528242638.92,-2561674086.91,-2559099157.08,-2530116550.17,4.0,190469021364000.0,0.142857142857,0.00291533865196,9.43922884283e-14,0.142848837209,0.142859899754,235
960.0,-453.7,-11400.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2562914720.49,13403871.469,-2564104396.11,-2545817874.16,-2577632215.57,-2576156762.52,-2548007132.59,4.0,179663770357000.0,0.142857142857,0.00291515964308,9.43922884283e-14,0.142848837209,0.142851127809,269
960.0,-822.2,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,244289.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2566015439.72,19987205.8292,-2568598756.15,-2541353292.99,-2585510953.6,-2584462157.25,-2543952079.2,4.0,399488396858000.0,0.142857142857,0.00291532075107,9.43922884283e-14,0.142848837209,0.14285902256,218
960.0,-945.1,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2577007850.16,3506992.4872,-2576101679.83,-2573864348.45,-2581963692.54,-2581180010.36,-2574104328.43,4.0,12298996305200.0,0.142857142857,0.00145817305712,9.43922884283e-14,0.0714534883721,0.142851127809,201
960.0,-699.4,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,488579.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2577290128.08,28407543.4136,-2565644585.64,-2558495139.32,-2619376201.73,-2611849318.91,-2559034696.67,4.0,806988522793000.0,0.142857142857,0.00291533865196,9.43922884283e-14,0.142848837209,0.142859899754,243
960.0,-822.2,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,325719.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2593476694.7,17717155.9591,-2588233688.52,-2578331791.17,-2619107610.58,-2614543827.54,-2579749770.5,4.0,313897615279000.0,0.142857142857,0.00291533865196,9.43922884283e-14,0.142848837209,0.142859899754,226
960.0,-699.4,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,570009.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2597663433.73,3438530.70612,-2596977762.4,-2594611072.8,-2602087137.31,-2601572716.1,-2594714091.21,4.0,11823493417000.0,0.142857142857,0.00145766932598,9.43922884283e-14,0.142848837209,0.0714299498771,251
960.0,-453.7,-11400.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,162860.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2606220987.97,24033261.1367,-2605490353.07,-2583439989.75,-2630463255.97,-2629369106.36,-2584095758.42,4.0,577597640863000.0,0.142857142857,0.00291532075107,9.43922884283e-14,0.142848837209,0.14285902256,277
960.0,-945.1,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,162860.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2615861152.86,6762537.42094,-2613930110.3,-2610069174.55,-2625515216.31,-2623960853.63,-2610464911.69,4.0,45731912369700.0,0.142857142857,0.0014582536439,9.43922884283e-14,0.0714534883721,0.14285902256,209
960.0,-822.2,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,407149.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2625850429.5,8962321.11015,-2624841126.61,-2616132590.06,-2637586874.72,-2635950614.08,-2617163268.97,4.0,80323199681400.0,0.142857142857,0.00291533865196,9.43922884283e-14,0.142848837209,0.142859899754,234
960.0,-576.5,-11400.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2635534376.28,5998360.06238,-2635980309.16,-2627783506.6,-2642393380.18,-2641500267.96,-2628944178.56,4.0,35980323438000.0,0.142857142857,0.00291515964308,9.43922884283e-14,0.142848837209,0.142851127809,268
960.0,-453.7,-11400.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,244289.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2647194568.37,26589608.5042,-2641283918.93,-2622254396.62,-2683956038.99,-2678490362.41,-2624173683.54,4.0,707007280406000.0,0.142857142857,0.00291532075107,9.43922884283e-14,0.142848837209,0.14285902256,285
960.0,-822.2,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,488579.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2659499877.41,10199546.6624,-2656160446.64,-2651355644.28,-2674322972.08,-2671803605.23,-2651871352.67,4.0,104030752119000.0,0.142857142857,0.00291533865196,9.43922884283e-14,0.142848837209,0.142859899754,242
960.0,-945.1,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,244289.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2662581339.02,7960459.00822,-2660462761.52,-2655530261.47,-2673869571.58,-2672070366.13,-2656058320.42,4.0,63368907621500.0,0.142857142857,0.0014582536439,9.43922884283e-14,0.0714534883721,0.14285902256,217
960.0,-576.5,-11400.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2674233842.63,18554156.0921,-2676126105.32,-2653318407.69,-2691364752.19,-2690899726.96,-2654918790.54,4.0,344256708291000.0,0.142857142857,0.0014574903171,9.43922884283e-14,0.142848837209,0.0714211779319,260
960.0,-576.5,-11400.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,162860.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2681040237.31,17017621.5771,-2676564466.24,-2667493691.16,-2703538325.57,-2700743018.2,-2667603535.9,4.0,289599444143000.0,0.142857142857,0.00291532075107,9.43922884283e-14,0.142848837209,0.14285902256,276
960.0,-945.1,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2681914714.38,10465185.8341,-2679949297.31,-2671420793.79,-2696339469.12,-2694053237.68,-2672527774.99,4.0,109520114542000.0,0.142857142857,0.000729041758125,9.43922884283e-14,0.0714534883721,0.0714211779319,193
960.0,-453.7,-11400.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,325719.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2695229315.04,29583341.5427,-2695871455.31,-2661679118.84,-2727495230.7,-2725021558.01,-2664538075.7,4.0,875174096834000.0,0.142857142857,0.00291533865196,9.43922884283e-14,0.142848837209,0.142859899754,293
