smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-647509238.957,11522258.5304,-647509238.957,-639361771.816,-655656706.099,-654841959.385,-640176518.53,2.0,132762441642000.0,1.8375228834e-12,0.25,0.250001603116,0.249920051167,83,0.0156201033606
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-653866945.144,1154115.66164,-653866945.144,-653050862.133,-654683028.154,-654601419.853,-653132470.434,2.0,1331982960450.0,1.8375228834e-12,0.125,0.250001603116,0.125039974416,100,0.0039075242572
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-663919862.392,980220.164983,-663919862.392,-663226742.066,-664612982.718,-664543670.685,-663296054.099,2.0,960831571840.0,1.8375228834e-12,0.125,0.250001603116,0.249920051167,78,0.00781005168032
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-668261925.604,27797981.0124,-668261925.604,-648605784.727,-687918066.482,-685952452.394,-650571398.815,2.0,772727748367000.0,1.8375228834e-12,0.25,0.250001603116,0.250079948833,89,0.0156300970288
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-680312414.517,2852804.51671,-680312414.517,-678295177.098,-682329651.936,-682127928.195,-678496900.84,2.0,8138493610540.0,1.8375228834e-12,0.25,0.250001603116,0.125039974416,95,0.00781504851441
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-693500071.527,5432393.08067,-693500071.527,-689658789.542,-697341353.512,-696957225.314,-690042917.74,2.0,29510894582900.0,1.8375228834e-12,0.25,0.250001603116,0.250079948833,84,0.0156300970288
240.0,-187.0,-4699.0,-1e+200,-1e+200,-1e+200,-1e+200,1403527.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-705954043.036,3637843.82757,-705954043.036,-703381698.997,-708526387.075,-708269152.671,-703638933.401,2.0,13233907713800.0,1.8375228834e-12,0.125,0.125000979682,0.125039974416,101,0.00195376491268
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-722953950.821,3758340.64107,-722953950.821,-720296402.667,-725611498.974,-725345744.159,-720562157.483,2.0,14125124374300.0,1.8375228834e-12,0.25,0.250001603116,0.125039974416,90,0.00781504851441
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-733598812.079,8844838.151,-733598812.079,-727344567.044,-739853057.114,-739227632.61,-727969991.547,2.0,78231161917400.0,1.8375228834e-12,0.125,0.250001603116,0.250079948833,79,0.00781504851441
240.0,-156.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,1403527.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-733647329.75,1468972.74607,-733647329.75,-732608609.16,-734686050.34,-734582178.281,-732712481.219,2.0,2157880928690.0,1.8375228834e-12,0.25,0.125000979682,0.249920051167,107,0.00781006280951
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-754764303.448,17735122.9404,-754764303.448,-742223677.752,-767304929.145,-766050866.575,-743477740.322,2.0,314534585711000.0,1.8375228834e-12,0.25,0.250001603116,0.125039974416,85,0.00781504851441
240.0,-187.0,-3917.0,-1e+200,-1e+200,-1e+200,-1e+200,1403527.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-754979167.875,3126747.68069,-754979167.875,-752768223.387,-757190112.363,-756969017.914,-752989317.835,2.0,9776551058670.0,1.8375228834e-12,0.125,0.125000979682,0.249920051167,102,0.00390503140475
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,1403527.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-765155270.921,4180868.28789,-765155270.921,-762198950.603,-768111591.238,-767815959.207,-762494582.635,2.0,17479659640700.0,1.8375228834e-12,0.25,0.125000979682,0.249920051167,113,0.00781006280951
