npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,310349231.212,91057.25262,310349231.212,310413618.413,310284844.011,310291282.731,310407179.692,2.0,8291423254.7,0.250009196248,1.0406674226900002e-12,91,0.00783362148244,0.25,0.125333333333
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,289168228.689,419513.164458,289168228.689,289464869.293,288871588.086,288901252.146,289435205.232,2.0,175991295153.0,0.250009196248,1.0406674226900002e-12,113,0.00779360657253,0.125026522385,0.249333333333
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,280360062.361,609085.03246,280360062.361,280790750.518,279929374.204,279972443.02,280747681.702,2.0,370984576766.0,0.125004598124,1.0406674226900002e-12,96,0.00391681074122,0.25,0.125333333333
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,261395581.894,1511708.67276,261395581.894,262464521.347,260326642.44,260433536.385,262357627.402,2.0,2285263111290.0,0.250009196248,1.0406674226900002e-12,118,0.00779360657253,0.125026522385,0.249333333333
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,230271636.425,661812.608986,230271636.425,230739608.609,229803664.241,229850461.46,230692811.39,2.0,437995929413.0,0.125004598124,1.0406674226900002e-12,123,0.00389680328627,0.125026522385,0.249333333333
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,221736603.951,1016953.60188,221736603.951,222455698.739,221017509.163,221089418.642,222383789.26,2.0,1034194628380.0,0.249990803752,1.0406674226900002e-12,107,0.00779303321812,0.125026522385,0.249333333333
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,210610930.734,14233.4167032,210610930.734,210620995.28,210600866.189,210601872.643,210619988.825,2.0,202590151.048,0.124986205628,1.0406674226900002e-12,102,0.00389622993185,0.125026522385,0.249333333333
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,192628314.03,454183.308879,192628314.03,192949470.128,192307157.932,192339273.542,192917354.518,2.0,206282478064.0,0.250009196248,1.0406674226900002e-12,112,0.00779360657253,0.125026522385,0.249333333333
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,161708988.38,2426819.3303,161708988.38,163425008.785,159992967.974,160164570.015,163253406.744,2.0,5889452061910.0,0.250009196248,1.0406674226900002e-12,117,0.00779360657253,0.125026522385,0.249333333333
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,133331618.831,9167.45449704,133331618.831,133338101.2,133325136.462,133325784.699,133337452.963,2.0,84042221.9552,0.125004598124,1.0406674226900002e-12,122,0.00389680328627,0.125026522385,0.249333333333
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,121317624.159,151413.517045,121317624.159,121424689.683,121210558.634,121221265.186,121413983.131,2.0,22926053143.9,0.249990803752,1.0406674226900002e-12,106,0.00391735359627,0.125026522385,0.125333333333
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,104687422.948,924082.488444,104687422.948,105340847.942,104033997.954,104099340.453,105275505.442,2.0,853928445449.0,0.124986205628,1.0406674226900002e-12,101,0.00195853269302,0.125026522385,0.125333333333
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,90377227.0505,717259.850062,90377227.0505,90884406.3543,89870047.7466,89920765.677,90833688.424,2.0,514461692511.0,0.250009196248,1.0406674226900002e-12,111,0.00391764180651,0.125026522385,0.125333333333
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,62126911.2547,677895.533381,62126911.2547,62606255.7833,61647566.7261,61695501.179,62558321.3304,2.0,459542354177.0,0.250009196248,1.0406674226900002e-12,116,0.00391764180651,0.125026522385,0.125333333333
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,31774184.3243,303418.113383,31774184.3243,31988733.3298,31559635.3188,31581090.2193,31967278.4293,2.0,92062551529.1,0.125004598124,1.0406674226900002e-12,121,0.00195882090326,0.125026522385,0.125333333333
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-109997526195.0,319.461221581,-109997526195.0,-109997525969.0,-109997526421.0,-109997526398.0,-109997525992.0,2.0,102055.472094,0.124986205628,1.0406674226900002e-12,1,0.00195770175,0.124973477615,0.125333333333
