smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1346497309.09,25315078.6521,-1346497309.09,-1328596845.3,-1364397772.87,-1362607726.49,-1330386891.68,2.0,640853207160000.0,0.25,2.6175466018599997e-14,0.250000499385,0.125226860254,0.0078266944,54
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1358932998.24,6831244.08704,-1358932998.24,-1354102579.22,-1363763417.25,-1363280375.35,-1354585621.12,2.0,46665895776700.0,0.249963898917,2.6175466018599997e-14,0.250000499385,0.249546279492,0.0155944213959,88
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1435402152.8,43399863.4541,-1435402152.8,-1404713815.05,-1466090490.55,-1463021656.78,-1407782648.82,2.0,1883548147830000.0,0.25,2.6175466018599997e-14,0.250000499385,0.249546279492,0.0155966736232,94
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1443776852.65,9301820.4824,-1443776852.65,-1437199472.31,-1450354232.99,-1449696494.95,-1437857210.34,2.0,86523864286800.0,0.249963898917,2.6175466018599997e-14,0.250000499385,0.250453720508,0.0156511283828,83
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1478166152.29,3465584.98786,-1478166152.29,-1475715613.64,-1480616690.93,-1480371637.07,-1475960667.5,2.0,12010279308100.0,0.125018050542,2.6175466018599997e-14,0.250000499385,0.250453720508,0.00782782460857,60
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1567974324.48,16470764.9957,-1567974324.48,-1556327734.86,-1579620914.1,-1578456255.13,-1557492393.82,2.0,271286099545000.0,0.25,2.6175466018599997e-14,0.250000499385,0.249546279492,0.0155966736232,89
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1570744585.94,17352431.3094,-1570744585.94,-1558474564.09,-1583014607.79,-1581787605.6,-1559701566.28,2.0,301106872346000.0,0.125018050542,2.6175466018599997e-14,0.250000499385,0.125226860254,0.00391391230429,100
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1577973062.31,29958599.3349,-1577973062.31,-1556789133.57,-1599156991.06,-1597038598.18,-1558907526.44,2.0,897517674109000.0,0.249963898917,2.6175466018599997e-14,0.250000499385,0.125226860254,0.00782556419142,78
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1649059355.72,1752923.43892,-1649059355.72,-1647819851.67,-1650298859.77,-1650174909.37,-1647943802.07,2.0,3072740582720.0,0.125018050542,2.6175466018599997e-14,0.125000249693,0.125226860254,0.00195695615214,101
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1685437114.9,5839534.21846,-1685437114.9,-1681307940.65,-1689566289.14,-1689153371.72,-1681720858.08,2.0,34100159888500.0,0.125018050542,2.6175466018599997e-14,0.250000499385,0.125226860254,0.00391391230429,55
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1757504776.87,17192538.888,-1757504776.87,-1745347816.04,-1769661737.71,-1768446041.62,-1746563512.12,2.0,295583393414000.0,0.125018050542,2.6175466018599997e-14,0.250000499385,0.249546279492,0.00779946292521,95
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1762702395.59,22081558.98,-1762702395.59,-1747088375.49,-1778316415.68,-1776755013.67,-1748649777.5,2.0,487595246988000.0,0.25,2.6175466018599997e-14,0.250000499385,0.250453720508,0.0156533888,84
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1769387718.53,26508213.7295,-1769387718.53,-1750643580.84,-1788131856.21,-1786257442.45,-1752517994.61,2.0,702685395127000.0,0.25,2.6175466018599997e-14,0.125000249693,0.250453720508,0.0078266944,107
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1856063902.48,15172574.719,-1856063902.48,-1845335272.01,-1866792532.95,-1865719669.91,-1846408135.06,2.0,230207023603000.0,0.25,2.6175466018599997e-14,0.125000249693,0.125226860254,0.0039133472,102
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1893798969.44,53159392.4995,-1893798969.44,-1856209602.52,-1931388336.36,-1927629399.67,-1859968539.21,2.0,2825921010920000.0,0.125018050542,2.6175466018599997e-14,0.250000499385,0.249546279492,0.00779946292521,90
