smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-135.6,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2514888410.26,106831.493385,-2514888410.26,-2514812868.98,-2514963951.53,-2514956397.4,-2514820423.11,2.0,11412967978.9,0.00145716314576,0.0714182727564,2.57338880493e-13,0.142857142857,0.142822580645,55
720.0,-667.0,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2516507785.51,488083.912969,-2516507785.51,-2516162658.07,-2516852912.96,-2516818400.21,-2516197170.81,2.0,238225906099.0,0.00145810012158,0.142847732002,2.57338880493e-13,0.142857142857,0.0714516129032,69
720.0,-401.3,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2530993710.07,1669119.65051,-2530993710.07,-2529813464.25,-2532173955.9,-2532055931.32,-2529931488.83,2.0,2785960407730.0,0.00291620024317,0.142847732002,2.57338880493e-13,0.142857142857,0.142903225806,94
720.0,-667.0,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2540662094.54,616536.671649,-2540662094.54,-2540226137.28,-2541098051.81,-2541054456.08,-2540269733.01,2.0,380117467488.0,0.00145822699343,0.142860161433,2.57338880493e-13,0.142857142857,0.0714516129032,133
720.0,-135.6,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2540737273.74,1323449.48679,-2540737273.74,-2539801453.64,-2541673093.85,-2541579511.84,-2539895035.65,2.0,1751518544090.0,0.00291455453197,0.142847732002,2.57338880493e-13,0.142857142857,0.142822580645,119
720.0,-401.3,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2556721997.44,421910.363037,-2556721997.44,-2556423661.76,-2557020333.12,-2556990499.55,-2556453495.33,2.0,178008354438.0,0.00145798593692,0.0714182727564,2.57338880493e-13,0.142857142857,0.142903225806,30
720.0,-401.3,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2557214766.04,10138.8784387,-2557214766.04,-2557207596.77,-2557221935.31,-2557221218.38,-2557208313.7,2.0,102796855.996,0.00291645398687,0.142860161433,2.57338880493e-13,0.142857142857,0.142903225806,158
720.0,-135.6,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2565334081.71,374928.782205,-2565334081.71,-2565068967.03,-2565599196.4,-2565572684.93,-2565095478.5,2.0,140571591725.0,0.00291480813247,0.142860161433,2.57338880493e-13,0.142857142857,0.142822580645,183
720.0,-667.0,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,172406.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2568009912.69,830922.038115,-2568009912.69,-2567422362.08,-2568597463.3,-2568538708.24,-2567481117.14,2.0,690431433425.0,0.00145823968062,0.142861404377,2.57338880493e-13,0.142857142857,0.0714516129032,197
720.0,-667.0,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2577109233.57,286277.770598,-2577109233.57,-2576906804.62,-2577311662.53,-2577291419.63,-2576927047.52,2.0,81954961938.5,0.000728992968458,0.0714182727564,2.57338880493e-13,0.142857142857,0.0714516129032,5
