npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1205665115.16,367066.963084,1205665115.16,1205924670.7,1205405559.62,1205431515.18,1205898715.15,2.0,134738155388.0,0.124996134146,15,8.705791516489999e-14,0.00390635431621,0.25,0.125007204196
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1184481432.4,10165577.8406,1184481432.4,1191669581.42,1177293283.37,1178012098.28,1190950766.52,2.0,103338972833000.0,0.249997067283,40,8.705791516489999e-14,0.00781285860954,0.25,0.125007204196
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1167281595.36,57557.0050026,1167281595.36,1167322294.31,1167240896.41,1167244966.3,1167318224.41,2.0,3312808824.87,0.250002399496,54,8.705791516489999e-14,0.00778999405277,0.124645892351,0.249985591609
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1153991590.16,5069272.55428,1153991590.16,1157576107.16,1150407073.16,1150765524.86,1157217655.46,2.0,25697524229500.0,0.250002932717,95,8.705791516489999e-14,0.00781304191492,0.25,0.125007204196
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1150524038.39,10266796.87,1150524038.39,1157783760.08,1143264316.71,1143990288.88,1157057787.91,2.0,105407117970000.0,0.125001466359,109,8.705791516489999e-14,0.00781214137989,0.25,0.249985591609
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1092918766.6,3295675.0031,1092918766.6,1095249160.74,1090588372.46,1090821411.87,1095016121.33,2.0,10861473726100.0,0.250002399496,65,8.705791516489999e-14,0.0078130252508,0.25,0.125007204196
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1077054040.83,226334.586077,1077054040.83,1077214083.55,1076893998.11,1076910002.38,1077198079.28,2.0,51227344854.5,0.250002932717,79,8.705791516489999e-14,0.00779001066777,0.124645892351,0.249985591609
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1061884309.66,12837120.8181,1061884309.66,1070961524.84,1052807094.48,1053714815.99,1070053803.32,2.0,164791670898000.0,0.125001466359,120,8.705791516489999e-14,0.00390652095746,0.25,0.125007204196
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1032031882.67,6254412.3016,1032031882.67,1036454420.02,1027609345.32,1028051599.06,1036012166.29,2.0,39117673238400.0,0.124996134146,10,8.705791516489999e-14,0.00390635431621,0.25,0.125007204196
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,990461505.696,3905673.16949,990461505.696,993223233.679,987699777.713,987975950.511,992947060.881,2.0,15254282906800.0,0.249997067283,35,8.705791516489999e-14,0.00781285860954,0.25,0.125007204196
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,988466762.301,11145716.022,988466762.301,996347973.682,980585550.921,981373672.059,995559852.544,2.0,124226985643000.0,0.250002932717,90,8.705791516489999e-14,0.00781304191492,0.25,0.125007204196
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,973037727.462,7671736.3973,973037727.462,978462464.292,967612990.632,968155464.315,977919990.609,2.0,58855539349700.0,0.125001466359,104,8.705791516489999e-14,0.00389500533388,0.124645892351,0.249985591609
