npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,41444878.2053,146478.870531,41444878.2053,41548454.4079,41341302.0026,41351659.6229,41538096.7877,2.0,21456059512.0,0.015667238965,84,1.0563053673200001e-12,0.250666666667,0.25000913242,0.25
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,40797555.8191,867857.121868,40797555.8191,41411223.4751,40183888.1631,40245254.9287,41349856.7095,2.0,753175983977.0,0.00391596029216,100,1.0563053673200001e-12,0.125333333333,0.25000913242,0.124972890913
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,16880126.5664,61948.5950926,16880126.5664,16923930.8381,16836322.2947,16840702.7219,16919550.4109,2.0,3837628433.94,0.00389456158541,20,1.0563053673200001e-12,0.249333333333,0.12498630137,0.124972890913
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,12735575.3552,483603.137042,12735575.3552,13077534.4128,12393616.2976,12427812.2034,13043338.507,2.0,233871994156.0,0.0078336194825,109,1.0563053673200001e-12,0.250666666667,0.12500456621,0.25
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,11982426.0609,505520.758111,11982426.0609,12339883.217,11624968.9048,11660714.6204,12304137.5014,2.0,255551236881.0,0.00195798014608,125,1.0563053673200001e-12,0.125333333333,0.12500456621,0.124972890913
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1545512.92472,212143.172028,1545512.92472,1695520.80024,1395505.0492,1410505.83675,1680520.01269,2.0,45004725438.1,0.00391623744292,4,1.0563053673200001e-12,0.125333333333,0.12498630137,0.25
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,80516.4689103,136831.219368,80516.4689103,177270.752003,-16237.8141828,-6562.38587349,167595.323694,2.0,18722782593.7,0.00783304718417,29,1.0563053673200001e-12,0.125333333333,0.24999086758,0.25
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-613542.926594,481680.52934,-613542.926594,-272943.357932,-954142.495255,-920082.538389,-307003.314798,2.0,232016132345.0,0.00778969230155,45,1.0563053673200001e-12,0.249333333333,0.24999086758,0.124972890913
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-29008874.968,874644.45357,-29008874.968,-28390407.9437,-29627341.9922,-29565495.2898,-28452254.6461,2.0,765002920161.0,0.0078336194825,54,1.0563053673200001e-12,0.125333333333,0.25000913242,0.25
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-29407191.2865,151489.434573,-29407191.2865,-29300072.0801,-29514310.493,-29503598.5724,-29310784.0007,2.0,22949048787.3,0.00779026143228,70,1.0563053673200001e-12,0.249333333333,0.25000913242,0.124972890913
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-57568342.8289,484646.508973,-57568342.8289,-57225645.9959,-57911039.6618,-57876769.9785,-57259915.6792,2.0,234882238660.0,0.0078336194825,79,1.0563053673200001e-12,0.125333333333,0.25000913242,0.25
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-57760622.7535,415649.362351,-57760622.7535,-57466714.2708,-58054531.2362,-58025140.3879,-57496105.1191,2.0,172764392423.0,0.00779026143228,95,1.0563053673200001e-12,0.249333333333,0.25000913242,0.124972890913
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-86675922.7652,194739.563317,-86675922.7652,-86538221.0994,-86813624.431,-86799854.2644,-86551991.266,2.0,37923497520.8,0.00391680974125,104,1.0563053673200001e-12,0.125333333333,0.12500456621,0.25
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-86929003.4624,57490.0153448,-86929003.4624,-86888351.8827,-86969655.0421,-86965589.8841,-86892417.0406,2.0,3305101864.34,0.00389513071614,120,1.0563053673200001e-12,0.249333333333,0.12500456621,0.124972890913
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-88820470.3025,104470.760196,-88820470.3025,-88746598.3196,-88894342.2855,-88886955.0872,-88753985.5179,2.0,10914139735.9,0.00389456158541,15,1.0563053673200001e-12,0.249333333333,0.12498630137,0.124972890913
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-100977067.332,509284.136554,-100977067.332,-100616949.066,-101337185.599,-101301173.772,-100652960.892,2.0,259370331746.0,0.00778969230155,40,1.0563053673200001e-12,0.249333333333,0.24999086758,0.124972890913
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-129777238.728,382205.254826,-129777238.728,-129506978.801,-130047498.656,-130020472.663,-129534004.793,2.0,146080856817.0,0.00779026143228,65,1.0563053673200001e-12,0.249333333333,0.25000913242,0.124972890913
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-158359223.753,501674.619263,-158359223.753,-158004486.228,-158713961.278,-158678487.525,-158039959.98,2.0,251677423613.0,0.00779026143228,90,1.0563053673200001e-12,0.249333333333,0.25000913242,0.124972890913
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-187133724.434,96089.8371945,-187133724.434,-187065778.659,-187201670.21,-187194875.632,-187072573.236,2.0,9233256812.07,0.00389513071614,115,1.0563053673200001e-12,0.249333333333,0.12500456621,0.124972890913
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-194700482.643,349245.448739,-194700482.643,-194453528.818,-194947436.468,-194922741.085,-194478224.2,2.0,121972383465.0,0.00391538811795,10,1.0563053673200001e-12,0.250666666667,0.12498630137,0.124972890913
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-203074730.76,1146398.80622,-203074730.76,-202264104.391,-203885357.13,-203804294.493,-202345167.028,2.0,1314230222910.0,0.00783134841011,35,1.0563053673200001e-12,0.250666666667,0.24999086758,0.124972890913
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-231019165.22,101889.750609,-231019165.22,-230947118.287,-231091212.154,-231084007.46,-230954322.98,2.0,10381521279.1,0.00783192058432,60,1.0563053673200001e-12,0.250666666667,0.25000913242,0.124972890913
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-260472781.557,157714.496719,-260472781.557,-260361260.567,-260584302.547,-260573150.448,-260372412.666,2.0,24873862475.5,0.00783192058432,85,1.0563053673200001e-12,0.250666666667,0.25000913242,0.124972890913
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-289334542.945,254436.342634,-289334542.945,-289154629.281,-289514456.608,-289496465.242,-289172620.648,2.0,64737852453.0,0.00391596029216,110,1.0563053673200001e-12,0.250666666667,0.12500456621,0.124972890913
