smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3526156464.61,26171359.4536,-3520758646.86,-3501181526.89,-3561927037.83,-3556776103.87,-3503093770.2,4.0,684940055652000.0,4.95258127397e-14,0.250000944804,93,0.249546279492,0.249981948155,0.0155955752144
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3556590661.72,12758944.4337,-3557618056.39,-3540125751.88,-3571000782.23,-3569284158.34,-3542458812.58,4.0,162790663062000.0,4.95258127397e-14,0.125000566882,74,0.250453720508,0.250018051845,0.00782727940685
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3593759294.91,31077195.0942,-3581601633.71,-3572685991.61,-3639147920.61,-3631563549.36,-3572975766.14,4.0,965792054922000.0,4.95258127397e-14,0.250000944804,86,0.125226860254,0.249981948155,0.00782614319848
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3599695854.5,5258975.71879,-3599590196.29,-3594528277.74,-3605074747.68,-3604806373.41,-3594733257.08,4.0,27656825610800.0,4.95258127397e-14,0.124998488314,26,0.125226860254,0.250018051845,0.00391357462558
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3603584803.77,14116015.1708,-3603706247.91,-3586303513.29,-3620623205.97,-3618400412.25,-3588599173.48,4.0,199261884303000.0,4.95258127397e-14,0.250000944804,37,0.249546279492,0.250018051845,0.0155978276082
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3606354402.92,5526632.5245,-3604972943.39,-3601262776.24,-3614208948.65,-3612870456.08,-3601772393.08,4.0,30543667060800.0,4.95258127397e-14,0.250000944804,43,0.249546279492,0.250018051845,0.0155978276082
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3622698280.57,25735891.1122,-3625358480.35,-3590461000.27,-3649615161.32,-3647510383.46,-3594161898.0,4.0,662336091340000.0,4.95258127397e-14,0.125000566882,125,0.125226860254,0.124990974078,0.00195653727845
720.0,-292.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3623468726.97,17227316.777,-3625670053.66,-3603841356.35,-3638693444.22,-3638462076.61,-3605393519.97,4.0,296780443335000.0,4.95258127397e-14,0.125000566882,49,0.250453720508,0.250018051845,0.00782727940685
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3623476758.87,7201762.37736,-3623882778.04,-3615833431.38,-3630308048.0,-3630095602.36,-3616289488.53,4.0,51865381339900.0,4.95258127397e-14,0.249999055196,31,0.125226860254,0.250018051845,0.00782721432901
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3629133864.67,24990158.7488,-3622437971.09,-3607210810.78,-3664448705.74,-3658941499.77,-3608700480.6,4.0,624508034291000.0,4.95258127397e-14,0.250000944804,111,0.125226860254,0.124990974078,0.00391307159924
