smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-ft_capacity
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-89480762.6339,6111581.32867,-89354305.7263,-79902275.0556,-100995561.359,-97937371.7674,-81440806.7127,10.0,37351426336900.0,1.73883786583e-14,0.11111130707,0.111290322581,0.00137386883568,222,0.111103979461
720.0,-636.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-99481559.2599,20599481.4254,-98199162.3303,-67949829.695,-132727573.813,-127343643.934,-71062593.5147,10.0,424338634994000.0,1.73883786583e-14,0.111110467246,0.111290322581,0.00137425529096,412,0.111136071887
720.0,-430.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-111617947.064,22235541.5023,-119270833.886,-65833402.7032,-135576847.353,-133930663.625,-72807952.8849,10.0,494419305899000.0,1.73883786583e-14,0.111110467246,0.110483870968,0.0013639029554,515,0.111103979461
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-120316342.045,9234915.51423,-118161284.678,-107536813.098,-134915552.243,-134417203.043,-109696455.475,10.0,85283664554900.0,1.73883786583e-14,0.11111130707,0.0556451612903,0.00068693441784,221,0.111103979461
720.0,-636.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-126305836.368,22965113.6095,-125335816.257,-95860852.8589,-162189454.911,-159096209.91,-97478227.6237,10.0,527396443097000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000686923514375,502,0.111103979461
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-137147410.769,2456224.15453,-137126221.001,-133614038.866,-141730137.19,-140674210.342,-133889726.333,10.0,6033037097300.0,1.73883786583e-14,0.11111130707,0.0556451612903,0.00034346720892,31,0.0555519897304
720.0,-498.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-140642899.586,21340884.1784,-129466177.093,-121609979.693,-181627615.331,-173169112.13,-122089014.192,10.0,455433337514000.0,1.73883786583e-14,0.111110467246,0.110483870968,0.0013639029554,514,0.111103979461
720.0,-498.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-141839807.617,19640247.5358,-143611224.21,-95937822.8629,-162492850.993,-162405704.969,-110328100.194,10.0,385739323267000.0,1.73883786583e-14,0.0555547717199,0.110483870968,0.000681945807749,604,0.111103979461
720.0,-361.0,-5601.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-158369131.407,20158427.0521,-153348408.528,-132557615.048,-194072164.646,-188563322.436,-135223255.287,10.0,406362181216000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000686923514375,706,0.111103979461
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-161384757.92,15405097.724,-160233677.188,-133767625.888,-182910894.725,-180632087.955,-138494024.389,10.0,237317035886000.0,1.73883786583e-14,0.11111130707,0.110483870968,0.00136430723127,324,0.111136071887
720.0,-223.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-163681924.463,23959069.5622,-163922519.478,-125451263.793,-200664648.431,-196161638.374,-128121053.454,10.0,574037014288000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000686923514375,808,0.111103979461
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-164515452.285,11289760.5844,-164664086.026,-144166452.405,-179986949.334,-179913322.744,-147179035.66,10.0,127458694053000.0,1.73883786583e-14,0.111110467246,0.0556451612903,0.000687127645479,411,0.111136071887
720.0,-361.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-181571995.248,22386207.8804,-180301002.055,-144528381.972,-216269306.873,-209166542.085,-149226964.624,10.0,501142303264000.0,1.73883786583e-14,0.111110467246,0.111290322581,0.00137385845143,616,0.111103979461
