smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2209237495.08,8618283.42721,-2210264362.36,-2197867365.75,-2218553889.86,-2217538945.31,-2199498430.67,4.0,74274809231800.0,0.00391311892231,1.7334191682000001e-13,0.124990974078,0.125001984106,0.250453720508,124
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2239894914.61,4291230.24477,-2240375516.99,-2234406473.13,-2244422151.33,-2244031571.18,-2235085414.7,4.0,18414657013600.0,0.00782621714084,1.7334191682000001e-13,0.249981948155,0.250003306843,0.125226860254,91
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2242935905.52,5065007.945,-2243440301.15,-2236640336.02,-2248222683.78,-2247821215.61,-2237344441.57,4.0,25654305482900.0,0.00391289118068,1.7334191682000001e-13,0.249981948155,0.124994709051,0.125226860254,76
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2254901678.56,2454845.60324,-2255042457.14,-2251764362.0,-2257757437.97,-2257371679.78,-2252234587.34,4.0,6026266935750.0,0.00779765499392,1.7334191682000001e-13,0.124990974078,0.249996693157,0.249546279492,108
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2268158788.95,5212122.97244,-2269686773.17,-2261126133.42,-2272135476.05,-2272128747.06,-2262049652.94,4.0,27166225879900.0,0.00391311892231,1.7334191682000001e-13,0.249981948155,0.125001984106,0.125226860254,96
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2280208412.27,2734869.78094,-2280487605.32,-2276700213.25,-2283158225.18,-2282877340.48,-2277148613.79,4.0,7479512718690.0,0.00389871403872,1.7334191682000001e-13,0.124990974078,0.124994709051,0.249546279492,103
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2286703286.94,5285083.24856,-2286685288.87,-2281501149.93,-2291941420.07,-2291727085.09,-2281704686.08,4.0,27932104944200.0,0.00779786128164,1.7334191682000001e-13,0.124990974078,0.250003306843,0.249546279492,113
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2321299754.41,7664217.69645,-2320981634.75,-2312425288.15,-2330810460.01,-2329612897.93,-2313431978.43,4.0,58740232898600.0,0.00779786128164,1.7334191682000001e-13,0.124990974078,0.250003306843,0.249546279492,118
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2354677490.8,4798066.28314,-2353929709.06,-2350183360.0,-2360667185.09,-2360022027.16,-2350379848.88,4.0,23021440057400.0,0.0038989409552,1.7334191682000001e-13,0.124990974078,0.125001984106,0.249546279492,123
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2395177620.74,7475828.24004,-2394943762.49,-2387405758.15,-2403417199.83,-2402810788.62,-2387871854.42,4.0,55888007874600.0,0.00779765499392,1.7334191682000001e-13,0.124990974078,0.249996693157,0.249546279492,107
