npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1418613241.32,54793337.2588,1418613241.32,1457357981.66,1379868500.98,1383742975.02,1453483507.63,2.0,3002309807950000.0,70,0.00781171612099,0.250000340497,0.25,0.124987287705,8.656992832709999e-15
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1370935214.88,62653929.7639,1370935214.88,1415238233.49,1326632196.28,1331062498.14,1410807931.63,2.0,3925514914860000.0,64,0.0156250212811,0.250000340497,0.25,0.25,8.656992832709999e-15
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1267340381.48,42701543.6959,1267340381.48,1297534932.6,1237145830.37,1240165285.48,1294515477.49,2.0,1823421834010000.0,53,0.00781330516007,0.250000340497,0.125,0.250025424591,8.656992832709999e-15
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1185613986.89,88886487.5369,1185613986.89,1248466224.98,1122761748.79,1129046972.6,1242181001.17,2.0,7900807666650000.0,59,0.0156250212811,0.250000340497,0.25,0.25,8.656992832709999e-15
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1106129404.9,118409229.518,1106129404.9,1189857374.05,1022401435.75,1030774232.67,1181484577.13,2.0,1.40207456352e+16,65,0.00781171612099,0.250000340497,0.25,0.124987287705,8.656992832709999e-15
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1060080582.39,120861946.978,1060080582.39,1145542884.69,974618280.097,983164510.326,1136996654.46,2.0,1.46076102273e+16,54,0.00781251064053,0.250000340497,0.125,0.25,8.656992832709999e-15
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,888553081.423,34686637.9128,888553081.423,913080238.308,864025924.538,866478640.227,910627522.619,2.0,1203162849700000.0,60,0.00781171612099,0.250000340497,0.25,0.124987287705,8.656992832709999e-15
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,854881485.055,4235466.8727,854881485.055,857876412.402,851886557.707,852186050.442,857576919.667,2.0,17939179629700.0,76,0.00390585806049,0.250000340497,0.125,0.124987287705,8.656992832709999e-15
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,850728443.323,53556510.3803,850728443.323,888598614.99,812858271.656,816645288.823,884811597.823,2.0,2868299804120000.0,100,0.00390585806049,0.250000340497,0.125,0.124987287705,8.656992832709999e-15
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,840707912.487,21425216.0066,840707912.487,855857828.014,825557996.961,827072988.513,854342836.461,2.0,459039880930000.0,94,0.0156250212811,0.250000340497,0.25,0.25,8.656992832709999e-15
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,818790729.811,13512363.1463,818790729.811,828345413.421,809236046.2,810191514.561,827389945.06,2.0,182583957797000.0,82,0.0156250212811,0.250000340497,0.25,0.25,8.656992832709999e-15
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,730958294.93,52088692.0697,730958294.93,767790562.316,694126027.544,697809254.283,764107335.577,2.0,2713231841530000.0,88,0.0156266103201,0.250000340497,0.25,0.250025424591,8.656992832709999e-15
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,694135817.102,19454847.0956,694135817.102,707892471.41,680379162.793,681754828.224,706516805.979,2.0,378491075511000.0,77,0.00781251064053,0.250000340497,0.125,0.25,8.656992832709999e-15
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,661953230.976,26029520.8216,661953230.976,680358881.66,643547580.292,645388145.36,678518316.591,2.0,677535954200000.0,89,0.0156250212811,0.250000340497,0.25,0.25,8.656992832709999e-15
