smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1276012860.11,2495251.97561,-1275486456.1,-1273639071.46,-1279439456.78,-1278938252.72,-1273824433.12,4.0,6226282421790.0,0.125226860254,0.250018051845,4.95258127397e-14,66,0.00782727349068,0.250000944804
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1277690344.4,19362703.6743,-1277470529.82,-1255427773.48,-1300392544.51,-1298084899.53,-1257603529.7,4.0,374914293577000.0,0.250453720508,0.124990974078,4.95258127397e-14,109,0.00782608404535,0.249999055196
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1308675609.37,6409403.04598,-1308810161.67,-1300717236.55,-1316364877.6,-1315323194.16,-1301839651.37,4.0,41080447405800.0,0.249546279492,0.250018051845,4.95258127397e-14,73,0.00779891969886,0.125000566882
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1344932739.12,3393345.21554,-1345486733.46,-1340473348.24,-1348284141.33,-1348042408.01,-1341047478.16,4.0,11514791751800.0,0.249546279492,0.249981948155,4.95258127397e-14,87,0.0155955752144,0.250000944804
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1346100531.81,33522629.1063,-1337384905.16,-1316991704.28,-1392640612.63,-1385874858.95,-1318528081.97,4.0,1123766662200000.0,0.249546279492,0.124990974078,4.95258127397e-14,102,0.00389883191784,0.124998488314
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1372112994.37,14038173.1089,-1368240796.57,-1360776586.89,-1391193797.43,-1388629544.57,-1361017521.08,4.0,197070304236000.0,0.250453720508,0.249981948155,4.95258127397e-14,94,0.015652286397,0.250000944804
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1424050069.24,15649513.6619,-1429158821.67,-1402068422.25,-1435814211.35,-1435643865.44,-1405304019.62,4.0,244907277854000.0,0.125226860254,0.124990974078,4.95258127397e-14,115,0.00391307159924,0.250000944804
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1429764597.93,14074198.5112,-1430175473.3,-1412127760.51,-1446579684.6,-1444153647.38,-1414800322.95,4.0,198083063731000.0,0.249546279492,0.124990974078,4.95258127397e-14,108,0.00779772866837,0.249999055196
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1433689230.77,5664308.81568,-1435219459.55,-1425941525.76,-1438376478.24,-1438231092.41,-1427005048.86,4.0,32084394359400.0,0.249546279492,0.250018051845,4.95258127397e-14,72,0.00779891969886,0.125000566882
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1480688461.81,5016579.2839,-1480357032.93,-1474912997.84,-1487126783.54,-1486184078.08,-1475656845.97,4.0,25166067711600.0,0.125226860254,0.124990974078,4.95258127397e-14,101,0.00195650474422,0.124998488314
