smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-323389694.611,2850766.66397,-323389694.611,-321373898.171,-325405491.05,-325203911.406,-321575477.815,2.0,8126870572420.0,0.25,119,0.00781256155355,0.25,0.125000984857,6.12351299001e-14
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-347721130.557,1996657.90878,-347721130.557,-346309280.21,-349132980.904,-348991795.869,-346450465.244,2.0,3986642804710.0,0.125,75,0.00390628847097,0.125,0.250002462142,6.12351299001e-14
1200.0,-747.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-372396571.173,1183337.41313,-372396571.173,-371559825.264,-373233317.083,-373149642.492,-371643499.855,2.0,1400287433320.0,0.25,9,0.00781228456257,0.25,0.124996553001,6.12351299001e-14
1200.0,-347.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-377117268.706,10849515.4143,-377117268.706,-369445502.784,-384789034.628,-384021858.036,-370212679.376,2.0,117711984725000.0,0.25,20,0.00390614228128,0.125,0.124996553001,6.12351299001e-14
1200.0,-747.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-377965352.539,2105129.47147,-377965352.539,-376476801.214,-379453903.863,-379305048.731,-376625656.347,2.0,4431570091630.0,0.25,34,0.0156248461161,0.25,0.249997537858,6.12351299001e-14
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-379686771.406,13223049.1886,-379686771.406,-370336663.657,-389036879.155,-388101868.38,-371271674.432,2.0,174849029844000.0,0.25,89,0.0156251538839,0.25,0.250002462142,6.12351299001e-14
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-395669640.953,4303696.33356,-395669640.953,-392626468.091,-398712813.814,-398408496.528,-392930785.377,2.0,18521802131500.0,0.125,103,0.00390628077678,0.25,0.125000984857,6.12351299001e-14
1200.0,-347.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-439678114.444,8573966.38074,-439678114.444,-433615404.674,-445740824.213,-445134553.236,-434221675.651,2.0,73512899498100.0,0.25,45,0.00781242305806,0.125,0.249997537858,6.12351299001e-14
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-450157384.447,17738823.0512,-450157384.447,-437614142.377,-462700626.517,-461446302.31,-438868466.584,2.0,314665843243000.0,0.125,100,0.00390628847097,0.125,0.250002462142,6.12351299001e-14
1200.0,-747.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-481136338.656,7562287.78259,-481136338.656,-475788993.684,-486483683.628,-485948949.131,-476323728.181,2.0,57188196506800.0,0.25,59,0.0156251538839,0.25,0.250002462142,6.12351299001e-14
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-490246564.896,4682937.0766,-490246564.896,-486935228.333,-493557901.459,-493226767.802,-487266361.99,2.0,21929899663400.0,0.25,114,0.00781256155355,0.25,0.125000984857,6.12351299001e-14
1200.0,-347.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-536982324.082,4134635.23986,-536982324.082,-534058695.466,-539905952.697,-539613589.836,-534351058.327,2.0,17095208566700.0,0.25,70,0.00781257694194,0.125,0.250002462142,6.12351299001e-14
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-549603678.914,74356.8623847,-549603678.914,-549551100.673,-549656257.156,-549650999.332,-549556358.497,2.0,5528942983.69,0.125,125,0.00195314038839,0.125,0.125000984857,6.12351299001e-14
1200.0,-947.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-579913874.151,5862217.18822,-579913874.151,-575768660.625,-584059087.678,-583644566.325,-576183181.977,2.0,34365590361900.0,0.125,29,0.00781242305806,0.25,0.249997537858,6.12351299001e-14
1200.0,-747.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-582008129.898,4319276.68671,-582008129.898,-578953940.063,-585062319.733,-584756900.75,-579259359.047,2.0,18656151096300.0,0.25,84,0.0156251538839,0.25,0.250002462142,6.12351299001e-14
1200.0,-947.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-598677281.648,4523538.73522,-598677281.648,-595478656.733,-601875906.562,-601556044.071,-595798519.225,2.0,20462402689000.0,0.125,4,0.00390614228128,0.25,0.124996553001,6.12351299001e-14
1200.0,-547.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-605826210.192,7409494.75141,-605826210.192,-600586906.208,-611065514.176,-610541583.778,-601110836.607,2.0,54900612471200.0,0.25,15,0.00390614228128,0.125,0.124996553001,6.12351299001e-14
1200.0,-547.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-645775667.176,20130523.2312,-645775667.176,-631541237.691,-660010096.662,-658586653.714,-632964680.639,2.0,405237965564000.0,0.25,40,0.00781242305806,0.125,0.249997537858,6.12351299001e-14
