smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,prefix
720.0,-154.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1552122356.28,20046148.5324,-1554529280.92,-1514963928.34,-1579142132.99,-1574394563.8,-1521214153.19,10.0,401848070984000.0,0.250000519641,0.125226860254,0.249981948155,2.4762864257000002e-14,0.007826129889,90
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1563094144.74,40828895.0111,-1567804368.63,-1496059296.82,-1607791820.67,-1606810085.32,-1504344269.59,10.0,1666998667820000.0,0.249999574839,0.249546279492,0.249981948155,2.4762864257000002e-14,0.0155954897531,82
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1568509696.32,34263678.7096,-1571341533.92,-1520737684.32,-1616513545.51,-1614272289.48,-1526129110.97,10.0,1173999678710000.0,0.250000425161,0.250453720508,0.250018051845,2.4762864257000002e-14,0.0156545144424,69
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1572460568.58,40331058.1075,-1572721064.09,-1506698669.18,-1632999854.32,-1623525811.11,-1514671931.99,10.0,1626594248070000.0,0.124999315018,0.250453720508,0.124990974078,2.4762864257000002e-14,0.00391303536798,104
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1640058650.38,45699537.5845,-1643004303.22,-1562656550.36,-1701218626.46,-1693172676.48,-1567770795.1,10.0,2088447735440000.0,0.249999574839,0.125226860254,0.124990974078,2.4762864257000002e-14,0.00391305015624,110
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1648078740.05,29271794.601,-1653913744.37,-1590497628.12,-1687243849.48,-1683851166.2,-1603829045.84,10.0,856837959165000.0,0.124999315018,0.125226860254,0.249981948155,2.4762864257000002e-14,0.00391303536798,76
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1657595946.86,32665623.7988,-1658109821.53,-1589505112.9,-1700124749.09,-1697777508.66,-1609583211.79,10.0,1067042978170000.0,0.12500016534,0.249546279492,0.250018051845,2.4762864257000002e-14,0.00779889464623,48
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1667208692.7,44863245.9177,-1660234439.24,-1603379080.29,-1755149432.99,-1733235503.21,-1615157006.51,10.0,2012710834270000.0,0.250000519641,0.250453720508,0.249981948155,2.4762864257000002e-14,0.015652259778,89
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1715228139.32,29323679.7365,-1711317219.33,-1678493477.49,-1754909095.38,-1754134991.38,-1680131437.6,10.0,859878193286000.0,0.124999315018,0.249546279492,0.124990974078,2.4762864257000002e-14,0.00389885770361,103
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1723367400.55,52711783.8585,-1743113970.56,-1643948181.85,-1785920167.58,-1779594011.75,-1649178304.63,10.0,2778532157550000.0,0.249999574839,0.125226860254,0.249981948155,2.4762864257000002e-14,0.00782610031248,81
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1750735152.3,38344159.5876,-1762538905.02,-1663902167.13,-1792203409.59,-1790789465.86,-1691055568.16,10.0,1470274574480000.0,0.250000425161,0.249546279492,0.250018051845,2.4762864257000002e-14,0.0155977951872,68
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1816402187.38,34977047.2359,-1821783171.52,-1756397839.67,-1877535277.42,-1862993066.61,-1767741024.84,10.0,1223393833340000.0,0.249999574839,0.250453720508,0.124990974078,2.4762864257000002e-14,0.00782610031248,109
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1833523663.74,37845630.9871,-1820589154.83,-1793694506.64,-1895276117.74,-1886312691.45,-1794685122.63,10.0,1432291784820000.0,0.12500016534,0.249546279492,0.250018051845,2.4762864257000002e-14,0.00779889464623,47
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1855591477.98,62943545.6781,-1847784629.52,-1779243920.75,-1993481867.23,-1956313705.44,-1786834176.09,10.0,3961889942530000.0,0.250000519641,0.249546279492,0.249981948155,2.4762864257000002e-14,0.0155955486918,88
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1867158100.95,38930023.2821,-1867833545.1,-1817430287.24,-1949345032.78,-1925757514.94,-1822509805.4,10.0,1515546712750000.0,0.124999315018,0.249546279492,0.124990974078,2.4762864257000002e-14,0.00389885770361,102
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1939342507.02,41680451.8385,-1942278608.35,-1871046905.73,-2010187620.29,-2001577942.87,-1881698610.74,10.0,1737260065460000.0,0.249999574839,0.249546279492,0.124990974078,2.4762864257000002e-14,0.00779774487657,108
