npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,151954637.625,13890629.5679,151954637.625,161776795.988,142132479.263,143114695.099,160794580.152,2.0,192949589792000.0,0.0155977277282,59,0.25000088556,4.07233133368e-14,0.249982898967,0.249579831933
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,150600655.323,1665909.24481,150600655.323,151778631.047,149422679.6,149540477.172,151660833.475,2.0,2775253611930.0,0.007797741599,40,0.24999911444,4.07233133368e-14,0.124974348451,0.249579831933
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,124410397.764,5108570.93256,124410397.764,128022702.912,120798092.615,121159323.13,127661472.397,2.0,26097496973000.0,0.00779993088613,113,0.12500044278,4.07233133368e-14,0.250017101033,0.249579831933
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,112115443.041,6760106.74757,112115443.041,116895560.364,107335325.718,107813337.451,116417548.632,2.0,45699043238500.0,0.01565024533,94,0.25000088556,4.07233133368e-14,0.249982898967,0.250420168067
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,111748037.292,11202095.445,111748037.292,119669114.945,103826959.64,104619067.405,118877007.18,2.0,125486942360000.0,0.00391202602517,75,0.25000088556,4.07233133368e-14,0.124974348451,0.125210084034
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,106555553.242,11608095.8956,106555553.242,114763716.567,98347389.9179,99168206.2504,113942900.234,2.0,134747890322000.0,0.00195598529803,5,0.124998671661,4.07233133368e-14,0.124974348451,0.125210084034
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,25921532.0677,2921970.36087,25921532.0677,27987677.1243,23855387.0111,24062001.5167,27781062.6186,2.0,8537910789780.0,0.00782512266501,54,0.25000088556,4.07233133368e-14,0.249982898967,0.125210084034
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,20556820.4611,9557252.70217,20556820.4611,27314818.6563,13798822.2659,14474622.0854,26639018.8368,2.0,91341079213000.0,0.00782405205033,70,0.25000088556,4.07233133368e-14,0.124974348451,0.250420168067
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,12880577.1332,3475961.74866,12880577.1332,15338453.2568,10422701.0096,10668488.6219,15092665.6445,2.0,12082310078200.0,0.0155977277282,89,0.25000088556,4.07233133368e-14,0.249982898967,0.249579831933
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,5420289.81512,10509343.5549,5420289.81512,12851517.9086,-2010938.27835,-1267815.46901,12108395.0993,2.0,110446301955000.0,0.007797741599,35,0.24999911444,4.07233133368e-14,0.124974348451,0.249579831933
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,4748781.11284,6244061.21863,4748781.11284,9163999.14267,333563.083002,775084.885985,8722477.33969,2.0,38988300502000.0,0.00779993088613,108,0.12500044278,4.07233133368e-14,0.250017101033,0.249579831933
