smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix
720.0,-460.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-202820814.223,5456546.72159,-202820814.223,-198962453.034,-206679175.412,-206293339.293,-199348289.153,2.0,29773902124800.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111111426772,0.00137378213977,334
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-207643011.102,18048727.2203,-207643011.102,-194880633.692,-220405388.511,-219129150.77,-196156871.433,2.0,325756554273000.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111111426772,0.00137417895726,423
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-219727806.021,4615163.56498,-219727806.021,-216464392.568,-222991219.474,-222664878.129,-216790733.913,2.0,21299734731500.0,0.111096848726,3.6760970142599995e-14,0.110483870968,0.111111604332,0.00136382937617,245
720.0,-323.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-222419451.628,21307345.5914,-222419451.628,-207352883.071,-237486020.184,-235979363.329,-208859539.926,2.0,454002976150000.0,0.111096848726,3.6760970142599995e-14,0.110483870968,0.111109828737,0.00136380758179,156
720.0,-460.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-233459835.98,1719332.70153,-233459835.98,-232244084.168,-234675587.793,-234554012.612,-232365659.349,2.0,2956104938540.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.055553937791,0.000686869116419,36
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,1564426.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-238292628.277,2668532.98756,-238292628.277,-236405690.506,-240179566.049,-239990872.271,-236594384.283,2.0,7121068305700.0,0.111128939092,3.6760970142599995e-14,0.0556451612903,0.111111604332,0.000687090576621,502
720.0,-667.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-239833274.675,15730661.2359,-239833274.675,-228710017.442,-250956531.907,-249844206.184,-229822343.165,2.0,247453702919000.0,0.111096848726,3.6760970142599995e-14,0.0556451612903,0.111111604332,0.00068689216756,204
720.0,-391.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-247112684.783,7790618.19127,-247112684.783,-241603885.831,-252621483.736,-252070603.841,-242154765.726,2.0,60693731802200.0,0.111096848726,3.6760970142599995e-14,0.110483870968,0.111109828737,0.00136380758179,146
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-247460809.302,7596454.71153,-247460809.302,-242089304.663,-252832313.942,-252295163.478,-242626455.127,2.0,57706124184400.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111111426772,0.00137417895726,413
720.0,-529.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-248424122.048,2672731.2382,-248424122.048,-246534215.665,-250314028.431,-250125037.793,-246723206.303,2.0,7143492271680.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111111426772,0.00137378213977,324
