npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity
1193.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2396504261.21,7539798.84263,2396504261.21,2401835704.1,2391172818.32,2391705962.61,2401302559.81,2.0,56848566587300.0,0.00137176750981,0.111111111111,362,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2391574604.2,2580700.37619,2391574604.2,2393399434.93,2389749773.46,2389932256.54,2393216951.86,2.0,6660014431670.0,0.000342889928369,0.0555555555556,301,0.0555481683958,8.268855378149999e-14,0.111111111111
1193.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2384164889.04,1696246.32519,2384164889.04,2385364316.32,2382965461.76,2383085404.49,2385244373.59,2.0,2877251595710.0,0.00137175712,0.111111111111,444,0.11111232672,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2380331589.0,,2380331589.0,2380331589.0,2380331589.0,2380331589.0,2380331589.0,1.0,,0.000685878559998,0.0555555555556,341,0.11111232672,8.268855378149999e-14,0.111111111111
1193.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,594134.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2379719799.15,444735.340183,2379719799.15,2380034274.53,2379405323.78,2379436771.32,2380002826.99,2.0,197789522807.0,0.000685883754906,0.111111111111,393,0.0555565841474,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,462104.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2366319107.3,5756110.78044,2366319107.3,2370389292.27,2362248922.33,2362655940.83,2369982273.77,2.0,33132811316700.0,0.00137176750981,0.111111111111,372,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2361054990.32,4891652.42409,2361054990.32,2364513910.92,2357596069.72,2357941961.78,2364168018.86,2.0,23928263438100.0,0.00137176750981,0.111111111111,423,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330074.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2358441351.18,4190721.13059,2358441351.18,2361404638.51,2355478063.85,2355774392.58,2361108309.77,2.0,17562143594400.0,0.000685883754906,0.0555555555556,351,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2350745443.22,5889871.46911,2350745443.22,2354910211.27,2346580675.16,2346997151.97,2354493734.47,2.0,34690585922700.0,0.000685779856739,0.111111111111,403,0.0555481683958,8.268855378149999e-14,0.111111111111
1193.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330074.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2347934751.79,1047644.92652,2347934751.79,2348675548.63,2347193954.96,2347268034.65,2348601468.94,2.0,1097559892050.0,0.00137176750981,0.111111111111,454,0.111113168295,8.268855378149999e-14,0.111111111111
