npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,PointProbability
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-21856494.4773,645661.099362,-21856494.4773,-21399943.1355,-22313045.819,-22267390.6848,-21445598.2697,2.0,416878255229.0,0.00779993088613,0.12500044278,0.250017101033,0.249579831933,108,4.07233133368e-14
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-69800990.6295,3502612.52245,-69800990.6295,-67324269.563,-72277711.696,-72030039.5894,-67571941.6697,2.0,12268294482400.0,0.0155977277282,0.25000088556,0.249982898967,0.249579831933,84,4.07233133368e-14
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-98620318.3393,4293809.62791,-98620318.3393,-95584136.4343,-101656500.244,-101352882.054,-95887754.6248,2.0,18436801120700.0,0.00782512266501,0.12500044278,0.249982898967,0.250420168067,119,4.07233133368e-14
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-124716363.508,26188526.842,-124716363.508,-106198278.589,-143234448.427,-141382639.936,-108050087.081,2.0,685838938152000.0,0.00782405205033,0.25000088556,0.124974348451,0.250420168067,95,4.07233133368e-14
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-127191428.093,38314763.3212,-127191428.093,-100098799.129,-154284057.057,-151574794.161,-102808062.026,2.0,1468021088360000.0,0.00779779684211,0.25000088556,0.124974348451,0.249579831933,60,4.07233133368e-14
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-171302620.173,19265103.9249,-171302620.173,-157680134.547,-184925105.799,-183562857.236,-159042383.11,2.0,371144229238000.0,0.00391309663984,0.12500044278,0.250017101033,0.125210084034,103,4.07233133368e-14
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-207960367.627,4213500.73994,-207960367.627,-204980972.681,-210939762.573,-210641823.078,-205278912.176,2.0,17753588485400.0,0.00782512266501,0.25000088556,0.249982898967,0.125210084034,79,4.07233133368e-14
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-253236433.042,38386836.2838,-253236433.042,-226092840.798,-280380025.287,-277665666.062,-228807200.022,2.0,1473549199880000.0,0.00779886386412,0.12500044278,0.249982898967,0.249579831933,114,4.07233133368e-14
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-254721754.006,4417095.45512,-254721754.006,-251598395.857,-257845112.156,-257532776.341,-251910731.672,2.0,19510732259600.0,0.00195601301258,0.12500044278,0.124974348451,0.125210084034,125,4.07233133368e-14
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-297618966.693,9567829.27009,-297618966.693,-290853489.735,-304384443.651,-303707895.955,-291530037.431,2.0,91543356941600.0,0.00779779684211,0.25000088556,0.124974348451,0.249579831933,90,4.07233133368e-14
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-306338054.773,33859665.4684,-306338054.773,-282395655.711,-330280453.834,-327886213.928,-284789895.618,2.0,1146476945630000.0,0.00391202602517,0.25000088556,0.124974348451,0.125210084034,55,4.07233133368e-14
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-356798785.187,11536707.7292,-356798785.187,-348641100.919,-364956469.455,-364140701.028,-349456869.346,2.0,133095625229000.0,0.00779886386412,0.12500044278,0.249982898967,0.249579831933,109,4.07233133368e-14
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-398333432.7,2562242.42505,-398333432.7,-396521653.706,-400145211.694,-399964033.794,-396702831.606,2.0,6565086244720.0,0.00779779684211,0.25000088556,0.124974348451,0.249579831933,85,4.07233133368e-14
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-427191135.536,17991352.1803,-427191135.536,-414469328.407,-439912942.665,-438640761.953,-415741509.12,2.0,323688753277000.0,0.00391202602517,0.12500044278,0.124974348451,0.250420168067,120,4.07233133368e-14
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-488051326.914,1942528.99653,-488051326.914,-486677751.488,-489424902.34,-489287544.798,-486815109.031,2.0,3773418902360.0,0.0039125613325,0.12500044278,0.249982898967,0.125210084034,104,4.07233133368e-14
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-555719485.037,8008660.13634,-555719485.037,-550056507.147,-561382462.928,-560816165.139,-550622804.936,2.0,64138637179400.0,0.00391202602517,0.25000088556,0.124974348451,0.125210084034,80,4.07233133368e-14
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-602161178.886,27643139.9509,-602161178.886,-582614527.173,-621707830.598,-619753165.427,-584569192.344,2.0,764143186346000.0,0.00389889842105,0.12500044278,0.124974348451,0.249579831933,115,4.07233133368e-14
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-706789933.237,437080.804193,-706789933.237,-706480870.437,-707098996.038,-707068089.758,-706511776.717,2.0,191039629394.0,0.00389889842105,0.12500044278,0.124974348451,0.249579831933,110,4.07233133368e-14
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-843633099.784,5631860.97089,-843633099.784,-839650772.7,-847615426.867,-847217194.158,-840049005.409,2.0,31717857995400.0,0.00195601301258,0.12500044278,0.124974348451,0.125210084034,105,4.07233133368e-14
769.0,-620.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-119954437032000.0,7968888.62817,-119954437032000.0,-119954431397000.0,-119954442667000.0,-119954442103000.0,-119954431961000.0,2.0,63503185968200.0,0.00389996544306,0.12500044278,0.125008550516,0.249579831933,106,4.07233133368e-14
