npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,152032270.616,4878224.45004,152032270.616,155481696.205,148582845.027,148927787.586,155136753.646,2.0,23797073784900.0,88,0.249579831933,0.25000088556,0.250017101033,4.07233133368e-14,0.0155998617723
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,143698576.646,24785139.3406,143698576.646,161224316.746,126172836.545,127925410.555,159471742.736,2.0,614303132131000.0,5,0.125210084034,0.124998671661,0.124974348451,4.07233133368e-14,0.00195598529803
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,38319517.0951,164499.370585,38319517.0951,38435835.7155,38203198.4746,38214830.3367,38424203.8535,2.0,27060042922.9,59,0.249579831933,0.25000088556,0.249982898967,4.07233133368e-14,0.0155977277282
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,29052470.6007,7664552.54941,29052470.6007,34472127.6831,23632813.5182,24174779.2265,33930161.9749,2.0,58745365782600.0,35,0.249579831933,0.24999911444,0.124974348451,4.07233133368e-14,0.007797741599
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,4644320.96282,7941827.31478,4644320.96282,10260040.9121,-971398.986475,-409826.991546,9698468.91718,2.0,63072621097700.0,83,0.249579831933,0.25000088556,0.250017101033,4.07233133368e-14,0.0155998617723
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,2921365.66211,11744097.8977,2921365.66211,11225696.9245,-5382965.60029,-4552532.47405,10395263.7983,2.0,137923835431000.0,107,0.249579831933,0.12500044278,0.250017101033,4.07233133368e-14,0.00779993088613
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-7621181.10118,13548459.3773,-7621181.10118,1959026.39911,-17201388.6015,-16243367.8514,1001005.64908,2.0,183560751497000.0,70,0.250420168067,0.25000088556,0.124974348451,4.07233133368e-14,0.00782405205033
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-35363788.3664,2894878.79131,-35363788.3664,-33316799.9423,-37410776.7904,-37206077.948,-33521498.7847,2.0,8380323216370.0,94,0.250420168067,0.25000088556,0.249982898967,4.07233133368e-14,0.01565024533
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-114702051.049,8491891.09119,-114702051.049,-108697377.273,-120706724.825,-120106257.447,-109297844.651,2.0,72112214304600.0,78,0.125210084034,0.25000088556,0.250017101033,4.07233133368e-14,0.00782619327968
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-118570646.894,6432089.16158,-118570646.894,-114022473.03,-123118820.757,-122664003.371,-114477290.417,2.0,41371770982500.0,102,0.125210084034,0.12500044278,0.250017101033,4.07233133368e-14,0.00391309663984
