npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity
769.0,-680.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1520379508.96,9187324.98891,1521139112.0,1529293311.53,1509946500.3,1510778434.61,1528917139.05,4.0,84406940451800.0,0.00137500823064,1.17308946207e-12,262,0.111126504117,0.111111111111,0.111360239163
769.0,-680.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,8422.0,ref,cooper,nebraska,covid,1519059245.26,5249347.14636,1520417049.28,1523645537.59,1511757344.88,1512828126.76,1523389438.12,4.0,27555645463000.0,0.0013741919598,1.17308946207e-12,212,0.111060534093,0.111111111111,0.111360239163
769.0,-680.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,75802.0,ref,cooper,nebraska,covid,1516918906.63,4739456.70451,1516920788.9,1522611152.7,1511222896.02,1511908500.6,1521926677.48,4.0,22462449853900.0,0.000687463301778,1.17308946207e-12,292,0.0555599535571,0.111111111111,0.111360239163
769.0,-680.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,cooper,nebraska,covid,1494708354.02,5752554.64915,1497171895.02,1498366449.68,1486123176.34,1487756614.16,1498211136.47,4.0,33091884991400.0,0.0006866470309369999,1.17308946207e-12,202,0.0554939835339,0.111111111111,0.111360239163
769.0,-754.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1473684505.05,3006978.49752,1474272853.83,1476618002.91,1469574309.65,1470176566.82,1476368755.0,4.0,9041919684520.0,0.000682889993741,1.17308946207e-12,241,0.111126504117,0.111111111111,0.0553064275037
769.0,-754.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,75802.0,ref,cooper,nebraska,covid,1472707096.64,1741409.2526599998,1472010637.84,1475271783.57,1471535327.31,1471562032.44,1474827203.16,4.0,3032506185240.0,0.000341424727057,1.17308946207e-12,291,0.0555599535571,0.111111111111,0.0553064275037
769.0,-754.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,42112.0,ref,cooper,nebraska,covid,1472271432.39,3661633.72524,1471815499.42,1476617995.18,1468836735.53,1468963287.22,1476217883.71,4.0,13407561537800.0,0.000682889993741,1.17308946207e-12,251,0.111126504117,0.111111111111,0.0553064275037
769.0,-754.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1471964088.91,5251577.36517,1472927443.1,1477031051.45,1464970417.98,1465897842.21,1476681639.74,4.0,27579064822400.0,0.000682889993741,1.17308946207e-12,261,0.111126504117,0.111111111111,0.0553064275037
769.0,-754.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,25267.0,ref,cooper,nebraska,covid,1470108675.89,2787652.81002,1469477476.39,1473954466.78,1467525283.99,1467709314.88,1473391716.2,4.0,7771008189220.0,0.000682889993741,1.17308946207e-12,231,0.111126504117,0.111111111111,0.0553064275037
769.0,-754.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1468468134.03,5295953.83281,1469344331.43,1473251601.79,1461932271.48,1462606670.67,1473102921.04,4.0,28047126999200.0,0.000682889993741,1.17308946207e-12,281,0.111126504117,0.111111111111,0.0553064275037
769.0,-754.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,58957.0,ref,cooper,nebraska,covid,1466352767.63,2933002.25127,1465339915.75,1470646808.6,1464084430.42,1464228812.28,1469894715.61,4.0,8602502205940.0,0.000682889993741,1.17308946207e-12,271,0.111126504117,0.111111111111,0.0553064275037
769.0,-531.0,-13347.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1465918610.71,4993752.4159699995,1465505839.51,1471856455.65,1460806308.17,1461127661.6,1471287439.5,4.0,24937563192000.0,0.00136577998748,1.17308946207e-12,364,0.111126504117,0.111111111111,0.11061285500700001
769.0,-531.0,-13347.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1464678569.49,6390492.18539,1465436629.35,1471211681.88,1456629337.38,1457555071.38,1470740783.81,4.0,40838390371600.0,0.00136577998748,1.17308946207e-12,344,0.111126504117,0.111111111111,0.11061285500700001
769.0,-754.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,1464532811.39,1175746.00344,1464684165.49,1465729189.72,1463033724.84,1463212328.59,1465641398.44,4.0,1382378664590.0,0.000682889993741,1.17308946207e-12,221,0.111126504117,0.111111111111,0.0553064275037
769.0,-531.0,-13347.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,1463177121.8,6374533.26327,1464302396.24,1469109606.1,1454994088.6,1455950254.9,1468828604.47,4.0,40634674324500.0,0.00136577998748,1.17308946207e-12,324,0.111126504117,0.111111111111,0.11061285500700001
769.0,-531.0,-13347.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1461426009.07,10065466.7543,1463192784.42,1470189655.91,1449128811.52,1450353056.05,1470025476.6,4.0,101313620981000.0,0.00136577998748,1.17308946207e-12,384,0.111126504117,0.111111111111,0.11061285500700001
769.0,-531.0,-13347.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,42112.0,ref,cooper,nebraska,covid,1460100231.05,14448171.5653,1465633145.39,1470396554.8,1438738078.63,1442599127.16,1469855254.87,4.0,208749661579000.0,0.00136577998748,1.17308946207e-12,354,0.111126504117,0.111111111111,0.11061285500700001
769.0,-531.0,-13347.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,25267.0,ref,cooper,nebraska,covid,1457509442.13,15841887.2114,1463052502.69,1469642473.25,1434290289.87,1438364958.25,1468893641.21,4.0,250965390420000.0,0.00136577998748,1.17308946207e-12,334,0.111126504117,0.111111111111,0.11061285500700001
769.0,-531.0,-13347.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,58957.0,ref,cooper,nebraska,covid,1455843456.59,20828880.4031,1464671339.22,1469222578.49,1424808569.41,1430589592.43,1468738285.06,4.0,433842258845000.0,0.00136577998748,1.17308946207e-12,374,0.111126504117,0.111111111111,0.11061285500700001
769.0,-531.0,-13347.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,75802.0,ref,cooper,nebraska,covid,1455747133.86,12286796.8377,1456752075.45,1468086677.35,1441397707.19,1442679617.22,1467407732.27,4.0,150965376532000.0,0.000682849454115,1.17308946207e-12,394,0.0555599535571,0.111111111111,0.11061285500700001
769.0,-531.0,-13347.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,8422.0,ref,cooper,nebraska,covid,1455141388.56,9554712.27472,1453401718.77,1466780809.99,1446981306.71,1447084241.71,1465634073.12,4.0,91292526652700.0,0.00136496919497,1.17308946207e-12,314,0.111060534093,0.111111111111,0.11061285500700001
769.0,-754.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,8422.0,ref,cooper,nebraska,covid,1448950294.4,2902395.76207,1448986928.08,1452402463.89,1445424857.54,1445857276.26,1451992025.38,4.0,8423901159690.0,0.000682484597484,1.17308946207e-12,211,0.111060534093,0.111111111111,0.0553064275037
