npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,485588951.27,17826666.0835,485588951.27,498194307.743,472983594.796,474244130.444,496933772.096,2.0,317790023652000.0,0.249579831933,102,0.124991342377,0.00389941477793,2.78193391732e-13,0.125
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,442786434.322,17813581.9151,442786434.322,455382538.892,430190329.753,431449940.21,454122928.435,2.0,317323700646000.0,0.249579831933,112,0.250006184017,0.00779956267363,2.78193391732e-13,0.125
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,409471814.182,39040561.7196,409471814.182,437077660.115,381865968.249,384626552.842,434317075.522,2.0,1524165459380000.0,0.249579831933,117,0.250006184017,0.00779956267363,2.78193391732e-13,0.125
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,362648309.43,34026776.9267,362648309.43,386708874.136,338587744.723,340993801.194,384302817.666,2.0,1157821548020000.0,0.249579831933,122,0.125002473607,0.00389976204424,2.78193391732e-13,0.125
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,362488821.053,13057222.2921,362488821.053,371721671.479,353255970.627,354179255.67,370798386.437,2.0,170491053985000.0,0.125210084034,106,0.249993815983,0.0039127183384,2.78193391732e-13,0.125
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,333043401.771,17364666.6899,333043401.771,345322075.341,320764728.202,321992595.559,344094207.984,2.0,301531649252000.0,0.125210084034,101,0.124991342377,0.00195627206031,2.78193391732e-13,0.125
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,320777651.143,11593145.7898,320777651.143,328975243.146,312580059.14,313399818.34,328155483.946,2.0,134401029305000.0,0.125210084034,111,0.250006184017,0.0039129119137,2.78193391732e-13,0.125
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,279189522.76,5477083.62493,279189522.76,283062405.732,275316639.788,275703928.085,282675117.435,2.0,29998445034500.0,0.125210084034,116,0.250006184017,0.0039129119137,2.78193391732e-13,0.125
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,230313599.703,20225531.2849,230313599.703,244615210.027,216011989.378,217442150.41,243185048.995,2.0,409072115756000.0,0.125210084034,121,0.125002473607,0.00195644627809,2.78193391732e-13,0.125
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159650887752.0,6365117.83907,-159650887752.0,-159646386934.0,-159655388570.0,-159654938488.0,-159646837016.0,2.0,40514725105300.0,0.250420168067,79,0.124991342377,0.00782508824124,2.78193391732e-13,0.25
