smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,248591364.201,3222084.52468,249421452.888,251523607.027,243998944.003,244782504.59,251238099.652,4.0,10381828684200.0,1.7334191682000001e-13,0.0155957225633,87,0.249546279492,0.250003306843,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,221989482.522,2559952.69267,222554245.761,224391641.143,218457797.425,218978650.213,224209646.298,4.0,6553357788690.0,1.7334191682000001e-13,0.00779788191041,98,0.249546279492,0.125001984106,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,208953487.685,9199349.6398,209828746.138,217485569.558,198670888.905,199433240.716,217248372.819,4.0,84628033795300.0,1.7334191682000001e-13,0.00782621714084,114,0.250453720508,0.250003306843,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,194050006.971,5726775.37495,192899195.36,201487732.452,188913904.71,189114271.516,200596878.68,4.0,32795956195200.0,1.7334191682000001e-13,0.00782601010299,81,0.125226860254,0.249996693157,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,173371684.26,6094966.80936,173448551.609,178936182.303,167653451.52,167789615.262,178846138.97,4.0,37148620407200.0,1.7334191682000001e-13,0.00195655946116,125,0.125226860254,0.125001984106,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,170085556.712,6171575.96026,171517991.684,175465553.667,161840689.813,162906357.624,175259346.839,4.0,38088349833300.0,1.7334191682000001e-13,0.0155957225633,92,0.249546279492,0.250003306843,0.249981948155
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,145045664.389,6721620.13535,145232131.951,152828848.022,136889545.631,137834060.362,151996213.828,4.0,45180177244000.0,1.7334191682000001e-13,0.00389871403872,103,0.249546279492,0.124994709051,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,144356172.193,1769378.90022,143928567.098,146833689.281,142733865.295,142859358.599,146451632.92,4.0,3130701692560.0,1.7334191682000001e-13,0.00391289118068,76,0.125226860254,0.124994709051,0.249981948155
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,144230006.018,7045146.85419,142447416.792,153933747.214,138091443.274,138397847.959,152557788.993,4.0,49634094197100.0,1.7334191682000001e-13,0.00779765499392,108,0.249546279492,0.249996693157,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,132719840.868,6098436.401,131090495.766,140764892.367,127933479.574,127949210.714,139771554.165,4.0,37190926537000.0,1.7334191682000001e-13,0.00782621714084,119,0.250453720508,0.250003306843,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,110906488.26,4111498.09686,110018392.959,116632482.668,106956684.452,107324215.931,115732094.009,4.0,16904416600500.0,1.7334191682000001e-13,0.00782621714084,86,0.125226860254,0.250003306843,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,93566575.5358,4969212.41842,93598029.8995,99400394.4182,87669847.9261,88315529.5808,98773585.3817,4.0,24693072059400.0,1.7334191682000001e-13,0.00779788191041,97,0.249546279492,0.125001984106,0.249981948155
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,63287435.8591,1941088.02346,62583219.1638,66130148.3332,61853156.7757,61918491.8168,65642283.2749,4.0,3767822714810.0,1.7334191682000001e-13,0.00779786128164,113,0.249546279492,0.250003306843,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,50716984.0977,7072901.5733,53327351.688,55797580.0396,40415652.975,42126910.9789,55652542.5898,4.0,50025936665500.0,1.7334191682000001e-13,0.00391311892231,124,0.250453720508,0.125001984106,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,31002378.2144,4238190.43092,30647451.7145,35858653.1309,26855956.2976,27044339.5268,35457314.0018,4.0,17962258128700.0,1.7334191682000001e-13,0.00782621714084,91,0.125226860254,0.250003306843,0.249981948155
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-7447896.08151,7309294.41534,-6465915.03866,296920.315831,-17156674.5645,-15767990.808,-502574.815037,4.0,53425784850200.0,1.7334191682000001e-13,0.00779765499392,107,0.249546279492,0.249996693157,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-16122049.5367,5786867.86877,-17401167.6155,-8170720.26595,-21515142.6498,-21132405.3159,-9320928.44716,4.0,33487839730600.0,1.7334191682000001e-13,0.00389871403872,102,0.249546279492,0.124994709051,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-17354052.093,3988000.5224,-16409338.6632,-13607132.5593,-22990398.4863,-22039931.4436,-13990771.5441,4.0,15904148166700.0,1.7334191682000001e-13,0.00779786128164,118,0.249546279492,0.250003306843,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-53925081.1935,4558505.64912,-55993853.2123,-47117225.4354,-56595392.914,-56563529.2332,-48390352.3275,4.0,20779973753100.0,1.7334191682000001e-13,0.00391311892231,96,0.125226860254,0.125001984106,0.249981948155
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-88424756.8266,8469182.28491,-88299162.0299,-79540490.8781,-97560212.3684,-96941497.7211,-80083848.6474,4.0,71727048575100.0,1.7334191682000001e-13,0.00779786128164,112,0.249546279492,0.250003306843,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-97151939.8621,2687380.17728,-96561929.639,-94593136.3332,-100890763.837,-100312076.788,-94817817.2481,4.0,7222012217210.0,1.7334191682000001e-13,0.0038989409552,123,0.249546279492,0.125001984106,0.124990974078
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-160515007.234,5688446.35153,-161873880.154,-152464026.318,-165848242.311,-165288907.466,-153838684.914,4.0,32358421894300.0,1.7334191682000001e-13,0.00391300505149,106,0.125226860254,0.249996693157,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-174986216.44,7885572.29395,-175653947.575,-166554939.017,-182082031.591,-181967790.98,-167069818.31,4.0,62182250403000.0,1.7334191682000001e-13,0.00779786128164,117,0.249546279492,0.250003306843,0.124990974078
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-184007522.286,5429212.97843,-185650171.252,-176246989.656,-188482756.986,-188234680.798,-177480655.223,4.0,29476353565100.0,1.7334191682000001e-13,0.00195644559034,101,0.125226860254,0.124994709051,0.124990974078
