npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,899026844.709,6750076.34884,897635205.203,908417087.64,892419880.789,893096717.793,906905266.933,4.0,45563530715200.0,118,0.250002917546,0.125,0.25,0.00781259117331,8.47275451554e-14
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,819171017.078,3791903.29101,818654336.576,824213984.308,815161410.851,815574450.415,823490936.443,4.0,14378530568400.0,96,0.125001458773,0.25,0.124645892351,0.00389522959349,8.47275451554e-14
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,807052875.673,6030303.10759,806934601.769,813640431.504,800701867.649,801102911.619,813168423.191,4.0,36364555569400.0,112,0.250002387083,0.125,0.25,0.00781257459634,8.47275451554e-14
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,798852441.418,4989158.77379,799606821.627,804112003.88,792084118.536,793185744.716,803463005.825,4.0,24891705270100.0,123,0.125001458773,0.125,0.25,0.00390629558665,8.47275451554e-14
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,733205211.797,3400072.16251,733523652.832,736627834.5,729145707.023,729536497.978,736428108.167,4.0,11560490710300.0,101,0.124996154144,0.125,0.124645892351,0.00194753214672,8.47275451554e-14
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,709220677.964,3823738.41791,710719733.716,711820994.278,703622250.146,704567599.042,711775078.834,4.0,14620975488600.0,106,0.249997082454,0.125,0.124645892351,0.00389513867846,8.47275451554e-14
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,700901227.791,4131031.25846,698872469.587,707097241.303,698762730.687,698776220.233,705866496.835,4.0,17065419258400.0,117,0.250002917546,0.125,0.25,0.00781259117331,8.47275451554e-14
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,611746904.066,2985980.04187,611778062.394,615334706.59,608096784.886,608570273.543,614879912.93,4.0,8916076810460.0,111,0.250002387083,0.125,0.124645892351,0.00389522132849,8.47275451554e-14
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,604316436.401,4041963.28203,605311730.006,608048318.275,598593967.316,599538205.656,607701256.098,4.0,16337467173300.0,122,0.125001458773,0.125,0.25,0.00390629558665,8.47275451554e-14
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,512167303.002,3720913.25606,510698217.153,517671214.263,509601563.438,509703933.491,516687392.701,4.0,13845195459100.0,116,0.250002917546,0.125,0.124645892351,0.00389522959349,8.47275451554e-14
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,413738616.302,5554832.88145,413827032.302,419364963.511,407935437.095,408265798.357,419087651.849,4.0,30856168340800.0,121,0.125001458773,0.125,0.124645892351,0.00194761479675,8.47275451554e-14
894.0,-879.0,-22092.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-158410351617.0,1457.55178738,-158410351784.0,-158410349843.0,-158410353056.0,-158410352976.0,-158410350023.0,4.0,2124457.21291,1,0.124996154144,0.125,0.124645892351,0.00194753214672,8.47275451554e-14
