npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability,prefix
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2024199980.76,13345196.5551,2022391267.24,2042130933.79,2009886454.78,2011639221.4,2039292939.06,4.0,178094271095000.0,0.25,0.250002130224,0.25,0.015625133139,5.88667788813e-14,92
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2012652825.49,8360676.96721,2014062509.02,2020209063.35,2002277220.58,2003366038.59,2019966055.45,4.0,69900919350100.0,0.25,0.124996331281,0.125,0.00390613535253,5.88667788813e-14,76
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1997699088.45,1750784.73056,1998015538.81,1999474975.45,1995290300.71,1995678025.75,1999277120.63,4.0,3065247172760.0,0.125,0.249997869776,0.25,0.0078124334305,5.88667788813e-14,108
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1991270494.41,11551141.3531,1992071519.3,2004113463.4,1976825475.67,1978577795.82,2002841758.18,4.0,133428866558000.0,0.125,0.250002130224,0.25,0.0078125665695,5.88667788813e-14,119
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1951123324.79,12681653.7369,1952062307.38,1962301025.24,1938067659.15,1938722962.22,1962209111.73,4.0,160824341502000.0,0.25,0.250002603607,0.125,0.00781258136272,5.88667788813e-14,86
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1918859211.81,20763966.2294,1914016786.36,1947781522.58,1899621751.94,1901110616.25,1943387202.99,4.0,431142293576000.0,0.25,0.125001065112,0.25,0.0078125665695,5.88667788813e-14,97
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1907398873.19,19527014.3956,1912580229.83,1923405078.77,1881029954.35,1884513339.38,1923030507.73,4.0,381304291207000.0,0.125,0.250002603607,0.25,0.00781258136272,5.88667788813e-14,113
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1882364379.74,5701919.46987,1883738438.43,1887497713.7,1874482928.4,1875627275.64,1887177801.68,4.0,32511885640900.0,0.125,0.125001065112,0.25,0.00390628328475,5.88667788813e-14,124
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1845074258.64,13694008.7069,1850004387.72,1855343820.77,1824944438.35,1828510994.53,1854735342.04,4.0,187525874463000.0,0.125,0.124996331281,0.25,0.00390613535253,5.88667788813e-14,102
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1833656090.21,11075263.0135,1834037652.53,1845167332.08,1821381723.69,1822304972.2,1844473020.96,4.0,122661450819000.0,0.25,0.250002130224,0.125,0.0078125665695,5.88667788813e-14,91
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1808997056.84,4112610.6558,1808637779.66,1814316078.63,1804396589.4,1804925319.05,1813571782.67,4.0,16913566406200.0,0.125,0.249997869776,0.25,0.0078124334305,5.88667788813e-14,107
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1806791014.59,8841509.12327,1807844398.89,1816426233.31,1795049027.29,1796834761.07,1815272530.1,4.0,78172283576900.0,0.125,0.250002130224,0.25,0.0078125665695,5.88667788813e-14,118
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1741753273.27,9927227.05486,1745426128.76,1748786186.18,1727374649.37,1729707925.39,1748656623.46,4.0,98549836998800.0,0.25,0.125001065112,0.125,0.00390628328475,5.88667788813e-14,96
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1706761631.82,7314972.94135,1709777530.07,1711621655.52,1695869811.64,1697925297.1,1711375709.01,4.0,53508829132700.0,0.125,0.250002603607,0.25,0.00781258136272,5.88667788813e-14,112
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1693403894.69,11269734.7869,1690213593.28,1709201876.55,1683986515.64,1684418564.9,1706855646.45,4.0,127006922167000.0,0.125,0.125001065112,0.25,0.00390628328475,5.88667788813e-14,123
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1613978536.13,10682952.3449,1611780473.17,1628663570.89,1603689627.31,1604548264.68,1626486095.74,4.0,114125470803000.0,0.125,0.124996331281,0.125,0.00195306767627,5.88667788813e-14,101
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1613971305.51,15203141.3872,1609045457.58,1635918794.28,1601875512.58,1602515253.71,1632323544.4,4.0,231135508040000.0,0.125,0.249997869776,0.125,0.00390621671525,5.88667788813e-14,106
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1601010800.58,8735019.66013,1598187857.52,1613334017.67,1594333469.62,1594480586.39,1611493135.06,4.0,76300568462900.0,0.125,0.250002130224,0.25,0.0078125665695,5.88667788813e-14,117
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1522096811.97,22827025.7693,1521421891.39,1544036938.34,1501506526.74,1501775188.95,1543363323.79,4.0,521073105474000.0,0.125,0.250002603607,0.125,0.00390629068136,5.88667788813e-14,111
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1488701142.88,9865421.54658,1489339827.29,1499952517.96,1476172398.97,1477855091.57,1498653036.01,4.0,97326542291800.0,0.125,0.125001065112,0.25,0.00390628328475,5.88667788813e-14,122
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1407159514.64,12583944.4802,1412068159.29,1415781038.74,1388720701.22,1391846967.8,1415599958.96,4.0,158355658681000.0,0.125,0.250002130224,0.125,0.00390628328475,5.88667788813e-14,116
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1307785808.77,14415203.8768,1311100407.14,1321035494.1,1287906926.7,1290798290.67,1320132889.15,4.0,207798102809000.0,0.125,0.125001065112,0.125,0.00195314164237,5.88667788813e-14,121
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-151463731187.0,897000.681093,-151463545537.0,-151462893493.0,-151464940182.0,-151464776172.0,-151462946113.0,4.0,804610221881.0,0.125,0.124996331281,0.125,0.00195306767627,5.88667788813e-14,1
