npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight
769.0,-457.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1208012619.16,16811838.7748,1207844852.84,1225327794.04,1191032976.92,1191845370.44,1224414740.73,4.0,282637922990000.0,0.25,1.66935855854e-12,0.249579831933,0.125018554253,98,0.00780052743971
769.0,-457.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1206854877.62,8195331.758669999,1207294655.93,1216099822.68,1196730375.93,1197930698.22,1215163367.37,4.0,67163462634600.0,0.25,1.66935855854e-12,0.249579831933,0.250037108505,93,0.015601054879399999
769.0,-457.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,1205529619.02,15705700.9314,1206852137.62,1222990164.74,1185424036.1,1188083009.22,1221124702.78,4.0,246669041747000.0,0.25,1.66935855854e-12,0.249579831933,0.249962891495,83,0.015596424112200002
769.0,-457.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,cooper,nebraska,covid,1171920033.16,11599015.8565,1175205715.38,1181961190.41,1155307511.48,1158049924.14,1181190187.08,4.0,134537168840000.0,0.25,1.66935855854e-12,0.249579831933,0.12494433724199999,78,0.00779589667246
769.0,-605.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1075738365.11,27979125.0019,1083804472.77,1099208274.79,1036136240.13,1042230038.54,1097954140.96,4.0,782831435872000.0,0.25,1.66935855854e-12,0.249579831933,0.250037108505,87,0.015601054879399999
769.0,-605.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1072972387.37,21894423.955,1079901657.57,1090997123.66,1041089110.68,1046826579.95,1089417216.51,4.0,479365800320000.0,0.25,1.66935855854e-12,0.249579831933,0.125018554253,97,0.00780052743971
769.0,-605.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1071685226.19,21772335.7204,1073756495.18,1092263159.72,1046964754.65,1048918711.29,1091551964.49,4.0,474034602723000.0,0.25,1.66935855854e-12,0.249579831933,0.250037108505,92,0.015601054879399999
769.0,-605.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,1060496677.04,23651430.4993,1057618662.37,1089343694.78,1037405688.62,1038612003.49,1086410571.12,4.0,559390164663000.0,0.25,1.66935855854e-12,0.249579831933,0.249962891495,82,0.015596424112200002
769.0,-159.0,-4007.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1054174116.31,25544529.6158,1062894857.74,1074081060.58,1016825689.19,1023335324.67,1072803869.95,4.0,652522993293000.0,0.125,1.66935855854e-12,0.125210084034,0.250037108505,120,0.00391339592093
769.0,-159.0,-4007.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1051512414.14,22638644.9135,1049926144.41,1076258588.39,1029938779.36,1030675171.18,1074570434.73,4.0,512508243521000.0,0.125,1.66935855854e-12,0.125210084034,0.250037108505,115,0.00391339592093
769.0,-159.0,-4007.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,1040482899.67,23276984.3626,1046339922.54,1061038819.99,1008212933.6,1012909404.32,1059856562.99,4.0,541818001017000.0,0.125,1.66935855854e-12,0.125210084034,0.249962891495,110,0.00391223433117
769.0,-159.0,-4007.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1030169046.21,28373198.7964,1036889797.47,1055193166.02,991703423.882,996911862.457,1054017178.2,4.0,805038409942000.0,0.125,1.66935855854e-12,0.125210084034,0.125018554253,125,0.0019566979604700003
769.0,-605.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,cooper,nebraska,covid,1001355711.79,20912979.1074,1004816508.13,1019451773.72,976338057.19,978669212.727,1019197095.99,4.0,437352695145000.0,0.25,1.66935855854e-12,0.249579831933,0.12494433724199999,77,0.00779589667246
