smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,PointProbability
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-432562851.322,26393123.448,-422355567.493,-391872362.91,-472283943.602,-468432533.383,-400751913.618,10.0,696596965341000.0,0.250007275152,0.00779798505727,0.249546279492,0.124990974078,117,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-512745955.221,34403546.8672,-510552783.637,-442000134.662,-563549547.089,-560039009.442,-461786321.569,10.0,1183604037050000.0,0.125002976198,0.00389897189959,0.249546279492,0.124990974078,122,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-535373831.672,42286022.6503,-521512608.801,-478270983.72,-610717668.532,-597180271.726,-485985701.816,10.0,1788107711580000.0,0.249992724848,0.00391294293863,0.125226860254,0.124990974078,106,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-565055828.431,46573399.8884,-566303106.749,-459807437.179,-630819972.837,-621325974.977,-495654530.717,10.0,2169081577160000.0,0.12498974865,0.00195636794902,0.125226860254,0.124990974078,101,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-580427687.969,25023876.9233,-581490733.922,-531152099.945,-609361325.709,-608773744.042,-541930270.853,10.0,626194416273000.0,0.250007275152,0.00391317068328,0.125226860254,0.124990974078,111,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-616363586.504,53572567.2595,-624466458.317,-526005131.805,-713287435.017,-692886511.249,-540682586.159,10.0,2870019962770000.0,0.250007275152,0.00391317068328,0.125226860254,0.124990974078,116,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-683356266.78,33099176.8859,-681311313.443,-615928183.144,-726336315.005,-724116364.643,-636708495.613,10.0,1095555510530000.0,0.125002976198,0.00195657498961,0.125226860254,0.124990974078,121,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-161284425845.0,7040.55019045,-161284426877.0,-161284415539.0,-161284434373.0,-161284433892.0,-161284416094.0,10.0,49569346.9843,0.12498974865,0.00195636794902,0.125226860254,0.124990974078,1,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-161341045862.0,4378.32284418,-161341044720.0,-161341041354.0,-161341051920.0,-161341051656.0,-161341041359.0,10.0,19169710.9279,0.249992724848,0.00391294293863,0.125226860254,0.124990974078,6,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-161397670990.0,7175.25994742,-161397672140.0,-161397656456.0,-161397683594.0,-161397679751.0,-161397660241.0,10.0,51484355.313,0.250007275152,0.00391317068328,0.125226860254,0.124990974078,11,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-161454298008.0,4293.48176494,-161454298166.0,-161454291789.0,-161454303832.0,-161454303506.0,-161454292044.0,10.0,18433985.6659,0.250007275152,0.00391317068328,0.125226860254,0.124990974078,16,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-161510920571.0,3860.62404824,-161510919168.0,-161510915955.0,-161510927408.0,-161510927015.0,-161510916561.0,10.0,14904418.0419,0.125002976198,0.00195657498961,0.125226860254,0.124990974078,21,3.46688419418e-13
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-571170684240.0,10530660.4863,-571169260011.0,-571154723746.0,-571193747614.0,-571187465089.0,-571158726752.0,10.0,110894810278000.0,0.12498974865,0.00779824473773,0.249546279492,0.250018051845,27,3.46688419418e-13
