npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,237877.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,867794583.768,971126.490288,867794583.768,868481273.894,867107893.641,867176562.654,868412604.882,2.0,943086660138.0,271,0.111114925842,0.000687682036389,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-460.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,865773262.06,17261.1706787,865773262.06,865785467.55,865761056.569,865762277.118,865784247.001,2.0,297948013.198,322,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-460.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,861173827.71,1287770.33662,861173827.71,862084418.847,860263236.572,860354295.686,861993359.733,2.0,1658352439870.0,302,0.0555402966334,0.00068746955463,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,857202682.562,314268.451383,857202682.562,857424903.915,856980461.209,857002683.344,857402681.779,2.0,98764659534.5,425,0.111114925842,0.00136015522463,0.111090154659,7.306929298600001e-13,0.11018957346
522.0,-413.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,169912.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,855584084.074,327255.982563,855584084.074,855815488.998,855352679.149,855375819.642,855792348.506,2.0,107096478123.0,353,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,853403150.727,203069.418414,853403150.727,853546742.49,853259558.965,853273918.141,853532383.314,2.0,41237188695.1,281,0.111114925842,0.000687682036389,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-460.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101947.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,850534140.538,972536.271362,850534140.538,851221827.531,849846453.546,849915222.245,851153058.832,2.0,945826799115.0,332,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-507.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33982.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,842068456.302,569237.919652,842068456.302,842470968.295,841665944.309,841706195.508,842430717.096,2.0,324031809170.0,311,0.111098576997,0.000687580854599,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101947.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,841947205.943,762244.22656,841947205.943,842486194.005,841408217.882,841462116.688,842432295.199,2.0,581016260924.0,435,0.111114925842,0.00136015522463,0.111090154659,7.306929298600001e-13,0.11018957346
522.0,-413.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,840833685.032,637868.125342,840833685.032,841284725.909,840382644.156,840427748.243,841239621.822,2.0,406875745327.0,363,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
