smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2164064396.77,1415767.62793,-2164497106.45,-2162032920.99,-2165230453.2,-2165161821.98,-2162361178.01,4.0,2004397976300.0,0.124994709051,77,0.249981948155,1.7334191682000001e-13,0.00779742807743,0.249546279492
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2182594759.2,2991540.51831,-2182799768.3,-2178829403.4,-2185950096.78,-2185599762.63,-2179302743.02,4.0,8949314672690.0,0.250003306843,87,0.249981948155,1.7334191682000001e-13,0.0155957225633,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2183556210.07,1983243.69107,-2183005488.63,-2181919103.63,-2186294759.41,-2185908143.53,-2181975286.64,4.0,3933255538160.0,0.249996693157,110,0.124990974078,1.7334191682000001e-13,0.00391300505149,0.125226860254
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2218744916.2,3605454.19432,-2219969633.94,-2213460026.46,-2221580370.45,-2221356562.75,-2214418664.81,4.0,12999299947300.0,0.250003306843,115,0.124990974078,1.7334191682000001e-13,0.00391310857042,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2222039872.11,4395731.76274,-2222214862.78,-2216490056.04,-2227239706.85,-2226513514.53,-2217321242.76,4.0,19322457729900.0,0.250003306843,92,0.249981948155,1.7334191682000001e-13,0.0155957225633,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2250839289.96,4265676.41641,-2251085982.25,-2245980139.08,-2255205056.26,-2254951466.83,-2246381743.88,4.0,18195995289500.0,0.250003306843,120,0.124990974078,1.7334191682000001e-13,0.00391310857042,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2260771938.19,1713816.42784,-2260650870.85,-2258808753.16,-2262977257.88,-2262655269.65,-2259058100.99,4.0,2937166748350.0,0.125001984106,97,0.249981948155,1.7334191682000001e-13,0.00779788191041,0.249546279492
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2279760894.93,1844789.31136,-2280209410.55,-2277147212.46,-2281477546.15,-2281305445.04,-2277588422.95,4.0,3403247603290.0,0.249996693157,81,0.249981948155,1.7334191682000001e-13,0.00782601010299,0.125226860254
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2299115044.15,5798810.30755,-2299141234.94,-2293381884.74,-2304795821.98,-2304581700.06,-2293611721.13,4.0,33626200982900.0,0.125001984106,125,0.124990974078,1.7334191682000001e-13,0.00195655946116,0.125226860254
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2309260959.7,2573871.47087,-2310058490.6,-2305522520.12,-2311404337.49,-2311221532.63,-2306183843.51,4.0,6624814348570.0,0.124994709051,76,0.249981948155,1.7334191682000001e-13,0.00391289118068,0.125226860254
