smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-445278478.328,295600.34525,-445278478.328,-445069457.319,-445487499.337,-445466597.236,-445090359.42,2.0,87379564111.8,0.125039974416,0.125012469823,120,0.25,0.0039078890071,2.57276850496e-11
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,25063.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-446082237.189,609484.504269,-446082237.189,-445651266.563,-446513207.815,-446470110.752,-445694363.625,2.0,371471360944.0,0.125039974416,0.249975060354,40,0.25,0.00781421878785,2.57276850496e-11
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,75189.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-447996647.333,131864.113692,-447996647.333,-447903405.324,-448089889.342,-448080565.141,-447912729.525,2.0,17388144479.8,0.250079948833,0.250024939646,79,0.125,0.0078157780142,2.57276850496e-11
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-452112427.476,22335.4934182,-452112427.476,-452096633.897,-452128221.055,-452126641.697,-452098213.255,2.0,498874266.232,0.125039974416,0.124962590531,15,0.25,0.00390632978075,2.57276850496e-11
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-456469550.815,304227.898271,-456469550.815,-456254429.206,-456684672.425,-456663160.264,-456275941.367,2.0,92554614086.5,0.125039974416,0.250024939646,65,0.25,0.0078157780142,2.57276850496e-11
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-458993826.7,106982.518127,-458993826.7,-458918178.636,-459069474.764,-459061909.958,-458925743.442,2.0,11445259184.7,0.250079948833,0.125012469823,104,0.125,0.0039078890071,2.57276850496e-11
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,75189.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-467411496.956,533914.52327,-467411496.956,-467033962.376,-467789031.536,-467751278.078,-467071715.834,2.0,285064718158.0,0.125039974416,0.250024939646,90,0.25,0.0078157780142,2.57276850496e-11
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-478908881.683,490729.809922,-478908881.683,-478561883.307,-479255880.059,-479221180.222,-478596583.144,2.0,240815746346.0,0.125039974416,0.125012469823,115,0.25,0.0039078890071,2.57276850496e-11
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,25063.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-481588156.322,771800.726202,-481588156.322,-481042410.795,-482133901.849,-482079327.296,-481096985.347,2.0,595676360966.0,0.125039974416,0.249975060354,35,0.25,0.00781421878785,2.57276850496e-11
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-489870852.113,274032.541148,-489870852.113,-489677081.845,-490064622.381,-490045245.354,-489696458.872,2.0,75093833608.3,0.125039974416,0.124962590531,10,0.25,0.00390632978075,2.57276850496e-11
