npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,736340995.989,20798020.7669,736340995.989,751047417.508,721634574.469,723105216.621,749576775.356,2.0,432557667818000.0,0.0156250212811,0.25,8.656992832709999e-15,64,0.250000340497,0.25
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,685930380.625,54827377.1595,685930380.625,724699190.809,647161570.44,651038451.459,720822309.79,2.0,3006041286200000.0,0.00781330516007,0.125,8.656992832709999e-15,53,0.250000340497,0.250025424591
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,671264748.169,21993636.1133,671264748.169,686816597.408,655712898.93,657268083.854,685261412.484,2.0,483720029486000.0,0.00390584742105,0.125,8.656992832709999e-15,30,0.249999659503,0.124987287705
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,563203678.21,46704127.8759,563203678.21,596228483.741,530178872.68,533481353.233,592926003.188,2.0,2181275560650000.0,0.00781171612099,0.25,8.656992832709999e-15,70,0.250000340497,0.124987287705
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,542359229.422,7819219.57243,542359229.422,547888252.606,536830206.239,537383108.557,547335350.287,2.0,61140194721800.0,0.0156250212811,0.25,8.656992832709999e-15,59,0.250000340497,0.25
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,419638040.538,42632634.783,419638040.538,449783865.693,389492215.383,392506797.899,446769283.177,2.0,1817541548540000.0,0.00390585806049,0.125,8.656992832709999e-15,76,0.250000340497,0.124987287705
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,409120757.031,106126315.171,409120757.031,484163394.151,334078119.911,341582383.623,476659130.439,2.0,1.12627947719e+16,0.00781171612099,0.25,8.656992832709999e-15,65,0.250000340497,0.124987287705
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,375101745.302,59631657.8384,375101745.302,417267694.933,332935795.671,337152390.634,413051099.97,2.0,3555934616560000.0,0.0156250212811,0.25,8.656992832709999e-15,82,0.250000340497,0.25
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,330446904.983,13740563.7441,330446904.983,340162950.784,320730859.183,321702463.763,339191346.204,2.0,188803092005000.0,0.00781251064053,0.125,8.656992832709999e-15,54,0.250000340497,0.25
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,205465887.719,20335522.5659,205465887.719,219845273.625,191086501.814,192524440.405,218407335.034,2.0,413533478030000.0,0.0156266103201,0.25,8.656992832709999e-15,88,0.250000340497,0.250025424591
