npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,434128265.568,1385784.07154,434445370.931,435335580.001,432286740.409,432521083.043,435291500.584,4.0,1920397492940.0,1.0406674226900002e-12,92,0.250009196248,0.25,0.0155839065661,0.249333333333
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,426682461.97,1049007.44664,427035715.797,427455798.384,425202617.902,425423117.334,427447251.248,4.0,1100416623100.0,1.0406674226900002e-12,114,0.250009196248,0.125026522385,0.00783528361303,0.250666666667
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,405224004.25,1881448.32091,405585183.718,406947897.541,402777752.023,403073247.527,406869109.718,4.0,3539847784260.0,1.0406674226900002e-12,97,0.125004598124,0.25,0.00779195328306,0.249333333333
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,400465871.185,1721957.8631,400487820.659,402094164.196,398793679.226,398850880.403,402050132.703,4.0,2965138882300.0,1.0406674226900002e-12,81,0.249990803752,0.25,0.00783304518423,0.125333333333
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,398777855.115,1116599.14664,398313024.669,400436895.073,398048476.05,398071781.917,400134690.939,4.0,1246793654270.0,1.0406674226900002e-12,119,0.250009196248,0.125026522385,0.00783528361303,0.250666666667
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,373133990.719,293791.858615,373104790.084,373512299.746,372814082.963,372846178.585,373462683.743,4.0,86313656188.3,1.0406674226900002e-12,86,0.250009196248,0.25,0.00783362148244,0.125333333333
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,372798695.858,1215922.78472,372917718.975,374111261.749,371248083.733,371442419.748,373988339.604,4.0,1478468218390.0,1.0406674226900002e-12,124,0.125004598124,0.125026522385,0.00391764180651,0.250666666667
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,371140707.031,755625.326626,371015278.701,372116244.429,370416026.294,370457936.545,371999077.18,4.0,570969634239.0,1.0406674226900002e-12,76,0.124986205628,0.25,0.00391623444301,0.125333333333
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,364199449.509,1750916.75794,364850878.931,365424884.98,361671155.195,362076612.069,365410285.759,4.0,3065709493230.0,1.0406674226900002e-12,108,0.249990803752,0.125026522385,0.00779303321812,0.249333333333
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,354369686.095,871034.172374,354062597.039,355638455.187,353715095.116,353743686.687,355425610.182,4.0,758700529443.0,1.0406674226900002e-12,103,0.124986205628,0.125026522385,0.00389622993185,0.249333333333
