smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-596328158.818,4890393.43614,-596328158.818,-592870128.456,-599786189.179,-599440386.143,-593215931.492,2.0,23915947960200.0,0.249546279492,120,1.83230531396e-13,0.0038997672965,0.125001398296,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-601710566.935,2160296.79887,-601710566.935,-600183006.42,-603238127.451,-603085371.4,-600335762.471,2.0,4666882259190.0,0.250453720508,109,1.83230531396e-13,0.00782676631801,0.125001398296,0.25
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-616479052.26,1900626.12959,-616479052.26,-615135106.635,-617822997.885,-617688603.322,-615269501.198,2.0,3612379684490.0,0.250453720508,10,1.83230531396e-13,0.00391375124775,0.124995105963,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-646430322.082,3384956.05385,-646430322.082,-644036796.703,-648823847.462,-648584494.924,-644276149.24,2.0,11457927486500.0,0.250453720508,35,1.83230531396e-13,0.00782769951624,0.249996504259,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-668729033.801,5446417.06798,-668729033.801,-664877835.36,-672580232.243,-672195112.399,-665262955.204,2.0,29663458878300.0,0.249546279492,90,1.83230531396e-13,0.00779955640487,0.250003495741,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-677937534.083,3432482.29785,-677937534.083,-675510402.574,-680364665.592,-680121952.441,-675753115.725,2.0,11781934725100.0,0.125226860254,79,1.83230531396e-13,0.00782678820604,0.250003495741,0.25
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-757479346.148,12300205.2134,-757479346.148,-748781787.632,-766176904.665,-765307148.813,-749651543.484,2.0,151295048291000.0,0.250453720508,60,1.83230531396e-13,0.00782791842816,0.250003495741,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-776769554.759,3530045.50204,-776769554.759,-774273435.646,-779265673.871,-779016061.96,-774523047.558,2.0,12461221246400.0,0.125226860254,104,1.83230531396e-13,0.003913383159,0.125001398296,0.25
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-777786631.414,5259567.22177,-777786631.414,-774067555.765,-781505707.062,-781133799.498,-774439463.33,2.0,27663047360400.0,0.249546279492,115,1.83230531396e-13,0.0038997672965,0.125001398296,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-796199584.252,2156047.59007,-796199584.252,-794675028.38,-797724140.123,-797571684.536,-794827483.968,2.0,4648541210660.0,0.125226860254,5,1.83230531396e-13,0.00195687562387,0.124995105963,0.125018050542
