npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight
894.0,-526.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1461105210.33,5504652.56045,1458687182.19,1469328809.55,1457717667.37,1457828424.18,1467767235.86,4.0,30301199811300.0,93,0.25,0.250002917546,0.25,8.47275451554e-14,0.0156251823466
894.0,-173.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1454877168.8,5430774.65451,1454613935.83,1461723516.64,1448557286.92,1449334674.85,1460788188.92,4.0,29493313348000.0,125,0.125,0.125001458773,0.125354107649,8.47275451554e-14,0.0019586807899100002
894.0,-526.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1452030156.78,4066580.15969,1452432726.02,1456384033.0,1446871142.05,1447500932.69,1455995783.92,4.0,16537074195200.0,78,0.25,0.124996154144,0.25,8.47275451554e-14,0.007812259634
894.0,-879.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1443490451.25,5184130.35873,1443328351.14,1449593703.94,1437711398.8,1438219775.97,1448988066.7,4.0,26875207576300.0,66,0.25,0.250002917546,0.12464589235099999,8.47275451554e-14,0.007790459186979999
894.0,-526.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1436641372.22,9213836.685589999,1436584867.55,1446635753.16,1426760000.65,1427431905.13,1445929945.87,4.0,84894786468700.0,98,0.25,0.125001458773,0.25,8.47275451554e-14,0.00781259117331
894.0,-879.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1416328835.72,4300691.4411,1416939039.93,1420532717.53,1410904545.49,1411516401.65,1420286983.89,4.0,18495946871500.0,71,0.25,0.125001458773,0.12464589235099999,8.47275451554e-14,0.0038952295934899994
894.0,-879.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1380336372.88,3359800.47241,1379731361.25,1384589050.23,1377293718.81,1377404151.49,1384115610.57,4.0,11288259214400.0,51,0.25,0.124996154144,0.12464589235099999,8.47275451554e-14,0.00389506429344
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1370545163.54,4368050.2854,1372313731.76,1373498804.99,1364054385.64,1365255085.06,1373359246.51,4.0,19079863295800.0,109,0.125,0.249997082454,0.25,8.47275451554e-14,0.007812408826689999
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1342572928.08,8035812.8408699995,1341743042.47,1352830664.39,1333974962.96,1334754828.34,1351552867.65,4.0,64574288013500.0,104,0.125,0.124996154144,0.25,8.47275451554e-14,0.003906129817
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1341921033.49,4996438.11771,1343736885.76,1345417796.0,1334792566.44,1335891044.21,1345408829.59,4.0,24964393864200.0,82,0.25,0.249997082454,0.25,8.47275451554e-14,0.0156248176534
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1337870912.77,11070169.1826,1336443754.63,1350767368.1,1327828773.71,1328079577.54,1349660269.39,4.0,122548645730000.0,114,0.125,0.250002387083,0.25,8.47275451554e-14,0.00781257459634
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1315183321.91,4464274.235859999,1313921766.3,1321514533.36,1311375221.68,1311606443.21,1320526378.47,4.0,19929744452900.0,87,0.25,0.250002387083,0.25,8.47275451554e-14,0.015625149192700003
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1305810753.22,9905919.24537,1305946502.83,1315307448.71,1296042558.53,1296422109.94,1315009347.06,4.0,98127236095900.0,119,0.125,0.250002917546,0.25,8.47275451554e-14,0.00781259117331
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1284375119.74,3999004.35533,1284139343.66,1288836254.82,1280385536.82,1280580474.28,1288499851.71,4.0,15992035833900.0,92,0.25,0.250002917546,0.25,8.47275451554e-14,0.0156251823466
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1267038502.07,2847317.67535,1267123477.63,1270413316.6,1263493736.42,1263975226.58,1269982811.78,4.0,8107217944340.0,77,0.25,0.124996154144,0.25,8.47275451554e-14,0.007812259634
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1259759637.25,4434963.6917,1259328143.67,1265426080.81,1254956180.83,1255414893.31,1264708472.18,4.0,19668902946700.0,124,0.125,0.125001458773,0.25,8.47275451554e-14,0.00390629558665
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1257644374.74,5359896.53621,1256011326.78,1265094244.6,1253460600.78,1253546087.44,1264028929.17,4.0,28728490878900.0,97,0.25,0.125001458773,0.25,8.47275451554e-14,0.00781259117331
894.0,-526.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1188390784.15,4222109.0100300005,1187548266.07,1194177881.66,1184288722.78,1184637681.89,1193323411.71,4.0,17826204492600.0,108,0.125,0.249997082454,0.25,8.47275451554e-14,0.007812408826689999
894.0,-879.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1170938683.86,3838824.3758,1169870796.28,1176082653.24,1167930489.61,1167952803.25,1175419607.06,4.0,14736572588300.0,81,0.25,0.249997082454,0.12464589235099999,8.47275451554e-14,0.00779027735693
894.0,-526.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1158884126.59,3772046.6175300004,1157772471.75,1164223703.23,1155767859.64,1155918879.73,1163405690.23,4.0,14228335684800.0,113,0.125,0.250002387083,0.25,8.47275451554e-14,0.00781257459634
894.0,-526.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1155032254.77,2173260.9178400002,1154634729.14,1158030033.42,1152829527.38,1153087557.22,1157533488.21,4.0,4723063016990.0,103,0.125,0.124996154144,0.25,8.47275451554e-14,0.003906129817
894.0,-879.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1135120472.26,7936838.64069,1134052233.48,1145644357.4,1126733064.68,1127580004.97,1144156473.84,4.0,62993407608400.0,86,0.25,0.250002387083,0.12464589235099999,8.47275451554e-14,0.00779044265698
