smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-337722032.345,1546875.47972,-337722032.345,-336628226.204,-338815838.487,-338706457.873,-336737606.818,2.0,2392823749760.0,0.125,0.125039974416,0.250012469201,1.28632009175e-11,75,0.00390769409408
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-344930065.854,1589736.59194,-344930065.854,-343805952.329,-346054179.378,-345941768.026,-343918363.682,2.0,2527262431740.0,0.25,0.249920051167,0.125006234601,1.28632009175e-11,108,0.0078103911369
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-345589917.852,20940.9374851,-345589917.852,-345575110.374,-345604725.331,-345603244.583,-345576591.121,2.0,438522862.756,0.25,0.125039974416,0.249987530799,1.28632009175e-11,45,0.00781460861388
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-346624865.753,540205.194665,-346624865.753,-346242882.996,-347006848.509,-346968650.233,-346281081.272,2.0,291821652343.0,0.25,0.250079948833,0.124981296198,1.28632009175e-11,9,0.00781382903959
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-347310442.736,767894.17195,-347310442.736,-346767459.56,-347853425.912,-347799127.594,-346821757.877,2.0,589661459315.0,0.25,0.250079948833,0.249987530799,1.28632009175e-11,34,0.0156292172278
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-352400283.254,432635.857199,-352400283.254,-352094363.506,-352706203.003,-352675611.028,-352124955.481,2.0,187173784934.0,0.25,0.250079948833,0.125006234601,1.28632009175e-11,119,0.00781538818817
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-352919317.959,164218.840352,-352919317.959,-352803197.704,-353035438.215,-353023826.189,-352814809.729,2.0,26967827526.6,0.125,0.249920051167,0.250012469201,1.28632009175e-11,78,0.0078103911369
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-356760643.828,1137993.32447,-356760643.828,-355955961.031,-357565326.625,-357484858.345,-356036429.311,2.0,1295028806540.0,0.125,0.125039974416,0.250012469201,1.28632009175e-11,100,0.00390769409408
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-357230585.822,1821279.29122,-357230585.822,-355942746.885,-358518424.759,-358389640.866,-356071530.779,2.0,3317058256640.0,0.25,0.250079948833,0.250012469201,1.28632009175e-11,89,0.0156307763763
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-365093640.829,3068724.86299,-365093640.829,-362923724.669,-367263556.989,-367046565.373,-363140716.285,2.0,9417072284740.0,0.25,0.125039974416,0.250012469201,1.28632009175e-11,70,0.00781538818817
