smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,229642311.063,101247.741857,229642311.063,229713904.027,229570718.098,229577877.394,229706744.731,2.0,10251105231.2,2.43433201164e-13,0.16666559696,0.00231523864378,0.166693548387,142,0.0833356848912
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70877.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,219343452.169,675156.975094,219343452.169,219820860.245,218866044.094,218913784.901,219773119.437,2.0,455836941018.0,2.43433201164e-13,0.16666559696,0.00462787794777,0.166612903226,158,0.166658436214
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,204526891.53,344234.737174,204526891.53,204770302.247,204283480.813,204307821.885,204745961.176,2.0,118497554278.0,2.43433201164e-13,0.16666559696,0.00231410222279,0.0833064516129,127,0.166670194004
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,187600544.135,908282.701664,187600544.135,188242796.992,186958291.277,187022516.563,188178571.707,2.0,824977466141.0,2.43433201164e-13,0.16666559696,0.00462820444558,0.166612903226,165,0.166670194004
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,354383.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,172049470.653,126812.985652,172049470.653,172139140.975,171959800.331,171968767.363,172130173.943,2.0,16081533329.9,2.43433201164e-13,0.16666559696,0.00231410222279,0.0833064516129,134,0.166670194004
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,160194486.808,146638.443156,160194486.808,160298175.845,160090797.77,160101166.674,160287806.941,2.0,21502833011.2,2.43433201164e-13,0.16666559696,0.00462823709536,0.166612903226,172,0.166671369782
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,144462593.592,811162.499837,144462593.592,145036172.096,143889015.088,143946372.938,144978814.246,2.0,657984601142.0,2.43433201164e-13,0.16666559696,0.00115705927384,0.0833064516129,141,0.0833356848912
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70877.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,141208080.697,624641.785609,141208080.697,141649769.139,140766392.254,140810561.098,141605600.295,2.0,390177360329.0,2.43433201164e-13,0.16666559696,0.00463011796614,0.166693548387,157,0.166658436214
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,129958476.336,2953260.84503,129958476.336,132046747.107,127870205.566,128079032.643,131837920.03,2.0,8721749618760.0,2.43433201164e-13,0.16666559696,0.00462820444558,0.166612903226,179,0.166670194004
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,127617941.473,250633.301912,127617941.473,127795165.98,127440716.966,127458439.416,127777443.53,2.0,62817052027.5,2.43433201164e-13,0.16666559696,0.00231491198794,0.166693548387,150,0.0833239271017
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,112032481.297,504467.886859,112032481.297,112389193.961,111675768.633,111711439.9,112353522.694,2.0,254487848872.0,2.43433201164e-13,0.16666559696,0.00463044462198,0.166693548387,164,0.166670194004
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,354383.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,99531036.7283,1810938.87517,99531036.7283,100811563.887,98250509.5694,98378562.2853,100683511.171,2.0,3279499609610.0,2.43433201164e-13,0.16666559696,0.00462820444558,0.166612903226,186,0.166670194004
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,80646646.2647,657608.148973,80646646.2647,81111645.4462,80181647.0832,80228147.0014,81065145.5281,2.0,432448477596.0,2.43433201164e-13,0.16666559696,0.00463047728757,0.166693548387,171,0.166671369782
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,70030908.5565,2290430.64933,70030908.5565,71650487.6005,68411329.5126,68573287.417,71488529.6961,2.0,5246072559400.0,2.43433201164e-13,0.16666559696,0.00231411854768,0.166612903226,193,0.0833356848912
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,50752704.7008,1127007.81095,50752704.7008,51549619.5664,49955789.8352,50035481.3218,51469928.0798,2.0,1270146605940.0,2.43433201164e-13,0.16666559696,0.00463044462198,0.166693548387,178,0.166670194004
720.0,-601.8,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70877.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,48620474.147,107768.710632,48620474.147,48696678.1331,48544270.1609,48551890.5595,48689057.7344,2.0,11614094991.3,2.43433201164e-13,0.16666559696,0.00463011796614,0.166693548387,156,0.166658436214
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,354383.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,20725039.4834,2686531.94209,20725039.4834,22624704.4375,18825374.5292,19015341.0246,22434737.9421,2.0,7217453875850.0,2.43433201164e-13,0.16666559696,0.00463044462198,0.166693548387,185,0.166670194004
720.0,-601.8,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,19455914.3401,3033497.33803,19455914.3401,21600920.8786,17310907.8017,17525408.4556,21386420.2247,2.0,9202106099860.0,2.43433201164e-13,0.16666559696,0.00463044462198,0.166693548387,163,0.166670194004
720.0,-291.8,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,16827406.7564,3805362.22946,16827406.7564,19518204.1938,14136609.3191,14405689.0629,19249124.45,2.0,14480781697400.0,2.43433201164e-13,0.166668806079,0.00231495656119,0.166693548387,201,0.0833239271017
