npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,prefix
894.0,-879.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,255811323.134,3671216.45703,255482337.501,260504707.556,251775909.98,252185494.893,259897731.26299998,4.0,13477830274400.0,0.250002387083,0.12464589235099999,0.00779044265698,0.25,8.47275451554e-14,61
894.0,-879.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,235920799.627,4050977.63138,235424224.322,240620789.724,232213960.14099997,232314436.003,240222368.67900002,4.0,16410419770000.0,0.250002917546,0.12464589235099999,0.007790459186979999,0.25,8.47275451554e-14,66
894.0,-879.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,210680241.129,4184656.70546,212758156.772,212801311.449,204403339.523,205655240.257,212796160.10099998,4.0,17511351742500.0,0.125001458773,0.12464589235099999,0.0038952295934899994,0.25,8.47275451554e-14,71
894.0,-879.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,172877100.725,4631387.2407599995,174550108.645,176257204.592,166150981.019,167257675.855,176154314.508,4.0,21449747773900.0,0.124996154144,0.12464589235099999,0.00389506429344,0.25,8.47275451554e-14,51
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,149785830.94799998,3473754.2593099996,148958112.639,154395861.84600002,146831236.67,146916714.199,153813753.331,4.0,12066968654100.0,0.249997082454,0.12464589235099999,0.00779027735693,0.25,8.47275451554e-14,31
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,146460639.009,2171573.83371,146037664.083,149394527.644,144372700.228,144526269.637,148987173.28,4.0,4715732915250.0,0.250002387083,0.12464589235099999,0.00779044265698,0.25,8.47275451554e-14,36
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,132187031.028,3336275.51076,132713314.515,135647832.542,127673662.54200001,128355317.77299999,135281947.403,4.0,11130734283700.0,0.250002917546,0.12464589235099999,0.007790459186979999,0.25,8.47275451554e-14,41
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,115377309.441,2691762.10095,114796231.157,118867536.616,113049238.83399999,113113997.84200001,118454130.63700001,4.0,7245583208090.0,0.125001458773,0.12464589235099999,0.0038952295934899994,0.25,8.47275451554e-14,46
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,75146293.3048,413854.94166199997,75116570.4457,75634121.5367,74717910.7911,74745788.823,75588409.7893,4.0,171275912738.0,0.124996154144,0.12464589235099999,0.00389506429344,0.25,8.47275451554e-14,26
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,-5023468.7421699995,1140341.53746,-4914243.16015,-3746852.55752,-6518536.09086,-6289655.80054,-3910197.4986199997,4.0,1300378822060.0,0.250002917546,0.12464589235099999,0.0038952295934899994,0.125,8.47275451554e-14,16
