smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-772328133.362,7106059.35263,-772328133.362,-767303390.606,-777352876.117,-776850401.842,-767805864.881,2.0,50496079523100.0,0.003913383159,104,0.125226860254,1.83230531396e-13,0.125001398296,0.25
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-799962435.225,1432657.95011,-799962435.225,-798949393.073,-800975477.376,-800874173.161,-799050697.288,2.0,2052508802000.0,0.00782791842816,60,0.250453720508,1.83230531396e-13,0.250003495741,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-802546403.152,9287967.9552,-802546403.152,-795978818.028,-809113988.277,-808457229.764,-796635576.54,2.0,86266348736800.0,0.0038997672965,115,0.249546279492,1.83230531396e-13,0.125001398296,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-872713322.134,5724445.10488,-872713322.134,-868665528.182,-876761116.086,-876356336.691,-869070307.577,2.0,32769271758800.0,0.00195687562387,5,0.125226860254,1.83230531396e-13,0.124995105963,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-887513186.996,5190983.95607,-887513186.996,-883842607.04,-891183766.952,-890816708.957,-884209665.035,2.0,26946314432100.0,0.00782791842816,85,0.250453720508,1.83230531396e-13,0.250003495741,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-887763075.833,2971332.36983,-887763075.833,-885662026.565,-889864125.101,-889654020.174,-885872131.492,2.0,8828816052010.0,0.00391384975812,30,0.125226860254,1.83230531396e-13,0.249996504259,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-964260095.749,9669848.19297,-964260095.749,-957422480.518,-971097710.979,-970413949.456,-958106242.041,2.0,93505964075000.0,0.00391395921408,55,0.125226860254,1.83230531396e-13,0.250003495741,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-965434057.257,6438568.8958,-965434057.257,-960881301.53,-969986812.984,-969531537.412,-961336577.103,2.0,41455169426000.0,0.00391394826849,110,0.250453720508,1.83230531396e-13,0.125001398296,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1045350422.33,2655308.89674,-1045350422.33,-1043472835.4,-1047228009.25,-1047040250.56,-1043660594.09,2.0,7050665337090.0,0.00391395921408,80,0.125226860254,1.83230531396e-13,0.250003495741,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1121082568.55,630919.334817,-1121082568.55,-1120636441.21,-1121528695.89,-1121484083.15,-1120681053.94,2.0,398059207046.0,0.00195697413424,105,0.125226860254,1.83230531396e-13,0.125001398296,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-17119155838.8,353992.449123,-17119155838.8,-17118905528.3,-17119406149.2,-17119381118.2,-17118930559.4,2.0,125310654036.0,0.00195687562387,1,0.125226860254,1.83230531396e-13,0.124995105963,0.125018050542
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-320959815949.0,296451.188905,-320959815949.0,-320959606326.0,-320960025571.0,-320960004609.0,-320959627288.0,2.0,87883307403.2,0.00782637233343,7,0.250453720508,1.83230531396e-13,0.124995105963,0.25
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-686256588484.0,108358.865037,-686256588484.0,-686256511863.0,-686256665106.0,-686256657444.0,-686256519525.0,2.0,11741643632.0,0.00779688984465,13,0.249546279492,1.83230531396e-13,0.124995105963,0.249963898917
