npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,369517408.146,503046.258391,369517408.146,369873115.566,369161700.725,369197271.467,369837544.824,2.0,253055538081.0,0.249333333333,87,0.250009196248,0.25,0.0155839065661,1.0406674226900002e-12
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,342779310.397,732022.322727,342779310.397,343296928.345,342261692.449,342313454.243,343245166.55,2.0,535856680971.0,0.250666666667,119,0.250009196248,0.125026522385,0.00783528361303,1.0406674226900002e-12
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,341132373.764,514859.275909,341132373.764,341496434.25,340768313.279,340804719.328,341460028.201,2.0,265080073989.0,0.249333333333,92,0.250009196248,0.25,0.0155839065661,1.0406674226900002e-12
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,312492703.161,802802.582278,312492703.161,313060370.311,311925036.011,311981802.726,313003603.596,2.0,644491986111.0,0.250666666667,124,0.125004598124,0.125026522385,0.00391764180651,1.0406674226900002e-12
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,311855984.15,2549414.59723,311855984.15,313658692.5,310053275.8,310233546.635,313478421.665,2.0,6499514788560.0,0.249333333333,97,0.125004598124,0.25,0.00779195328306,1.0406674226900002e-12
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,311561105.577,2537225.24107,311561105.577,313355194.75,309767016.404,309946425.321,313175785.833,2.0,6437511923930.0,0.125333333333,81,0.249990803752,0.25,0.00783304518423,1.0406674226900002e-12
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,310813478.94,3606457.68676,310813478.94,313363629.627,308263328.254,308518343.323,313108614.558,2.0,13006537046400.0,0.249333333333,108,0.249990803752,0.125026522385,0.00779303321812,1.0406674226900002e-12
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,304455036.124,303994.03794,304455036.124,304669992.369,304240079.878,304261575.503,304648496.745,2.0,92412375103.3,0.249333333333,103,0.124986205628,0.125026522385,0.00389622993185,1.0406674226900002e-12
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,283978207.129,858584.014949,283978207.129,284585317.708,283371096.549,283431807.607,284524606.65,2.0,737166510726.0,0.125333333333,76,0.124986205628,0.25,0.00391623444301,1.0406674226900002e-12
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,282380425.722,365175.91388,282380425.722,282638644.087,282122207.357,282148029.193,282612822.25,2.0,133353448078.0,0.125333333333,86,0.250009196248,0.25,0.00783362148244,1.0406674226900002e-12
