npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1479220835.57,6826559.78177,1479220835.57,1484047942.29,1474393728.86,1474876439.53,1483565231.62,2.0,46601918454100.0,0.250004799048,1.74117872884e-13,0.125007204196,0.125354107649,100,0.00391761683478
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1456968033.12,8173339.01459,1456968033.12,1462747456.56,1451188609.68,1451766552.02,1462169514.22,2.0,66803470647500.0,0.250004799048,1.74117872884e-13,0.249985591609,0.25,84,0.0156243993987
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1456806124.09,257227.564886,1456806124.09,1456988011.44,1456624236.73,1456642425.47,1456969822.71,2.0,66166020137.0,0.125002399524,1.74117872884e-13,0.125007204196,0.125354107649,125,0.00195880841739
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1448281540.56,6675252.27329,1448281540.56,1453001656.71,1443561424.42,1444033436.03,1452529645.1,2.0,44558992912100.0,0.249995200952,1.74117872884e-13,0.125007204196,0.25,45,0.00781280028334
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1438480193.45,12841513.055,1438480193.45,1447560514.41,1429399872.49,1430307904.58,1446652482.31,2.0,164904457542000.0,0.124991734973,1.74117872884e-13,0.125007204196,0.25,20,0.00390621683414
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1416028446.74,3112639.33277,1416028446.74,1418229415.11,1413827478.36,1414047575.19,1418009318.28,2.0,9688523615920.0,0.125002399524,1.74117872884e-13,0.249985591609,0.25,109,0.00781219969937
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1404825508.88,11571669.2143,1404825508.88,1413007914.65,1396643103.11,1397461343.68,1412189674.07,2.0,133903528405000.0,0.250005865503,1.74117872884e-13,0.125007204196,0.25,70,0.00781313356976
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1395046163.61,10948861.5781,1395046163.61,1402788177.88,1387304149.34,1388078350.77,1402013976.45,2.0,119877569856000.0,0.249995200952,1.74117872884e-13,0.249985591609,0.124645892351,29,0.00778976974847
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1371403444.3,8194907.39995,1371403444.3,1377198118.89,1365608769.71,1366188237.16,1376618651.43,2.0,67156507293800.0,0.250004799048,1.74117872884e-13,0.125007204196,0.25,95,0.00781310024112
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1362560980.07,622782.430665,1362560980.07,1363001353.75,1362120606.39,1362164643.76,1362957316.38,2.0,387857955945.0,0.250005865503,1.74117872884e-13,0.249985591609,0.124645892351,54,0.00779010205243
