smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight-htse_capacity
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-763156820.723,25238282.4692,-758473255.81,-740171071.147,-795509700.125,-791766652.064,-741103980.26,4.0,636970901995000.0,0.0155955752144,0.250000944804,0.249981948155,4.95258127397e-14,88,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-792769906.061,11939135.7505,-792940491.972,-781092989.251,-804105651.048,-803783878.798,-781517113.048,4.0,142542962469000.0,0.0155978276082,0.250000944804,0.250018051845,4.95258127397e-14,67,0.249546279492
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-801105072.269,15239774.0088,-798419061.607,-786808820.442,-820773345.422,-818432558.639,-787538000.828,4.0,232250711840000.0,0.00389883191784,0.124998488314,0.124990974078,4.95258127397e-14,102,0.249546279492
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-831595118.902,8980937.01139,-828762241.962,-824625285.713,-844230705.974,-842356477.331,-824799788.191,4.0,80657229602500.0,0.00391363970343,0.125000566882,0.250018051845,4.95258127397e-14,46,0.125226860254
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-857343729.243,21909598.5447,-854490291.958,-837360433.963,-883033899.096,-880777331.356,-837904939.331,4.0,480030508391000.0,0.00779772866837,0.249999055196,0.124990974078,4.95258127397e-14,108,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-866061737.161,24637640.0554,-864774806.0,-839932467.229,-894764869.414,-892137212.286,-841787965.661,4.0,607013307497000.0,0.00391307159924,0.250000944804,0.124990974078,4.95258127397e-14,115,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-890720466.222,15872420.5864,-884364487.211,-879936487.548,-914216402.918,-910012155.485,-880327147.575,4.0,251933735272000.0,0.0155955752144,0.250000944804,0.249981948155,4.95258127397e-14,87,0.249546279492
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-917282811.081,9188189.8144,-919555136.04,-904392479.569,-925628492.676,-925000717.761,-906383649.459,4.0,84422832065500.0,0.00782727349068,0.250000944804,0.250018051845,4.95258127397e-14,66,0.125226860254
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-920969791.101,15440610.8472,-914951830.575,-910139918.933,-943835584.322,-939676498.753,-910688228.186,4.0,238412463333000.0,0.015652286397,0.250000944804,0.249981948155,4.95258127397e-14,94,0.250453720508
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-940914876.903,8589942.74412,-940521080.822,-931145535.243,-951471810.724,-950228357.836,-932152710.482,4.0,73787116347300.0,0.00195650474422,0.124998488314,0.124990974078,4.95258127397e-14,101,0.125226860254
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-957697189.548,5319523.99238,-957805769.735,-952536304.962,-962640913.759,-962532225.074,-952710141.76,4.0,28297335505600.0,0.00779891969886,0.125000566882,0.250018051845,4.95258127397e-14,73,0.249546279492
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-986861807.835,4991363.37576,-986197931.026,-982539467.49,-992511901.799,-992076276.186,-982576767.018,4.0,24913708348900.0,0.00782614319848,0.250000944804,0.124990974078,4.95258127397e-14,114,0.250453720508
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1003436814.46,3380080.87637,-1003337077.01,-999431943.668,-1007641160.14,-1007073448.99,-999939812.358,4.0,11424946730800.0,0.00779772866837,0.249999055196,0.124990974078,4.95258127397e-14,107,0.249546279492
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1032865808.46,7670662.74563,-1029541115.95,-1028099323.8,-1044281678.15,-1042194676.71,-1028191509.73,4.0,58839066957200.0,0.00782614319848,0.250000944804,0.249981948155,4.95258127397e-14,86,0.125226860254
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1050223482.32,26836876.41,-1043249559.31,-1027168423.4,-1087226387.23,-1081982493.35,-1028227963.48,4.0,720217935446000.0,0.0155955752144,0.250000944804,0.249981948155,4.95258127397e-14,93,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1084715420.46,16775527.9498,-1080320777.56,-1070128827.1,-1108091299.63,-1104648441.25,-1070934899.74,4.0,281418337995000.0,0.00779891969886,0.125000566882,0.250018051845,4.95258127397e-14,72,0.249546279492
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1148472554.54,25531737.3938,-1138542144.58,-1130820948.05,-1185984980.94,-1179536193.78,-1131311489.23,4.0,651869614344000.0,0.00779778760718,0.250000944804,0.124990974078,4.95258127397e-14,113,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1165071343.85,27668607.5338,-1166923945.46,-1132938822.91,-1193498661.55,-1191760403.12,-1135788642.31,4.0,765551842859000.0,0.00391307159924,0.250000944804,0.124990974078,4.95258127397e-14,120,0.125226860254
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1176633747.66,35044532.4869,-1159452384.9,-1158436742.95,-1229193477.89,-1218790707.8,-1158530695.38,4.0,1228119257220000.0,0.00391304202267,0.249999055196,0.124990974078,4.95258127397e-14,106,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1189865649.53,22180211.618,-1184157522.67,-1172004557.9,-1219142994.87,-1215519537.58,-1172203139.07,4.0,491961787420000.0,0.0155955752144,0.250000944804,0.249981948155,4.95258127397e-14,92,0.249546279492
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1198668327.51,10826957.5656,-1194989317.71,-1190800581.6,-1213894093.04,-1211647720.64,-1190839548.12,4.0,117223010127000.0,0.0078261491138,0.125000566882,0.249981948155,4.95258127397e-14,99,0.250453720508
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1211847125.73,18484438.8647,-1210941957.01,-1193850480.87,-1231654108.03,-1230406284.11,-1194555203.55,4.0,341674480145000.0,0.00391363970343,0.125000566882,0.250018051845,4.95258127397e-14,71,0.125226860254
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1292162487.59,47231355.6143,-1271829839.38,-1262349983.7,-1362640287.88,-1349348447.27,-1263442235.39,4.0,2230800953160000.0,0.00782614319848,0.250000944804,0.124990974078,4.95258127397e-14,119,0.250453720508
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1313230088.29,40008514.296,-1312546499.89,-1276369790.84,-1351457562.54,-1350341839.18,-1277075361.15,4.0,1600681216170000.0,0.00779778760718,0.250000944804,0.124990974078,4.95258127397e-14,112,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1319107291.79,20308383.3224,-1310156777.51,-1306693992.2,-1349421619.94,-1343744539.14,-1307000764.44,4.0,412430433168000.0,0.00779779350107,0.125000566882,0.249981948155,4.95258127397e-14,98,0.249546279492
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1338115393.16,26793282.0081,-1337218703.62,-1306301478.74,-1371722686.66,-1366890068.9,-1310596082.77,4.0,717879960764000.0,0.00782614319848,0.250000944804,0.249981948155,4.95258127397e-14,91,0.125226860254
