npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2047625849.3,17123800.4287,2047625849.3,2059734204.71,2035517493.9,2036728329.44,2058523369.17,2.0,293224541122000.0,0.125,0.25,1.21200144652e-13,4,0.00390602654481,0.124992849434
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2022812712.92,36745187.3381,2022812712.92,2048795484.06,1996829941.77,1999428218.89,2046197206.94,2.0,1350208792510000.0,0.125,0.25,1.21200144652e-13,104,0.00390632448506,0.125002383522
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1989999380.05,45286708.5317,1989999380.05,2022021918.75,1957976841.35,1961179095.22,2018819664.88,2.0,2050885969640000.0,0.25,0.124987287705,1.21200144652e-13,35,0.00781155652656,0.249995232956
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1959255707.84,52477730.1532,1959255707.84,1996363066.7,1922148348.99,1925859084.88,1992652330.81,2.0,2753912162030000.0,0.25,0.124987287705,1.21200144652e-13,115,0.00390592721826,0.125002383522
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1954431593.22,70452910.3061,1954431593.22,2004249323.85,1904613862.59,1909595635.65,1999267550.79,2.0,4963612570600000.0,0.25,0.124987287705,1.21200144652e-13,60,0.00781185443652,0.250004767044
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1918020397.71,5819225.59668,1918020397.71,1922135211.59,1913905583.83,1914317065.22,1921723730.2,2.0,33863386545000.0,0.25,0.124987287705,1.21200144652e-13,85,0.00781185443652,0.250004767044
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1855696863.25,87624306.1916,1855696863.25,1917656604.36,1793737122.15,1799933096.26,1911460630.25,2.0,7678019035560000.0,0.25,0.124987287705,1.21200144652e-13,10,0.0039056293083,0.124992849434
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1849213700.1,103818193.721,1849213700.1,1922624248.89,1775803151.3,1783144206.18,1915283194.01,2.0,1.07782173475e+16,0.25,0.124987287705,1.21200144652e-13,110,0.00390592721826,0.125002383522
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1822790665.71,108268980.471,1822790665.71,1899348396.0,1746232935.43,1753888708.46,1891692622.97,2.0,1.17221721322e+16,0.125,0.124987287705,1.21200144652e-13,5,0.00195281465415,0.124992849434
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1803030761.81,126252726.638,1803030761.81,1892304920.96,1713756602.66,1722684018.57,1883377505.04,2.0,1.59397509835e+16,0.125,0.124987287705,1.21200144652e-13,30,0.00390577826328,0.249995232956
