smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1696882655.96,47633013.9524,-1687539952.96,-1653159828.12,-1759290889.8,-1751575994.09,-1655269102.03,4.0,2268904018190000.0,119,0.124990974078,0.250000944804,4.95258127397e-14,0.00782614319848,0.250453720508
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1718571886.77,5655118.05827,-1720318205.4,-1710354949.64,-1723296186.63,-1722856805.96,-1711842121.49,4.0,31980360253000.0,98,0.249981948155,0.125000566882,4.95258127397e-14,0.00779779350107,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1818261465.54,21086315.2581,-1809682585.91,-1804047599.73,-1849633090.63,-1843714827.76,-1804818534.82,4.0,444632691164000.0,125,0.124990974078,0.125000566882,4.95258127397e-14,0.00195653727845,0.125226860254
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1819485702.55,27638263.9233,-1819993173.75,-1791570089.72,-1846386372.98,-1845405144.97,-1792855800.44,4.0,763873632692000.0,118,0.124990974078,0.250000944804,4.95258127397e-14,0.00779778760718,0.249546279492
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1829593621.59,22161080.6869,-1829415188.0,-1808068750.87,-1851475359.51,-1850610796.07,-1808826254.15,4.0,491113497211000.0,111,0.124990974078,0.250000944804,4.95258127397e-14,0.00391307159924,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1835686632.53,18924994.6075,-1827340953.71,-1824269935.92,-1863794686.8,-1858734145.07,-1824323070.36,4.0,358155420894000.0,97,0.249981948155,0.125000566882,4.95258127397e-14,0.00779779350107,0.249546279492
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1963485622.55,36428486.2936,-1950043658.47,-1937663297.07,-2016191876.2,-2007672722.47,-1938117272.35,4.0,1327034613640000.0,124,0.124990974078,0.125000566882,4.95258127397e-14,0.0039130745569,0.250453720508
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1987074522.31,19658552.403,-1983344116.3,-1969472332.23,-2012137524.41,-2009294138.98,-1970077474.05,4.0,386458682581000.0,96,0.249981948155,0.125000566882,4.95258127397e-14,0.0039130745569,0.125226860254
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1998718906.47,20126728.0979,-1994539785.64,-1979774248.23,-2026021806.4,-2022224025.64,-1981064556.48,4.0,405085183928000.0,117,0.124990974078,0.250000944804,4.95258127397e-14,0.00779778760718,0.249546279492
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2109315529.35,16769322.4921,-2106442221.22,-2095178728.38,-2129198946.57,-2127400706.24,-2095252983.84,4.0,281210176844000.0,123,0.124990974078,0.125000566882,4.95258127397e-14,0.00389889675053,0.249546279492
