smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1246215840.6,238608.341737,-1246284530.22,-1245890884.71,-1246403417.26,-1246400801.61,-1245934714.13,4.0,56933940746.3,0.249981948155,0.125002976198,98,0.00779794379918,3.46688419418e-13,0.249546279492
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1302558937.64,489640.735431,-1302502180.68,-1302044668.16,-1303186721.05,-1303108736.83,-1302088598.2,4.0,239748049793.0,0.249981948155,0.249992724848,82,0.0155950624366,3.46688419418e-13,0.249546279492
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1314323560.39,372197.471083,-1314380122.47,-1313843345.95,-1314690650.69,-1314666277.82,-1313901656.06,4.0,138530957481.0,0.249981948155,0.12498974865,77,0.0077971186374,3.46688419418e-13,0.249546279492
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1322539534.51,333903.123927,-1322629281.87,-1322061511.39,-1322838062.89,-1322809629.9,-1322143792.79,4.0,111491296168.0,0.249981948155,0.250007275152,87,0.0155959701145,3.46688419418e-13,0.249546279492
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1342692734.31,466530.595395,-1342673583.43,-1342142857.35,-1343280913.04,-1343196437.41,-1342215842.45,4.0,217650796439.0,0.249981948155,0.250007275152,92,0.0155959701145,3.46688419418e-13,0.249546279492
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1362858865.99,374263.660683,-1362864383.07,-1362432629.3,-1363274068.52,-1363239882.75,-1362470125.33,4.0,140073287708.0,0.249981948155,0.125002976198,97,0.00779794379918,3.46688419418e-13,0.249546279492
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1419945511.78,326156.585142,-1419980645.09,-1419514597.95,-1420306158.97,-1420260535.95,-1419581300.97,4.0,106378118032.0,0.249981948155,0.249992724848,81,0.00782588587727,3.46688419418e-13,0.125226860254
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1437694320.84,225621.209343,-1437635005.05,-1437509275.9,-1437997997.36,-1437958251.96,-1437513431.82,4.0,50904930105.6,0.249981948155,0.12498974865,76,0.00391273589804,3.46688419418e-13,0.125226860254
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1440421305.04,794535.440631,-1440205015.7,-1439716533.38,-1441558655.37,-1441366231.22,-1439779183.93,4.0,631286566419.0,0.249981948155,0.250007275152,86,0.00782634136657,3.46688419418e-13,0.125226860254
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1460618706.19,945322.821012,-1460983002.1,-1459224455.09,-1461284365.48,-1461257049.46,-1459470348.65,4.0,893635235926.0,0.249981948155,0.250007275152,91,0.00782634136657,3.46688419418e-13,0.125226860254
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1482295457.02,329436.484567,-1482367746.06,-1481841048.78,-1482605287.19,-1482581586.54,-1481908122.86,4.0,108528397364.0,0.249981948155,0.125002976198,96,0.00391314997922,3.46688419418e-13,0.125226860254
