npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,711655672.327,14180542.1484,711655672.327,721682829.841,701628514.813,702631230.564,720680114.089,2.0,201087775622000.0,95,0.250420168067,0.00782421834166,0.250006199044,2.85069050095e-13,0.124974348451
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,703760074.601,6090391.53527,703760074.601,708066631.756,699453517.446,699884173.162,707635976.04,2.0,37092869052900.0,65,0.249579831933,0.00779796257541,0.250006199044,2.85069050095e-13,0.124974348451
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,658012415.277,10921960.5324,658012415.277,665735407.634,650289422.921,651061722.157,664963108.398,2.0,119289221872000.0,90,0.249579831933,0.00779796257541,0.250006199044,2.85069050095e-13,0.124974348451
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,594948601.849,11700887.5263,594948601.849,603222378.765,586674824.933,587502202.625,602395001.073,2.0,136910768904000.0,115,0.249579831933,0.00389900062319,0.125003719426,2.85069050095e-13,0.124974348451
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,590983273.772,13052569.435,590983273.772,600212834.131,581753713.413,582676669.449,599289878.095,2.0,170369568856000.0,10,0.249579831933,0.00389857524251,0.12499008153,2.85069050095e-13,0.124974348451
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,587591045.09,16917244.4466,587591045.09,599553343.357,575628746.823,576824976.65,598357113.531,2.0,286193159666000.0,35,0.249579831933,0.0077975758657,0.249993800956,2.85069050095e-13,0.124974348451
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,540544661.661,25302959.1691,540544661.661,558436555.674,522652767.649,524441957.05,556647366.272,2.0,640239742712000.0,60,0.249579831933,0.00779796257541,0.250006199044,2.85069050095e-13,0.124974348451
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,532491311.331,5264541.61533,532491311.331,536213904.407,528768718.255,529140977.563,535841645.099,2.0,27715398419500.0,85,0.249579831933,0.00779796257541,0.250006199044,2.85069050095e-13,0.124974348451
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,480865826.967,8110752.41632,480865826.967,486600995.001,475130658.933,475704175.737,486027478.198,2.0,65784304758800.0,110,0.249579831933,0.00389900062319,0.125003719426,2.85069050095e-13,0.124974348451
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,467866701.165,25797548.6629,467866701.165,486108322.762,449625079.567,451449241.727,484284160.603,2.0,665513517014000.0,30,0.125210084034,0.00391191516495,0.249993800956,2.85069050095e-13,0.124974348451
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,433187320.475,6009008.5476,433187320.475,437436331.167,428938309.782,429363210.852,437011430.098,2.0,36108183725100.0,55,0.125210084034,0.00391210917083,0.250006199044,2.85069050095e-13,0.124974348451
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,411771597.858,25065657.8344,411771597.858,429495694.488,394047501.229,395819910.891,427723284.825,2.0,628287202671000.0,5,0.125210084034,0.00195585087924,0.12499008153,2.85069050095e-13,0.124974348451
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,393894535.468,1986916.67168,393894535.468,395299497.72,392489573.215,392630069.441,395159001.495,2.0,3947837860200.0,80,0.125210084034,0.00391210917083,0.250006199044,2.85069050095e-13,0.124974348451
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,311352316.585,55234829.6192,311352316.585,350409239.167,272295394.004,276201086.262,346503546.908,2.0,3050886403070000.0,105,0.125210084034,0.00195606428571,0.125003719426,2.85069050095e-13,0.124974348451
769.0,-620.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-180564897081000.0,1799285.46434,-180564897081000.0,-180564895809000.0,-180564898353000.0,-180564898226000.0,-180564895936000.0,2.0,3237428182180.0,6,0.249579831933,0.00389964217608,0.12499008153,2.85069050095e-13,0.125008550516
