npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
1193.0,-1000.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2284886678.88,1285325.40579,2284886678.88,2285795541.19,2283977816.57,2284068702.8,2285704654.96,2.0,1652061398780.0,4.4039662692699996e-14,0.111126436782,602,0.0555555555556,0.000685972164049,0.11111216476
1193.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2282667249.03,7968686.7954,2282667249.03,2288301961.5,2277032536.56,2277596007.81,2287738490.26,2.0,63499969243200.0,4.4039662692699996e-14,0.111126436782,45,0.111111111111,0.000685918942116,0.055551771998
1193.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,644444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2276701011.84,4005890.22685,2276701011.84,2279533603.99,2273868419.7,2274151678.91,2279250344.77,2.0,16047156509600.0,4.4039662692699996e-14,0.111103448276,523,0.111111111111,0.0013716551956,0.111111733722
1193.0,-900.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2262690597.03,128640.159099,2262690597.03,2262781559.36,2262599634.71,2262608730.94,2262772463.13,2.0,16548290533.0,4.4039662692699996e-14,0.111103448276,413,0.111111111111,0.0013716551956,0.111111733722
1193.0,-700.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,386667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2258459932.26,11630537.0637,2258459932.26,2266683963.88,2250235900.63,2251058303.79,2265861560.72,2.0,135269392389000.0,4.4039662692699996e-14,0.111103448276,334,0.111111111111,0.00137166051669,0.11111216476
1193.0,-800.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2248599915.78,1753655.56251,2248599915.78,2249839937.52,2247359894.04,2247483896.21,2249715935.34,2.0,3075307831940.0,4.4039662692699996e-14,0.111103448276,224,0.111111111111,0.00137166051669,0.11111216476
1193.0,-900.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2246282294.54,771108.342149,2246282294.54,2246827550.48,2245737038.6,2245791564.2,2246773024.88,2.0,594608075332.0,4.4039662692699996e-14,0.111126436782,812,0.111111111111,0.0013719443281,0.11111216476
1193.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,128889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2242399706.29,5373917.31213,2242399706.29,2246199639.66,2238599772.92,2238979766.26,2245819646.33,2.0,28878987277600.0,4.4039662692699996e-14,0.111126436782,145,0.111111111111,0.00137189110616,0.111107854378
1193.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,386667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2241029643.61,1278186.47705,2241029643.61,2241933457.93,2240125829.28,2240216210.72,2241843076.5,2.0,1633760670120.0,4.4039662692699996e-14,0.111103448276,303,0.0555555555556,0.000685830258346,0.11111216476
1193.0,-1000.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,902222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2232707192.99,2568692.41026,2232707192.99,2234523532.81,2230890853.17,2231072487.15,2234341898.83,2.0,6598180698520.0,4.4039662692699996e-14,0.111126436782,702,0.0555555555556,0.000685972164049,0.11111216476
1193.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2225380319.63,179014.621419,2225380319.63,2225506902.09,2225253737.18,2225266395.43,2225494243.84,2.0,32046234681.6,4.4039662692699996e-14,0.111103448276,623,0.111111111111,0.00137166051669,0.11111216476
1193.0,-900.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,128889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2221479645.36,822847.260338,2221479645.36,2222061486.24,2220897804.49,2220955988.57,2222003302.15,2.0,677077613845.0,4.4039662692699996e-14,0.111103448276,114,0.111111111111,0.00137160730577,0.111107854378
1193.0,-900.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,644444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2215321064.67,3509781.71741,2215321064.67,2217802855.12,2212839274.21,2213087453.26,2217554676.07,2.0,12318567703900.0,4.4039662692699996e-14,0.111103448276,513,0.111111111111,0.0013716551956,0.111111733722
1193.0,-700.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2205716840.49,1351292.01224,2205716840.49,2206672348.24,2204761332.75,2204856883.52,2206576797.46,2.0,1825990102350.0,4.4039662692699996e-14,0.111103448276,434,0.111111111111,0.0013716551956,0.111111733722
1193.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2194399944.51,1146279.64091,2194399944.51,2195210486.62,2193589402.4,2193670456.61,2195129432.41,2.0,1313957015160.0,4.4039662692699996e-14,0.111103448276,403,0.0555555555556,0.0006858275978,0.111111733722
1193.0,-900.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2193440751.13,4862469.10033,2193440751.13,2196879036.0,2190002466.26,2190346294.74,2196535207.52,2.0,23643605751600.0,4.4039662692699996e-14,0.111103448276,14,0.111111111111,0.000685777047424,0.055551771998
1193.0,-800.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,386667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2193402339.69,89780.8785905,2193402339.69,2193465824.35,2193338855.02,2193345203.48,2193459475.89,2.0,8060606160.48,4.4039662692699996e-14,0.111103448276,324,0.111111111111,0.00137166051669,0.11111216476
1193.0,-900.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,1160000.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2193321137.43,4194128.18767,2193321137.43,2196286833.92,2190355440.95,2190652010.6,2195990264.27,2.0,17590711254600.0,4.4039662692699996e-14,0.111126436782,912,0.111111111111,0.000685972164049,0.05555608238
1193.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2190461014.35,3126000.27908,2190461014.35,2192671430.35,2188250598.36,2188471639.96,2192450388.75,2.0,9771877744840.0,4.4039662692699996e-14,0.111126436782,245,0.111111111111,0.0013719443281,0.11111216476
1193.0,-700.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2184967482.72,767454.423454,2184967482.72,2185510154.94,2184424810.49,2184479077.71,2185455887.72,2.0,588986292079.0,4.4039662692699996e-14,0.111126436782,35,0.111111111111,0.000685918942116,0.055551771998
1193.0,-1000.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2183846824.56,6479094.80696,2183846824.56,2188428236.44,2179265412.69,2179723553.88,2187970095.25,2.0,41978669517500.0,4.4039662692699996e-14,0.111126436782,802,0.0555555555556,0.000685972164049,0.11111216476
1193.0,-700.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,128889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2176566233.02,3269727.73622,2176566233.02,2178878279.68,2174254186.37,2174485391.03,2178647075.01,2.0,10691119469000.0,4.4039662692699996e-14,0.111126436782,135,0.111111111111,0.00137189110616,0.111107854378
1193.0,-900.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2174414427.93,2440679.27537,2174414427.93,2176140248.8,2172688607.06,2172861189.15,2175967666.71,2.0,5956915325240.0,4.4039662692699996e-14,0.111103448276,214,0.111111111111,0.00137166051669,0.11111216476
1193.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,902222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2172081429.55,5094262.58311,2172081429.55,2175683617.17,2168479241.94,2168839460.7,2175323398.41,2.0,25951511265700.0,4.4039662692699996e-14,0.111103448276,723,0.111111111111,0.00137166051669,0.11111216476
1193.0,-500.0,-12083.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2171709750.04,1029610.24574,2171709750.04,2172437794.42,2170981705.65,2171054510.09,2172364989.98,2.0,1060097258140.0,4.4039662692699996e-14,0.111103448276,56,0.111111111111,0.000685777047424,0.055551771998
1193.0,-900.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2161402676.06,994762.030993,2161402676.06,2162106079.04,2160699273.08,2160769613.38,2162035738.74,2.0,989551498306.0,4.4039662692699996e-14,0.111103448276,613,0.111111111111,0.00137166051669,0.11111216476
1193.0,-700.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,644444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2156231007.38,4177892.77607,2156231007.38,2159185223.69,2153276791.06,2153572212.69,2158889802.06,2.0,17454788048300.0,4.4039662692699996e-14,0.111103448276,534,0.111111111111,0.0013716551956,0.111111733722
1193.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,386667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2149858766.47,2638320.80693,2149858766.47,2151724341.0,2147993191.93,2148179749.38,2151537783.55,2.0,6960736680300.0,4.4039662692699996e-14,0.111126436782,345,0.111111111111,0.0013719443281,0.11111216476
1193.0,-1000.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,128889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2147514096.71,2122113.0693,2147514096.71,2149014657.25,2146013536.17,2146163592.22,2148864601.2,2.0,4503363878910.0,4.4039662692699996e-14,0.111103448276,104,0.0555555555556,0.000685803652885,0.111107854378
