smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1739330115.1,27000603.3901,-1735314980.67,-1706233231.34,-1784649360.23,-1780096335.35,-1708619392.81,10.0,729032583430000.0,2.4762864257000002e-14,0.015595542798,0.249546279492,0.249981948155,92,0.250000425161
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1780571648.66,3407057.94161,-1780463806.06,-1776317806.31,-1787968272.56,-1785688852.66,-1776600740.86,10.0,11608043817500.0,2.4762864257000002e-14,0.00195653099342,0.125226860254,0.124990974078,21,0.12500016534
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1871798437.85,9359662.12986,-1873654491.0,-1848046469.47,-1883386214.45,-1880354409.7,-1856339797.86,10.0,87603275185100.0,2.4762864257000002e-14,0.00779889464623,0.249546279492,0.250018051845,47,0.12500016534
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1887905253.35,36329510.2997,-1895326077.03,-1812267950.39,-1927020388.3,-1924991928.69,-1826219699.51,10.0,1319833318610000.0,2.4762864257000002e-14,0.00779777139899,0.249546279492,0.124990974078,118,0.250000425161
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1910568293.95,40277670.8785,-1919298225.85,-1835588758.06,-1956908088.99,-1953905497.04,-1847648747.65,10.0,1622290771390000.0,2.4762864257000002e-14,0.00782612693135,0.125226860254,0.249981948155,91,0.250000425161
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1967284704.34,14355271.7069,-1965300695.88,-1945895201.16,-1987795545.5,-1985296180.1,-1947415734.05,10.0,206073825778000.0,2.4762864257000002e-14,0.00391362713156,0.125226860254,0.250018051845,46,0.12500016534
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1968876246.35,23905449.0329,-1969899622.69,-1932797507.39,-2004698315.44,-2001446406.15,-1938079147.61,10.0,571470493466000.0,2.4762864257000002e-14,0.00779889464623,0.249546279492,0.250018051845,73,0.12500016534
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2032410327.39,50543446.6384,-2039674090.91,-1948676122.84,-2086150664.4,-2084444171.05,-1961632878.76,10.0,2554639998090000.0,2.4762864257000002e-14,0.00779777139899,0.249546279492,0.124990974078,117,0.250000425161
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2052282935.27,39193960.0261,-2061660080.0,-1987400335.63,-2104263995.88,-2097302829.53,-1992952798.56,10.0,1536166502530000.0,2.4762864257000002e-14,0.0078261239737,0.250453720508,0.249981948155,99,0.12500016534
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2066476261.5,22329715.7139,-2067157045.3,-2036544953.34,-2112228764.95,-2100443485.14,-2040480470.17,10.0,498616203864000.0,2.4762864257000002e-14,0.00779889464623,0.249546279492,0.250018051845,72,0.12500016534
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2140302358.93,37007055.938,-2156797452.85,-2045405651.93,-2169536839.07,-2166933945.8,-2078759039.83,10.0,1369522189200000.0,2.4762864257000002e-14,0.00195653099342,0.125226860254,0.124990974078,125,0.12500016534
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2182817456.97,32128780.7064,-2184554706.17,-2136841567.0,-2224364993.48,-2220315785.59,-2139458152.37,10.0,1032258549680000.0,2.4762864257000002e-14,0.00779776845205,0.249546279492,0.249981948155,98,0.12500016534
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2198842103.38,16120897.3229,-2194822538.27,-2173625298.17,-2226200600.86,-2223207729.0,-2179009150.05,10.0,259883330496000.0,2.4762864257000002e-14,0.00391362713156,0.125226860254,0.250018051845,71,0.12500016534
