smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-439.4,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-460563292939000.0,17015867.7429,-460563292939000.0,-460563280906000.0,-460563304971000.0,-460563303767000.0,-460563282110000.0,2.0,289539755043000.0,0.0714285714286,2.43433201164e-13,28,0.142860670194,0.142903225806,0.00145823218654
720.0,-439.4,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-460563330395000.0,984994.398698,-460563330395000.0,-460563329699000.0,-460563331092000.0,-460563331022000.0,-460563329769000.0,2.0,970213965466.0,0.0714285714286,2.43433201164e-13,36,0.142860670194,0.142903225806,0.00145823218654
720.0,-439.4,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-460563336647000.0,32489061.746,-460563336647000.0,-460563313674000.0,-460563359620000.0,-460563357323000.0,-460563315971000.0,2.0,1055539133140000.0,0.0714285714286,2.43433201164e-13,44,0.142859494415,0.142903225806,0.00145822018493
720.0,-439.4,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-460563377773000.0,10198004.7047,-460563377773000.0,-460563370562000.0,-460563384984000.0,-460563384263000.0,-460563371283000.0,2.0,103999299957000.0,0.0714285714286,2.43433201164e-13,52,0.142860670194,0.142903225806,0.00145823218654
720.0,-439.4,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-460563397129000.0,20669891.8415,-460563397129000.0,-460563382513000.0,-460563411745000.0,-460563410283000.0,-460563383975000.0,2.0,427244428738000.0,0.0714285714286,2.43433201164e-13,60,0.0714309229865,0.142903225806,0.000729122094079
720.0,-350.8,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-460612818654000.0,15155782.166,-460612818654000.0,-460612807937000.0,-460612829371000.0,-460612828299000.0,-460612809009000.0,2.0,229697733063000.0,0.142857142857,2.43433201164e-13,69,0.071417989418,0.142903225806,0.00145798015263
720.0,-350.8,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-460612921014000.0,7796651.91196,-460612921014000.0,-460612915501000.0,-460612926527000.0,-460612925976000.0,-460612916052000.0,2.0,60787781036300.0,0.142857142857,2.43433201164e-13,77,0.142848912404,0.142903225806,0.00291622434079
720.0,-350.8,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-614140727598000.0,10543649.5921,-614140727598000.0,-614140720143000.0,-614140735054000.0,-614140734308000.0,-614140720889000.0,2.0,111168546720000.0,0.0714285714286,2.43433201164e-13,5,0.071417989418,0.142903225806,0.000728990076317
720.0,-350.8,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-614140770655000.0,10186474.1354,-614140770655000.0,-614140763452000.0,-614140777858000.0,-614140777138000.0,-614140764172000.0,2.0,103764255311000.0,0.0714285714286,2.43433201164e-13,13,0.142848912404,0.142903225806,0.0014581121704
720.0,-350.8,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-614140802815000.0,6207214.19562,-614140802815000.0,-614140798425000.0,-614140807204000.0,-614140806765000.0,-614140798864000.0,2.0,38529508070300.0,0.0714285714286,2.43433201164e-13,21,0.142860670194,0.142903225806,0.00145823218654
720.0,-350.8,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-614140859371000.0,11461665.82,-614140859371000.0,-614140851267000.0,-614140867476000.0,-614140866665000.0,-614140852077000.0,2.0,131369783369000.0,0.0714285714286,2.43433201164e-13,29,0.142860670194,0.142903225806,0.00145823218654
720.0,-350.8,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-614140879433000.0,6301062.11473,-614140879433000.0,-614140874977000.0,-614140883888000.0,-614140883443000.0,-614140875423000.0,2.0,39703383773600.0,0.0714285714286,2.43433201164e-13,37,0.142860670194,0.142903225806,0.00145823218654
720.0,-350.8,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-614140890119000.0,25925973.8773,-614140890119000.0,-614140871786000.0,-614140908451000.0,-614140906618000.0,-614140873619000.0,2.0,672156121486000.0,0.0714285714286,2.43433201164e-13,45,0.142859494415,0.142903225806,0.00145822018493
720.0,-350.8,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-614140913740000.0,38069691.9174,-614140913740000.0,-614140886821000.0,-614140940660000.0,-614140937968000.0,-614140889513000.0,2.0,1449301442690000.0,0.0714285714286,2.43433201164e-13,53,0.142860670194,0.142903225806,0.00145823218654
720.0,-350.8,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-614140946196000.0,21412605.4266,-614140946196000.0,-614140931055000.0,-614140961337000.0,-614140959823000.0,-614140932569000.0,2.0,458499671154000.0,0.0714285714286,2.43433201164e-13,61,0.0714309229865,0.142903225806,0.000729122094079
720.0,-262.2,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-614190424139000.0,46905849.0457,-614190424139000.0,-614190390972000.0,-614190457307000.0,-614190453990000.0,-614190394289000.0,2.0,2200158674690000.0,0.142857142857,2.43433201164e-13,70,0.071417989418,0.142822580645,0.00145715736474
720.0,-262.2,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-614190435095000.0,16618310.6111,-614190435095000.0,-614190423344000.0,-614190446845000.0,-614190445670000.0,-614190424519000.0,2.0,276168247568000.0,0.142857142857,2.43433201164e-13,78,0.142848912404,0.142822580645,0.00291457861599
720.0,-173.7,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-767594616506000.0,31993247.5751,-767594616506000.0,-767594593884000.0,-767594639129000.0,-767594636867000.0,-767594596146000.0,2.0,1023567890400000.0,0.142857142857,2.43433201164e-13,71,0.071417989418,0.142822580645,0.00145715736474
720.0,-173.7,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-767594654521000.0,2308162.96905,-767594654521000.0,-767594652889000.0,-767594656153000.0,-767594655990000.0,-767594653052000.0,2.0,5327616291700.0,0.142857142857,2.43433201164e-13,79,0.142848912404,0.142822580645,0.00291457861599
720.0,-262.2,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-767718289038000.0,31183750.3177,-767718289038000.0,-767718266988000.0,-767718311089000.0,-767718308884000.0,-767718269193000.0,2.0,972426283879000.0,0.0714285714286,2.43433201164e-13,6,0.071417989418,0.142822580645,0.000728578682369
720.0,-262.2,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-767718320745000.0,19529343.0991,-767718320745000.0,-767718306935000.0,-767718334554000.0,-767718333173000.0,-767718308316000.0,2.0,381395241883000.0,0.0714285714286,2.43433201164e-13,14,0.142848912404,0.142822580645,0.001457289308
720.0,-262.2,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-767718398192000.0,1066615.95542,-767718398192000.0,-767718397437000.0,-767718398946000.0,-767718398870000.0,-767718397513000.0,2.0,1137669596360.0,0.0714285714286,2.43433201164e-13,22,0.142860670194,0.142822580645,0.00145740925641
720.0,-262.2,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-767718417762000.0,102304.474267,-767718417762000.0,-767718417690000.0,-767718417835000.0,-767718417827000.0,-767718417697000.0,2.0,10466205455.1,0.0714285714286,2.43433201164e-13,30,0.142860670194,0.142822580645,0.00145740925641
720.0,-262.2,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-767718420132000.0,12236633.9041,-767718420132000.0,-767718411480000.0,-767718428785000.0,-767718427920000.0,-767718412345000.0,2.0,149735209303000.0,0.0714285714286,2.43433201164e-13,38,0.142860670194,0.142822580645,0.00145740925641
720.0,-262.2,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-767718432765000.0,1708827.56982,-767718432765000.0,-767718431557000.0,-767718433973000.0,-767718433853000.0,-767718431678000.0,2.0,2920091663390.0,0.0714285714286,2.43433201164e-13,54,0.142860670194,0.142822580645,0.00145740925641
720.0,-262.2,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-767718452165000.0,1546929.63864,-767718452165000.0,-767718451071000.0,-767718453259000.0,-767718453149000.0,-767718451180000.0,2.0,2392991306900.0,0.0714285714286,2.43433201164e-13,46,0.142859494415,0.142822580645,0.00145739726157
720.0,-262.2,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-767718486926000.0,21535431.3771,-767718486926000.0,-767718471698000.0,-767718502154000.0,-767718500631000.0,-767718473221000.0,2.0,463774804596000.0,0.0714285714286,2.43433201164e-13,62,0.0714309229865,0.142822580645,0.000728710625628
720.0,-173.7,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-921122502205000.0,12605362.6017,-921122502205000.0,-921122493292000.0,-921122511118000.0,-921122510227000.0,-921122494183000.0,2.0,158895166321000.0,0.0714285714286,2.43433201164e-13,7,0.071417989418,0.142822580645,0.000728578682369
720.0,-173.7,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-921122534399000.0,2248472.99206,-921122534399000.0,-921122532810000.0,-921122535989000.0,-921122535830000.0,-921122532969000.0,2.0,5055630796020.0,0.0714285714286,2.43433201164e-13,15,0.142848912404,0.142822580645,0.001457289308
720.0,-173.7,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-921122540108000.0,7014722.44995,-921122540108000.0,-921122535148000.0,-921122545068000.0,-921122544572000.0,-921122535644000.0,2.0,49206331049800.0,0.0714285714286,2.43433201164e-13,23,0.142860670194,0.142822580645,0.00145740925641
720.0,-173.7,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-921122591293000.0,59314627.9189,-921122591293000.0,-921122549351000.0,-921122633235000.0,-921122629041000.0,-921122553546000.0,2.0,3518225085160000.0,0.0714285714286,2.43433201164e-13,31,0.142860670194,0.142822580645,0.00145740925641
720.0,-173.7,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-921122597726000.0,45797714.1665,-921122597726000.0,-921122565342000.0,-921122630110000.0,-921122626871000.0,-921122568580000.0,2.0,2097430622880000.0,0.0714285714286,2.43433201164e-13,39,0.142860670194,0.142822580645,0.00145740925641
