smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,prefix
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-455677442.122,1421464.20645,-456202709.366,-453577864.779,-456726484.976,-456651522.051,-453967988.051,4.0,2020560490230.0,0.249996693157,1.7334191682000001e-13,0.249546279492,0.124990974078,0.00779765499392,108
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-465044969.81,5499577.44506,-466699327.652,-457117030.609,-469664193.329,-469329323.02,-458444515.623,4.0,30245352074200.0,0.250003306843,1.7334191682000001e-13,0.250453720508,0.124990974078,0.00782621714084,119
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-495649176.626,4019795.1007,-495717550.706,-490682765.393,-500478839.699,-499837825.906,-491364803.634,4.0,16158752651600.0,0.250003306843,1.7334191682000001e-13,0.125226860254,0.249981948155,0.00782621714084,86
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-510172137.81,2113778.34783,-509417629.842,-508576455.828,-513276835.726,-512728003.933,-508672582.841,4.0,4468058903740.0,0.125001984106,1.7334191682000001e-13,0.249546279492,0.249981948155,0.00779788191041,97
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-535489735.744,4003199.36971,-535930710.655,-530976886.308,-539120635.358,-539040969.769,-531321136.844,4.0,16025605193700.0,0.250003306843,1.7334191682000001e-13,0.249546279492,0.124990974078,0.00779786128164,113
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-543611985.105,5856584.10694,-545117056.686,-535768165.491,-548445661.555,-548335769.165,-536781100.83,4.0,34299577401700.0,0.125001984106,1.7334191682000001e-13,0.250453720508,0.124990974078,0.00391311892231,124
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-573374150.462,871877.410573,-573423669.486,-572473818.374,-574175444.501,-574158896.929,-572520077.361,4.0,760170219067.0,0.250003306843,1.7334191682000001e-13,0.125226860254,0.249981948155,0.00782621714084,91
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-592469070.407,2382141.27116,-592097891.84,-590146964.229,-595533533.718,-595166874.12,-590290916.686,4.0,5674597035750.0,0.124994709051,1.7334191682000001e-13,0.249546279492,0.124990974078,0.00389871403872,102
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-608886589.158,3019062.62632,-607643514.631,-606903999.591,-613355327.777,-612561614.941,-606951867.711,4.0,9114739141670.0,0.249996693157,1.7334191682000001e-13,0.249546279492,0.124990974078,0.00779765499392,107
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-616662381.45,6408004.98285,-616442692.561,-611027389.902,-622736750.775,-622575233.637,-611057093.707,4.0,41062527860200.0,0.250003306843,1.7334191682000001e-13,0.249546279492,0.124990974078,0.00779786128164,118
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-651999070.433,2856874.6623,-653047147.971,-647829552.036,-654072433.754,-654001109.949,-648529722.364,4.0,8161732836100.0,0.125001984106,1.7334191682000001e-13,0.125226860254,0.249981948155,0.00391311892231,96
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-687118379.503,4460663.46443,-685528607.623,-683729896.352,-693686406.412,-692476570.311,-683985869.326,4.0,19897518542900.0,0.250003306843,1.7334191682000001e-13,0.249546279492,0.124990974078,0.00779786128164,112
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-698277427.228,4333042.14924,-698530232.93,-693885754.021,-702163489.029,-702113837.676,-694087088.796,4.0,18775254267100.0,0.125001984106,1.7334191682000001e-13,0.249546279492,0.124990974078,0.0038989409552,123
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-747610384.002,4106227.83848,-745940429.626,-744857931.272,-753702745.485,-752597734.576,-744960969.555,4.0,16861107061500.0,0.124994709051,1.7334191682000001e-13,0.125226860254,0.124990974078,0.00195644559034,101
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-761569078.016,3161434.44353,-762009108.103,-757790968.588,-764467127.27,-764377520.143,-758144593.767,4.0,9994667740710.0,0.249996693157,1.7334191682000001e-13,0.125226860254,0.124990974078,0.00391300505149,106
