smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-890249366.849,97888.950648,-890233411.012,-890161403.451,-890369241.922,-890357171.631,-890163900.239,4.0,9582246658.96,0.125,0.125,105,2.13658146151e-11,0.124966851195,0.00195260704992
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-893070893.085,54637.1020081,-893062950.508,-893013373.384,-893144297.94,-893133317.57,-893019588.207,4.0,2985212915.85,0.25,0.25,97,2.13658146151e-11,0.125012430802,0.00781327692512
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30169.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-896406280.254,202331.685325,-896450795.703,-896148652.839,-896574876.772,-896572714.904,-896177523.976,4.0,40938110886.6,0.125,0.25,81,2.13658146151e-11,0.249979281997,0.0078118525624
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30169.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-898469104.059,206959.928333,-898554452.444,-898161212.097,-898606299.252,-898600385.377,-898218335.003,4.0,42832411935.6,0.125,0.125,110,2.13658146151e-11,0.249979281997,0.0039059262812
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-898680511.423,115206.530317,-898649668.502,-898590238.635,-898832470.053,-898813715.135,-898590487.8,4.0,13272544627.8,0.125,0.25,76,2.13658146151e-11,0.124966851195,0.00390521409984
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-905596398.646,234769.552503,-905596407.817,-905354692.972,-905838085.979,-905825196.684,-905367587.77,4.0,55116742782.6,0.125,0.25,86,2.13658146151e-11,0.250020718003,0.0078131474376
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-907012584.009,144989.27566,-906999817.116,-906863824.646,-907186877.161,-907169547.208,-906873494.462,4.0,21021890056.3,0.125,0.125,115,2.13658146151e-11,0.250020718003,0.0039065737188
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,90508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-915395302.701,278038.879076,-915418201.4,-915097505.704,-915647302.302,-915642688.884,-915115858.342,4.0,77305618277.6,0.125,0.25,91,2.13658146151e-11,0.250020718003,0.0078131474376
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,90508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-915843713.896,74571.9008748,-915837828.67,-915760074.201,-915939124.042,-915926336.614,-915769330.493,4.0,5560968400.08,0.125,0.125,120,2.13658146151e-11,0.250020718003,0.0039065737188
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-924697693.567,356628.996969,-924782513.851,-924213576.637,-925012169.928,-924997250.105,-924279388.63,4.0,127184241479.0,0.125,0.25,96,2.13658146151e-11,0.125012430802,0.00390663846256
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-924899841.833,129127.652576,-924936022.228,-924717111.507,-925010211.37,-925003622.826,-924745408.287,4.0,16673950659.8,0.125,0.125,125,2.13658146151e-11,0.125012430802,0.00195331923128
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-925000614.157,136276.055997,-925026890.009,-924832213.933,-925116462.677,-925114910.495,-924849531.626,4.0,18571163438.1,0.25,0.125,104,2.13658146151e-11,0.124966851195,0.00390521409984
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30169.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-929034156.7,253682.174534,-929107448.504,-928683159.522,-929238570.27,-929232867.574,-928732837.3,4.0,64354645676.3,0.25,0.125,109,2.13658146151e-11,0.249979281997,0.0078118525624
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-938102638.475,98336.0590922,-938141976.9,-937957271.948,-938169328.152,-938167169.623,-937983033.532,4.0,9669980517.79,0.25,0.125,114,2.13658146151e-11,0.250020718003,0.0078131474376
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,90508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-947337402.582,298833.993591,-947364417.783,-946948302.669,-947672472.094,-947631851.628,-947005132.255,4.0,89301755725.5,0.25,0.125,119,2.13658146151e-11,0.250020718003,0.0078131474376
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-956599371.473,111744.334674,-956581051.035,-956483819.883,-956751563.939,-956727743.975,-956496647.585,4.0,12486796331.7,0.25,0.125,124,2.13658146151e-11,0.125012430802,0.00390663846256
240.0,-163.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-959416726.46,76556.044721,-959422261.957,-959321939.903,-959500442.023,-959492861.657,-959332841.567,4.0,5860827983.32,0.25,0.125,103,2.13658146151e-11,0.124966851195,0.00390521409984
240.0,-163.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30169.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-960472338.927,190826.479296,-960473864.798,-960240535.345,-960701090.768,-960672987.41,-960269554.226,4.0,36414745200.4,0.25,0.125,108,2.13658146151e-11,0.249979281997,0.0078118525624
