npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,73712333.3923,350416.827457,73712333.3923,73960115.5072,73464551.2773,73489329.4888,73935337.2957,2.0,122791952965.0,0.25000913242,89,0.0155839025875,0.25,1.0563053673200001e-12,0.249333333333
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,51496333.5784,741660.747739,51496333.5784,52020766.9225,50971900.2343,51024343.5687,51968323.5881,2.0,550060664736.0,0.25000913242,75,0.00391596029216,0.124972890913,1.0563053673200001e-12,0.125333333333
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,46841712.8237,266439.534889,46841712.8237,47030114.0255,46653311.6218,46672151.7419,47011273.9054,2.0,70990025752.1,0.12498630137,9,0.00783247488584,0.25,1.0563053673200001e-12,0.250666666667
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,44873152.2809,13726.8801421,44873152.2809,44882858.6509,44863445.9109,44864416.5479,44881888.0139,2.0,188427238.435,0.12500456621,114,0.00779195129376,0.25,1.0563053673200001e-12,0.249333333333
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,39859362.8941,114092.569022,39859362.8941,39940038.5233,39778687.2648,39786754.8277,39931970.9604,2.0,13017114306.0,0.24999086758,34,0.0156660943683,0.25,1.0563053673200001e-12,0.250666666667
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,22636090.3099,346261.377377,22636090.3099,22880934.0779,22391246.5419,22415730.9187,22856449.7011,2.0,119896941463.0,0.25000913242,100,0.00391596029216,0.124972890913,1.0563053673200001e-12,0.125333333333
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,10892115.6784,613149.56049,10892115.6784,11325677.8905,10458553.4663,10501909.6875,11282321.6693,2.0,375952383529.0,0.25000913242,59,0.015667238965,0.25,1.0563053673200001e-12,0.250666666667
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,4892656.23781,67501.1808283,4892656.23781,4940386.78051,4844925.6951,4849698.74937,4935613.72624,2.0,4556409413.22,0.12498630137,20,0.00389456158541,0.124972890913,1.0563053673200001e-12,0.249333333333
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-5721009.61648,289202.886206,-5721009.61648,-5516512.29451,-5925506.93846,-5905057.20626,-5536962.02671,2.0,83638309390.1,0.12500456621,125,0.00195798014608,0.124972890913,1.0563053673200001e-12,0.125333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-11402988.3998,14752.76337,-11402988.3998,-11392556.6208,-11413420.1788,-11412377.0009,-11393599.7987,2.0,217644027.05,0.24999086758,45,0.00778969230155,0.124972890913,1.0563053673200001e-12,0.249333333333
