smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-708128735.514,2774841.37498,-708128735.514,-706166626.361,-710090844.667,-709894633.752,-706362837.276,2.0,7699744656320.0,0.00389957098961,0.125018050542,1.83230531396e-13,0.124995105963,0.249546279492,15
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-726240915.444,2123557.12569,-726240915.444,-724739333.801,-727742497.088,-727592338.924,-724889491.965,2.0,4509494866070.0,0.00782678820604,0.25,1.83230531396e-13,0.250003495741,0.125226860254,54
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-729553311.221,4493681.07643,-729553311.221,-726375798.859,-732730823.583,-732413072.346,-726693550.095,2.0,20193169616700.0,0.00782676631801,0.25,1.83230531396e-13,0.125001398296,0.250453720508,109
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-749317205.67,10038555.5438,-749317205.67,-742218874.972,-756415536.368,-755705703.299,-742928708.042,2.0,100772597406000.0,0.0077993382861,0.125018050542,1.83230531396e-13,0.249996504259,0.249546279492,40
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-755637263.398,271599.893725,-755637263.398,-755445213.272,-755829313.525,-755810108.512,-755464418.284,2.0,73766502271.6,0.00779955640487,0.125018050542,1.83230531396e-13,0.250003495741,0.249546279492,95
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-804604427.265,1799451.66983,-804604427.265,-803332022.787,-805876831.743,-805749591.295,-803459263.235,2.0,3238026312050.0,0.00782678820604,0.25,1.83230531396e-13,0.250003495741,0.125226860254,79
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-830944860.204,8160619.17016,-830944860.204,-825174431.05,-836715289.358,-836138246.442,-825751473.965,2.0,66595705240400.0,0.00779955640487,0.125018050542,1.83230531396e-13,0.250003495741,0.249546279492,65
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-834148157.993,3896272.60055,-834148157.993,-831393077.216,-836903238.77,-836627730.692,-831668585.293,2.0,15180940177800.0,0.0038997672965,0.125018050542,1.83230531396e-13,0.125001398296,0.249546279492,120
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-878749551.086,547318.308444,-878749551.086,-878362538.598,-879136563.573,-879097862.324,-878401239.847,2.0,299557330758.0,0.00391375124775,0.125018050542,1.83230531396e-13,0.124995105963,0.250453720508,10
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-884446648.173,808154.34689,-884446648.173,-883875196.754,-885018099.592,-884960954.45,-883932341.896,2.0,653113448397.0,0.003913383159,0.25,1.83230531396e-13,0.125001398296,0.125226860254,104
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-911802683.841,4238206.02281,-911802683.841,-908805819.623,-914799548.06,-914499861.638,-909105506.044,2.0,17962390291800.0,0.00782769951624,0.125018050542,1.83230531396e-13,0.249996504259,0.250453720508,35
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-913672976.566,123542.588506,-913672976.566,-913585618.764,-913760334.368,-913751598.588,-913594354.544,2.0,15262771174.7,0.00779955640487,0.125018050542,1.83230531396e-13,0.250003495741,0.249546279492,90
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-989877937.966,632158.004068,-989877937.966,-989430934.755,-990324941.178,-990280240.857,-989475635.076,2.0,399623742108.0,0.00782791842816,0.125018050542,1.83230531396e-13,0.250003495741,0.250453720508,60
