smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
1200.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1266339204.07,15648593.4521,-1265056830.03,-1251298716.96,-1283944439.24,-1282593135.04,-1251880596.73,4.0,244878477030000.0,5.88667788813e-14,124,0.25,0.00390628328475,0.125001065112,0.125
1200.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1315873057.54,3140373.88163,-1316072112.25,-1311854126.44,-1319493879.24,-1319033054.35,-1312434384.15,4.0,9861948116390.0,5.88667788813e-14,96,0.125,0.00390628328475,0.125001065112,0.25
1200.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1341810664.57,6523037.963,-1343928317.9,-1332685406.13,-1346700616.35,-1346644446.31,-1334012168.18,4.0,42550024266700.0,5.88667788813e-14,102,0.25,0.00390613535253,0.124996331281,0.125
1200.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1364433006.77,4055140.16021,-1363223152.88,-1361084067.86,-1370201653.46,-1369301553.37,-1361258255.62,4.0,16444161718900.0,5.88667788813e-14,107,0.25,0.0078124334305,0.249997869776,0.125
1200.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1374056297.61,12688150.8863,-1368909108.77,-1365639831.67,-1392767141.23,-1389507479.08,-1365811180.52,4.0,160989172913000.0,5.88667788813e-14,118,0.25,0.0078125665695,0.250002130224,0.125
1200.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1481312466.31,9555220.31762,-1480839902.0,-1470263616.52,-1493306444.72,-1491727468.57,-1471559054.08,4.0,91302235318200.0,5.88667788813e-14,112,0.25,0.00781258136272,0.250002603607,0.125
1200.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1485216035.41,5784211.7774,-1485435257.69,-1478767266.97,-1491226359.29,-1490861531.0,-1479263628.63,4.0,33457105885800.0,5.88667788813e-14,123,0.25,0.00390628328475,0.125001065112,0.125
1200.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1567167888.75,7425055.07965,-1567434368.37,-1558541926.47,-1575260891.79,-1574620925.73,-1559341780.29,4.0,55131442935800.0,5.88667788813e-14,101,0.125,0.00195306767627,0.124996331281,0.125
1200.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1581968342.87,5551437.54981,-1581451809.04,-1575725179.34,-1589244574.07,-1588079226.09,-1576580607.02,4.0,30818458869500.0,5.88667788813e-14,106,0.125,0.00390621671525,0.249997869776,0.125
1200.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1596501535.68,8276030.61884,-1594139022.53,-1589985915.25,-1607742182.4,-1606237417.03,-1590073172.74,4.0,68492682804000.0,5.88667788813e-14,117,0.25,0.0078125665695,0.250002130224,0.125
1200.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1691319999.35,10121893.2629,-1688008156.72,-1683403582.93,-1705860101.02,-1703539444.24,-1683737134.14,4.0,102452723226000.0,5.88667788813e-14,111,0.125,0.00390629068136,0.250002603607,0.125
1200.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1706307919.61,8151967.24089,-1705306921.04,-1699099961.39,-1715517874.96,-1714811789.24,-1699205447.97,4.0,66454569896600.0,5.88667788813e-14,122,0.25,0.00390628328475,0.125001065112,0.125
1200.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1815695896.23,8811962.11322,-1817649623.72,-1803309537.16,-1824174800.33,-1823202914.86,-1805453659.12,4.0,77650676284900.0,5.88667788813e-14,116,0.125,0.00390628328475,0.250002130224,0.125
