smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-734950123.526,640989.860245,-735000288.296,-734161581.639,-735638335.874,-735581184.347,-734248832.027,4.0,410868000937.0,0.25,83,0.25,0.249990677246,1.06825089311e-11,0.0156244173279
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-739435204.945,438322.75484,-739417851.095,-738970265.273,-739934852.318,-739892474.144,-739002231.136,4.0,192126837410.0,0.25,88,0.25,0.250009322754,1.06825089311e-11,0.0156255826721
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-744038043.705,1111886.06731,-744478809.782,-742403717.373,-744790837.884,-744774517.414,-742684497.489,4.0,1236290626680.0,0.25,78,0.25,0.124984980008,1.06825089311e-11,0.00781156125049
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-744427997.832,1070498.56482,-744276124.621,-743442481.479,-745717260.609,-745593454.749,-743475163.412,4.0,1145967177290.0,0.25,93,0.25,0.250009322754,1.06825089311e-11,0.0156255826721
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-749151009.295,338094.392855,-749120968.988,-748769415.988,-749592683.216,-749524123.751,-748819951.269,4.0,114307818480.0,0.25,98,0.25,0.125005697238,1.06825089311e-11,0.0078128560774
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-758375690.255,1311896.26191,-758537908.744,-756812386.634,-759614556.896,-759565902.997,-756958371.627,4.0,1721071802010.0,0.125,110,0.125,0.249990677246,1.06825089311e-11,0.00390610433197
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-758600014.194,691613.300149,-758701736.845,-757665330.503,-759331252.585,-759245005.857,-757812610.822,4.0,478328956942.0,0.125,105,0.125,0.124984980008,1.06825089311e-11,0.00195289031262
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-760860714.603,1115106.17093,-761306711.12,-759220416.444,-761609019.725,-761594049.995,-759502984.086,4.0,1243461772440.0,0.125,115,0.125,0.250009322754,1.06825089311e-11,0.00390639566803
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-761084282.793,936364.590324,-760691086.797,-760477762.102,-762477195.475,-762221398.889,-760497641.09,4.0,876778646012.0,0.25,82,0.25,0.249990677246,1.06825089311e-11,0.0156244173279
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-765271869.887,1505702.42408,-764880039.009,-763940350.57,-767387050.96,-767063758.011,-764028544.992,4.0,2267139789870.0,0.125,120,0.125,0.250009322754,1.06825089311e-11,0.00390639566803
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-767315474.137,493860.654297,-767146452.673,-766950980.341,-768018010.862,-767910550.094,-766957028.23,4.0,243898345863.0,0.25,87,0.25,0.250009322754,1.06825089311e-11,0.0156255826721
