smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,prefix
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1483629564.37,4992047.14738,-1482410330.56,-1479100802.71,-1490596793.65,-1489544284.95,-1479421771.12,4.0,24920534721700.0,0.249996693157,0.125226860254,0.249981948155,0.00782601010299,1.7334191682000001e-13,81
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1483956392.79,4646305.16921,-1485705253.07,-1478689438.61,-1487474486.71,-1487297563.34,-1479391020.05,3.0,21588151725400.0,0.250003306843,0.125226860254,0.124990974078,0.00391310857042,1.7334191682000001e-13,116
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1495330471.58,2255843.79975,-1495890112.36,-1492163614.06,-1497378047.55,-1497223476.68,-1492653969.4,4.0,5088831248860.0,0.250003306843,0.249546279492,0.249981948155,0.0155957225633,1.7334191682000001e-13,92
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1501128575.72,3121598.29775,-1500124972.58,-1498643870.09,-1505620487.63,-1504894958.72,-1498767237.11,4.0,9744375932500.0,0.124994709051,0.125226860254,0.249981948155,0.00391289118068,1.7334191682000001e-13,76
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1511742560.95,2424185.94722,-1512308464.13,-1508658315.13,-1513695000.41,-1513690073.31,-1509002784.14,4.0,5876677506690.0,0.250003306843,0.249546279492,0.250018051845,0.0155979749784,1.7334191682000001e-13,63
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1519638868.05,2460111.20626,-1520043071.52,-1516282591.37,-1522186737.8,-1521893932.95,-1516817918.3,4.0,6052147147150.0,0.124994709051,0.249546279492,0.250018051845,0.00779855422245,1.7334191682000001e-13,52
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1535279398.78,1765261.80375,-1535972070.14,-1532667930.03,-1536505524.8,-1536452694.79,-1533136362.86,4.0,3116149235780.0,0.249996693157,0.249546279492,0.250018051845,0.0155975623434,1.7334191682000001e-13,57
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1558521457.6,2625437.32174,-1558639895.17,-1555824994.35,-1560981045.72,-1560917040.31,-1555960062.3,4.0,6892921130390.0,0.250003306843,0.125226860254,0.249981948155,0.00782621714084,1.7334191682000001e-13,86
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1563560123.83,5302061.84697,-1564588866.89,-1557049454.76,-1568013306.78,-1567973974.2,-1557706033.18,4.0,28111859829100.0,0.125001984106,0.125226860254,0.124990974078,0.00195655946116,1.7334191682000001e-13,121
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1572748796.01,1420534.27788,-1572930603.55,-1570850612.06,-1574283364.87,-1574098711.61,-1571144349.85,4.0,2017917634620.0,0.125001984106,0.249546279492,0.249981948155,0.00779788191041,1.7334191682000001e-13,97
