smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-522619108.052,2902433.26142,-521830974.874,-520275193.05,-526539289.409,-526021836.441,-520319766.112,4.0,8424118836970.0,0.250453720508,104,0.00391273589804,3.46688419418e-13,0.124990974078,0.12498974865
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-537991636.611,1948947.26514,-538039690.146,-535971348.335,-539915817.817,-539835827.221,-536080171.052,4.0,3798395442280.0,0.250453720508,109,0.00782588587727,3.46688419418e-13,0.124990974078,0.249992724848
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-550428931.541,1988515.06571,-550472677.225,-547983656.736,-552786714.978,-552499631.579,-548296987.546,4.0,3954192166540.0,0.125226860254,125,0.00195657498961,3.46688419418e-13,0.124990974078,0.125002976198
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-567100890.027,2046607.14759,-566354031.279,-565618726.556,-570076770.996,-569585234.673,-565662147.63,4.0,4188600816560.0,0.125226860254,81,0.00782588587727,3.46688419418e-13,0.249981948155,0.249992724848
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-569632955.91,828070.367775,-569341856.357,-569017166.434,-570830944.492,-570636287.835,-569037163.359,4.0,685700533986.0,0.249546279492,97,0.00779794379918,3.46688419418e-13,0.249981948155,0.125002976198
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-591449447.981,3121415.14851,-591314930.225,-587832757.659,-595335173.815,-594838953.36,-588248267.46,4.0,9743232529360.0,0.250453720508,114,0.00782634136657,3.46688419418e-13,0.124990974078,0.250007275152
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-604745648.768,1118539.99902,-604724663.277,-603691462.131,-605841806.385,-605801498.38,-603719178.842,4.0,1251131729410.0,0.125226860254,76,0.00391273589804,3.46688419418e-13,0.249981948155,0.12498974865
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-623685319.806,1782182.12564,-623927737.55,-621290244.91,-625595559.213,-625362352.651,-621668902.118,4.0,3176173128950.0,0.125226860254,86,0.00782634136657,3.46688419418e-13,0.249981948155,0.250007275152
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-647439513.953,1209029.3626,-647814574.583,-645682964.485,-648445942.162,-648359139.672,-645994803.353,4.0,1461751999630.0,0.250453720508,119,0.00782634136657,3.46688419418e-13,0.124990974078,0.250007275152
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-676605712.821,1783025.81925,-676185176.409,-674935703.41,-679116795.056,-678708761.571,-675091415.047,4.0,3179181072120.0,0.125226860254,91,0.00782634136657,3.46688419418e-13,0.249981948155,0.250007275152
