smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-845111462.882,477469.662175,-845111462.882,-844773840.846,-845449084.918,-845415322.715,-844807603.05,2.0,227977278298.0,0.125003845369,120,3.66466187075e-13,0.125018050542,0.00389984363975,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-856664333.99,1339536.48614,-856664333.99,-855717138.657,-857611529.323,-857516809.789,-855811858.19,2.0,1794357997700.0,0.250006292421,79,3.66466187075e-13,0.25,0.00782687576092,0.125226860254
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-865708047.654,4074879.04006,-865708047.654,-862826673.052,-868589422.256,-868301284.795,-863114810.512,2.0,16604639191200.0,0.12498986221,15,3.66466187075e-13,0.125018050542,0.00389940739611,0.249546279492
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-871934251.466,784275.490193,-871934251.466,-871379684.948,-872488817.983,-872433361.331,-871435141.6,2.0,615088044518.0,0.249993707579,40,3.66466187075e-13,0.125018050542,0.00779925103585,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-907791126.632,1202568.25831,-907791126.632,-906940782.462,-908641470.802,-908556436.385,-907025816.879,2.0,1446170415890.0,0.125003845369,104,3.66466187075e-13,0.25,0.0039134597688,0.125226860254
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-921177508.675,872898.601152,-921177508.675,-920560276.155,-921794741.195,-921733017.943,-920621999.407,2.0,761951967893.0,0.250006292421,65,3.66466187075e-13,0.125018050542,0.00779964365513,0.249546279492
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-966515510.275,1154333.43087,-966515510.275,-965699273.278,-967331747.272,-967250123.572,-965780896.978,2.0,1332485669620.0,0.250006292421,90,3.66466187075e-13,0.125018050542,0.00779964365513,0.249546279492
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1018478872.51,1150414.8257,-1018478872.51,-1017665406.38,-1019292338.63,-1019210992.02,-1017746752.99,2.0,1323454271190.0,0.125003845369,115,3.66466187075e-13,0.125018050542,0.00389984363975,0.249546279492
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1044790414.15,2985663.12585,-1044790414.15,-1042679231.5,-1046901596.79,-1046690478.53,-1042890349.77,2.0,8914184301070.0,0.249993707579,35,3.66466187075e-13,0.125018050542,0.00782761194871,0.250453720508
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1046282916.66,1334205.39191,-1046282916.66,-1045339490.98,-1047226342.34,-1047131999.77,-1045433833.55,2.0,1780104027790.0,0.12498986221,10,3.66466187075e-13,0.125018050542,0.00391358705936,0.250453720508
