npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,482813606.826,318418.596976,482813606.826,483038762.775,482588450.877,482610966.472,483016247.18,2.0,101390402900.0,0.12500456621,109,0.25,1.0563053673200001e-12,0.0078336194825,0.250666666667
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,478219307.932,461169.89734,478219307.932,478545404.294,477893211.57,477925821.206,478512794.657,2.0,212677674212.0,0.25000913242,70,0.124972890913,1.0563053673200001e-12,0.00779026143228,0.249333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,462275199.231,596931.227767,462275199.231,462697293.35,461853105.112,461895314.523,462655083.938,2.0,356326890684.0,0.12498630137,4,0.25,1.0563053673200001e-12,0.00391623744292,0.125333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,460745430.833,672907.454184,460745430.833,461221248.257,460269613.409,460317195.151,461173666.514,2.0,452804441897.0,0.25000913242,54,0.25,1.0563053673200001e-12,0.0078336194825,0.125333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,448708936.332,1229640.18788,448708936.332,449578423.247,447839449.416,447926398.108,449491474.555,2.0,1512014991640.0,0.25000913242,95,0.124972890913,1.0563053673200001e-12,0.00779026143228,0.249333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,431595664.529,722715.816252,431595664.529,432106701.784,431084627.275,431135731.0,432055598.059,2.0,522318151061.0,0.25000913242,79,0.25,1.0563053673200001e-12,0.0078336194825,0.125333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,423088707.019,2591193.00722,423088707.019,424920957.165,421256456.872,421439681.886,424737732.151,2.0,6714281200650.0,0.24999086758,40,0.124972890913,1.0563053673200001e-12,0.00778969230155,0.249333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,417549250.524,627656.051296,417549250.524,417993070.374,417105430.674,417149812.659,417948688.389,2.0,393952118729.0,0.12500456621,120,0.124972890913,1.0563053673200001e-12,0.00389513071614,0.249333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,416400160.673,858733.560461,416400160.673,417007376.997,415792944.349,415853665.982,416946655.365,2.0,737423327862.0,0.12498630137,15,0.124972890913,1.0563053673200001e-12,0.00389456158541,0.249333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,401823385.865,230481.214145,401823385.865,401986360.694,401660411.035,401676708.518,401970063.211,2.0,53121590073.8,0.12500456621,104,0.25,1.0563053673200001e-12,0.00391680974125,0.125333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,394593638.799,1145976.63308,394593638.799,395403966.647,393783310.95,393864343.735,395322933.862,2.0,1313262443570.0,0.25000913242,65,0.124972890913,1.0563053673200001e-12,0.00779026143228,0.249333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,365640457.364,884026.299537,365640457.364,366265558.355,365015356.372,365077866.472,366203048.256,2.0,781502498274.0,0.25000913242,90,0.124972890913,1.0563053673200001e-12,0.00779026143228,0.249333333333
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,339390054.275,92904.7763545,339390054.275,339455747.872,339324360.677,339330930.037,339449178.512,2.0,8631297469.48,0.24999086758,35,0.124972890913,1.0563053673200001e-12,0.00783134841011,0.250666666667
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,335035403.403,1621454.91658,335035403.403,336181945.17,333888861.636,334003515.813,336067290.993,2.0,2629116046510.0,0.12500456621,115,0.124972890913,1.0563053673200001e-12,0.00389513071614,0.249333333333
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,323761141.317,109773.073445,323761141.317,323838762.601,323683520.032,323691282.161,323831000.473,2.0,12050127653.5,0.12498630137,10,0.124972890913,1.0563053673200001e-12,0.00391538811795,0.250666666667
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,308081347.51,1540610.15498,308081347.51,309170723.398,306991971.623,307100909.211,309061785.809,2.0,2373479649620.0,0.25000913242,60,0.124972890913,1.0563053673200001e-12,0.00783192058432,0.250666666667
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,280310488.566,968287.245051,280310488.566,280995171.043,279625806.088,279694274.336,280926702.795,2.0,937580188928.0,0.25000913242,85,0.124972890913,1.0563053673200001e-12,0.00783192058432,0.250666666667
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,251361489.004,304632.839538,251361489.004,251576896.95,251146081.057,251167621.852,251555356.156,2.0,92801166924.9,0.24999086758,30,0.124972890913,1.0563053673200001e-12,0.00391567420506,0.125333333333
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,249397808.283,512389.32831,249397808.283,249760122.251,249035494.314,249071725.711,249723890.854,2.0,262542823766.0,0.12500456621,110,0.124972890913,1.0563053673200001e-12,0.00391596029216,0.250666666667
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,230687495.904,1182914.27522,230687495.904,231523942.609,229851049.198,229934693.869,231440297.939,2.0,1399286182520.0,0.12498630137,5,0.124972890913,1.0563053673200001e-12,0.00195769405898,0.125333333333
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,222639796.976,1175597.60372,222639796.976,223471070.013,221808523.938,221891651.242,223387942.709,2.0,1382029725880.0,0.25000913242,55,0.124972890913,1.0563053673200001e-12,0.00391596029216,0.125333333333
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,192698552.745,2354293.39429,192698552.745,194363289.569,191033815.921,191200289.604,194196815.887,2.0,5542697386380.0,0.25000913242,80,0.124972890913,1.0563053673200001e-12,0.00391596029216,0.125333333333
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,161661342.035,583033.842503,161661342.035,162073609.219,161249074.851,161290301.569,162032382.5,2.0,339928461504.0,0.12500456621,105,0.124972890913,1.0563053673200001e-12,0.00195798014608,0.125333333333
