smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-861305611.475,39730299.7998,-861305611.475,-833212047.068,-889399175.883,-886589819.442,-836021403.509,2.0,1578496722190000.0,0.249999500615,35,0.125018050542,2.6175466018599997e-14,0.00782779333583,0.250453720508
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-910562367.618,18729306.6787,-910562367.618,-897318747.859,-923805987.377,-922481625.402,-898643109.835,2.0,350786928663000.0,0.250000499385,82,0.25,2.6175466018599997e-14,0.0156533888,0.250453720508
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-917223069.445,44440516.3019,-917223069.445,-885798879.009,-948647259.882,-945504840.838,-888941298.053,2.0,1974959489180000.0,0.250000499385,75,0.125018050542,2.6175466018599997e-14,0.00391391230429,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-991254410.22,4894631.21758,-991254410.22,-987793383.295,-994715437.146,-994369334.453,-988139485.987,2.0,23957414756100.0,0.250000499385,77,0.25,2.6175466018599997e-14,0.0078266944,0.125226860254
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1000056836.57,28068520.6067,-1000056836.57,-980209395.314,-1019904277.83,-1017919533.71,-982194139.44,2.0,787841849051000.0,0.249999500615,30,0.125018050542,2.6175466018599997e-14,0.00391389666791,0.125226860254
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1028479410.89,26687963.9045,-1028479410.89,-1009608170.63,-1047350651.14,-1045463527.11,-1011495294.66,2.0,712247417369000.0,0.250000499385,59,0.25,2.6175466018599997e-14,0.0156533888,0.250453720508
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1113332432.87,28813332.1008,-1113332432.87,-1092958330.36,-1133706535.39,-1131669125.14,-1094995740.61,2.0,830208106751000.0,0.250000499385,88,0.249963898917,2.6175466018599997e-14,0.0155944213959,0.249546279492
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1119281975.27,14445757.5552,-1119281975.27,-1109067282.14,-1129496668.39,-1128475199.08,-1110088751.45,2.0,208679911343000.0,0.250000499385,70,0.125018050542,2.6175466018599997e-14,0.00779946292521,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1192551396.68,2041700.72001,-1192551396.68,-1191107696.26,-1193995097.11,-1193850727.07,-1191252066.3,2.0,4168541830090.0,0.250000499385,54,0.25,2.6175466018599997e-14,0.0078266944,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1218181305.71,2773506.55643,-1218181305.71,-1216220140.42,-1220142471.0,-1219946354.47,-1216416256.95,2.0,7692338618550.0,0.125000249693,101,0.125018050542,2.6175466018599997e-14,0.00195695615214,0.125226860254
