npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1604426127.39,2424121.77055,1604557637.27,1607018911.74,1601570323.26,1601843608.85,1606824532.08,4.0,5876366358440.0,8.47275451554e-14,0.124645892351,0.00389522959349,71,0.125001458773,0.25
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1600326180.52,5094167.54407,1600115172.71,1606726126.22,1594348250.43,1595103694.95,1605844077.02,4.0,25950542967000.0,8.47275451554e-14,0.25,0.00781259117331,99,0.125001458773,0.25
894.0,-173.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1594243752.18,2661818.11639,1594140687.79,1596996949.91,1591696683.25,1591779333.4,1596852461.12,4.0,7085275684760.0,8.47275451554e-14,0.125354107649,0.00391727014823,110,0.249997082454,0.125
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1568887797.42,4292519.06285,1568235945.53,1574523437.68,1564555860.95,1564898377.19,1573789810.31,4.0,18425719904900.0,8.47275451554e-14,0.25,0.0156248176534,82,0.249997082454,0.25
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1565057493.81,1979901.6733,1565713876.48,1566605360.77,1562196861.5,1562664484.46,1566531567.41,4.0,3920010635950.0,8.47275451554e-14,0.25,0.0156251823466,93,0.250002917546,0.25
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1545367575.79,4137315.6667,1546488397.98,1549028796.49,1539464710.69,1540436702.91,1548729297.59,4.0,17117380925900.0,8.47275451554e-14,0.25,0.007812259634,77,0.124996154144,0.25
894.0,-173.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1524269660.45,7038669.47595,1527173448.39,1528867695.77,1513864049.25,1515698002.76,1528776015.03,4.0,49542867991600.0,8.47275451554e-14,0.125354107649,0.00391735326786,115,0.250002387083,0.125
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1500888473.23,5562580.61934,1500789682.48,1506547641.39,1495426886.56,1495641210.1,1506274043.4,4.0,30942303146700.0,8.47275451554e-14,0.25,0.0156251491927,87,0.250002387083,0.25
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1497013221.33,3051568.39733,1497050855.8,1500126512.04,1493824661.69,1494007208.65,1499966545.76,4.0,9312069683590.0,8.47275451554e-14,0.25,0.00781259117331,98,0.125001458773,0.25
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1492278463.32,9326897.36129,1492741957.69,1501500769.29,1482129168.61,1482818065.3,1501089969.22,4.0,86991014388000.0,8.47275451554e-14,0.25,0.003906129817,104,0.124996154144,0.125
