RAVEN_sample_ID,hour,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__htse__production__electricity,Dispatch__htse__production__h2,Dispatch__ft__production__diesel,Dispatch__ft__production__h2,Dispatch__ft__production__naphtha,Dispatch__ft__production__jet_fuel,Dispatch__ft_elec_consumption__production__electricity,Dispatch__electricity_market__production__electricity,Dispatch__naphtha_market__production__naphtha,Dispatch__jet_fuel_market__production__jet_fuel,Dispatch__diesel_market__production__diesel,Dispatch__h2_storage__level__h2,Dispatch__h2_storage__charge__h2,Dispatch__h2_storage__discharge__h2,price,ProbabilityWeight,prefix,PointProbability
0,0.0,3,2019,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,21.0871931322,1.0,1_0,1.0
0,0.0,3,2020,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,27.2008339909,1.0,1_0,1.0
0,0.0,3,2021,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,18.1687035022,1.0,1_0,1.0
0,0.0,3,2022,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,29.9834694076,1.0,1_0,1.0
0,0.0,3,2023,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,24.8051733415,1.0,1_0,1.0
0,0.0,3,2024,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,20.8098843316,1.0,1_0,1.0
0,0.0,3,2025,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,69.7575606106,1.0,1_0,1.0
0,0.0,3,2026,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,13.5710817699,1.0,1_0,1.0
0,0.0,3,2027,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,28.5921584706,1.0,1_0,1.0
0,0.0,3,2028,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,77.9785225619,1.0,1_0,1.0
0,0.0,3,2029,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,13.6703323182,1.0,1_0,1.0
0,0.0,3,2030,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,15.2832199433,1.0,1_0,1.0
0,0.0,3,2031,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,21.3859588386,1.0,1_0,1.0
0,0.0,4,2012,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,21.0156085103,1.0,1_0,1.0
0,0.0,4,2013,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,30.1991687148,1.0,1_0,1.0
0,0.0,4,2014,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,160.679860039,1.0,1_0,1.0
0,0.0,4,2015,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,17.1166234611,1.0,1_0,1.0
0,0.0,4,2016,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,14.3843152635,1.0,1_0,1.0
0,0.0,4,2017,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,18.707954307,1.0,1_0,1.0
